,BAB
2009-11-17,24.959999084472656
2009-11-18,24.850000381469727
2009-11-19,24.959999084472656
2009-11-20,25.010000228881836
2009-11-23,24.899999618530273
2009-11-24,24.920000076293945
2009-11-25,25.079999923706055
2009-11-27,25.100000381469727
2009-11-30,25.1299991607666
2009-12-01,24.950000762939453
2009-12-02,25.079999923706055
2009-12-03,24.850000381469727
2009-12-04,24.68000030517578
2009-12-07,24.700000762939453
2009-12-08,24.799999237060547
2009-12-09,24.709999084472656
2009-12-10,24.68000030517578
2009-12-11,24.56999969482422
2009-12-14,24.579999923706055
2009-12-15,24.459999084472656
2009-12-16,24.5
2009-12-17,24.68000030517578
2009-12-18,24.639999389648438
2009-12-21,24.40999984741211
2009-12-22,24.389999389648438
2009-12-23,24.360000610351562
2009-12-24,24.280000686645508
2009-12-28,24.219999313354492
2009-12-29,24.25
2009-12-30,24.34000015258789
2009-12-31,24.290000915527344
2010-01-04,24.329999923706055
2010-01-05,24.329999923706055
2010-01-06,24.190000534057617
2010-01-07,24.209999084472656
2010-01-08,24.25
2010-01-11,24.420000076293945
2010-01-12,24.59000015258789
2010-01-13,24.3700008392334
2010-01-14,24.56999969482422
2010-01-15,24.6299991607666
2010-01-19,24.68000030517578
2010-01-20,24.809999465942383
2010-01-21,24.90999984741211
2010-01-22,24.940000534057617
2010-01-25,24.889999389648438
2010-01-26,24.899999618530273
2010-01-27,24.899999618530273
2010-01-28,24.860000610351562
2010-01-29,24.90999984741211
2010-02-01,24.799999237060547
2010-02-02,24.93000030517578
2010-02-03,24.75
2010-02-04,24.969999313354492
2010-02-05,25.040000915527344
2010-02-08,25.0
2010-02-09,24.8700008392334
2010-02-10,24.790000915527344
2010-02-11,24.6299991607666
2010-02-12,24.6299991607666
2010-02-16,24.690000534057617
2010-02-17,24.530000686645508
2010-02-18,24.479999542236328
2010-02-19,24.530000686645508
2010-02-22,24.520000457763672
2010-02-23,24.770000457763672
2010-02-24,24.780000686645508
2010-02-25,24.93000030517578
2010-02-26,24.979999542236328
2010-03-01,24.969999313354492
2010-03-02,25.0
2010-03-03,24.989999771118164
2010-03-04,25.06999969482422
2010-03-05,24.889999389648438
2010-03-08,24.799999237060547
2010-03-09,24.860000610351562
2010-03-10,24.780000686645508
2010-03-11,24.799999237060547
2010-03-12,25.030000686645508
2010-03-15,24.8799991607666
2010-03-16,25.040000915527344
2010-03-17,25.079999923706055
2010-03-18,25.040000915527344
2010-03-19,25.030000686645508
2010-03-22,25.149999618530273
2010-03-23,25.059999465942383
2010-03-24,24.799999237060547
2010-03-25,24.799999237060547
2010-03-26,24.860000610351562
2010-03-29,24.860000610351562
2010-03-30,24.8799991607666
2010-03-31,24.950000762939453
2010-04-01,24.90999984741211
2010-04-05,24.700000762939453
2010-04-06,24.68000030517578
2010-04-07,24.899999618530273
2010-04-08,24.93000030517578
2010-04-09,24.979999542236328
2010-04-12,25.06999969482422
