,CTMX
2015-10-08,12.899999618530273
2015-10-09,12.399999618530273
2015-10-12,12.579999923706055
2015-10-13,12.329999923706055
2015-10-14,13.260000228881836
2015-10-15,13.220000267028809
2015-10-16,12.65999984741211
2015-10-19,10.850000381469727
2015-10-20,10.640000343322754
2015-10-21,9.579999923706055
2015-10-22,9.300000190734863
2015-10-23,9.699999809265137
2015-10-26,10.8100004196167
2015-10-27,10.0
2015-10-28,10.5
2015-10-29,10.199999809265137
2015-10-30,10.399999618530273
2015-11-02,11.1899995803833
2015-11-03,12.300000190734863
2015-11-04,11.4399995803833
2015-11-05,10.619999885559082
2015-11-06,11.420000076293945
2015-11-09,12.260000228881836
2015-11-10,12.390000343322754
2015-11-11,12.069999694824219
2015-11-12,12.479999542236328
2015-11-13,12.449999809265137
2015-11-16,12.739999771118164
2015-11-17,13.890000343322754
2015-11-18,14.640000343322754
2015-11-19,15.1899995803833
2015-11-20,14.8100004196167
2015-11-23,16.0
2015-11-24,17.829999923706055
2015-11-25,18.739999771118164
2015-11-27,19.200000762939453
2015-11-30,19.209999084472656
2015-12-01,21.889999389648438
2015-12-02,22.100000381469727
2015-12-03,21.670000076293945
2015-12-04,23.65999984741211
2015-12-07,22.219999313354492
2015-12-08,21.940000534057617
2015-12-09,21.510000228881836
2015-12-10,19.43000030517578
2015-12-11,19.1299991607666
2015-12-14,17.139999389648438
2015-12-15,18.299999237060547
2015-12-16,20.579999923706055
2015-12-17,20.690000534057617
2015-12-18,20.649999618530273
2015-12-21,20.239999771118164
2015-12-22,19.959999084472656
2015-12-23,22.489999771118164
2015-12-24,22.540000915527344
2015-12-28,21.889999389648438
2015-12-29,21.670000076293945
2015-12-30,20.799999237060547
2015-12-31,20.8700008392334
2016-01-04,20.459999084472656
2016-01-05,19.43000030517578
2016-01-06,16.969999313354492
2016-01-07,15.520000457763672
2016-01-08,14.210000038146973
2016-01-11,14.319999694824219
2016-01-12,15.5
2016-01-13,14.359999656677246
2016-01-14,14.050000190734863
2016-01-15,13.25
2016-01-19,12.609999656677246
2016-01-20,14.84000015258789
2016-01-21,14.460000038146973
2016-01-22,14.0
2016-01-25,14.649999618530273
2016-01-26,16.229999542236328
2016-01-27,15.100000381469727
2016-01-28,15.180000305175781
2016-01-29,15.710000038146973
2016-02-01,15.859999656677246
2016-02-02,16.0
2016-02-03,15.680000305175781
2016-02-04,15.449999809265137
2016-02-05,14.720000267028809
2016-02-08,13.449999809265137
2016-02-09,13.399999618530273
2016-02-10,13.029999732971191
2016-02-11,11.979999542236328
2016-02-12,12.050000190734863
2016-02-16,12.5
2016-02-17,12.720000267028809
2016-02-18,12.729999542236328
2016-02-19,12.90999984741211
2016-02-22,13.170000076293945
2016-02-23,12.6899995803833
2016-02-24,12.75
2016-02-25,13.350000381469727
2016-02-26,14.4399995803833
2016-02-29,12.899999618530273
2016-03-01,14.0600004196167
2016-03-02,14.270000457763672
2016-03-03,13.75
2016-03-04,13.65999984741211
2016-03-07,13.220000267028809
2016-03-08,12.819999694824219
