,DCTH
2018-05-03,945.0
2018-05-04,2884.0
2018-05-07,3199.0
2018-05-08,2660.0
2018-05-09,2303.0
2018-05-10,2138.5
2018-05-11,2359.0
2018-05-14,2205.0
2018-05-15,2310.0
2018-05-16,2863.0
2018-05-17,2492.0
2018-05-18,2450.0
2018-05-21,2443.0
2018-05-22,2422.0
2018-05-23,2170.0
2018-05-24,1967.0
2018-05-25,2100.0
2018-05-29,2100.0
2018-05-30,2114.0
2018-05-31,2177.0
2018-06-01,2240.0
2018-06-04,2261.0
2018-06-05,2436.0
2018-06-06,2345.0
2018-06-07,2309.300048828125
2018-06-08,2289.0
2018-06-11,2247.0
2018-06-12,2240.0
2018-06-13,1939.699951171875
2018-06-14,1960.0
2018-06-15,1939.0
2018-06-18,1939.0
2018-06-19,1939.0
2018-06-20,1925.0
2018-06-21,1925.0
2018-06-22,1960.0
2018-06-25,1820.0
2018-06-26,1854.300048828125
2018-06-27,1834.0
2018-06-28,1841.0
2018-06-29,1946.0
2018-07-02,1897.0
2018-07-03,1890.0
2018-07-05,1778.0
2018-07-06,1789.199951171875
2018-07-09,1715.0
2018-07-10,1722.0
2018-07-11,1582.0
2018-07-12,1876.0
2018-07-13,1918.0
2018-07-16,1701.0
2018-07-17,1708.0
2018-07-18,1631.0
2018-07-19,1715.0
2018-07-20,1785.0
2018-07-23,1750.0
2018-07-24,1715.0
2018-07-25,1645.0
2018-07-26,1575.0
2018-07-27,1743.0
2018-07-30,1750.0
2018-07-31,1785.0
2018-08-01,1750.0
2018-08-02,1400.0
2018-08-03,1393.0
2018-08-06,1540.0
2018-08-07,1372.0
2018-08-08,1302.0
2018-08-09,1295.0
2018-08-10,1273.300048828125
2018-08-13,1309.0
2018-08-14,1253.0
2018-08-15,1323.0
2018-08-16,1253.0
2018-08-17,1260.0
2018-08-20,1491.0
2018-08-21,1351.0
2018-08-22,1400.0
2018-08-23,1358.0
2018-08-24,1288.0
2018-08-27,1232.0
2018-08-28,1267.0
2018-08-29,1330.0
2018-08-30,1330.0
2018-08-31,1330.0
2018-09-04,1281.699951171875
2018-09-05,1316.0
2018-09-06,1351.0
2018-09-07,1470.0
2018-09-10,2296.0
2018-09-11,2422.0
2018-09-12,2205.0
2018-09-13,2352.0
2018-09-14,2240.0
2018-09-17,2275.0
2018-09-18,3920.0
2018-09-19,6076.0
2018-09-20,5047.0
2018-09-21,3045.0
2018-09-24,3290.0
2018-09-25,2506.0
2018-09-26,2338.0
2018-09-27,1974.0
2018-09-28,1288.0
2018-10-01,1400.0
2018-10-02,1225.0
2018-10-03,861.0
2018-10-04,882.0
2018-10-05,805.0
