,DYN
2020-09-17,23.899999618530273
2020-09-18,22.799999237060547
2020-09-21,22.0
2020-09-22,22.950000762939453
2020-09-23,22.25
2020-09-24,22.059999465942383
2020-09-25,22.0
2020-09-28,21.5
2020-09-29,20.0
2020-09-30,20.190000534057617
2020-10-01,19.520000457763672
2020-10-02,19.049999237060547
2020-10-05,18.920000076293945
2020-10-06,18.84000015258789
2020-10-07,18.739999771118164
2020-10-08,18.989999771118164
2020-10-09,18.639999389648438
2020-10-12,18.979999542236328
2020-10-13,19.030000686645508
2020-10-14,17.68000030517578
2020-10-15,17.15999984741211
2020-10-16,17.420000076293945
2020-10-19,17.149999618530273
2020-10-20,16.809999465942383
2020-10-21,17.09000015258789
2020-10-22,17.040000915527344
2020-10-23,17.100000381469727
2020-10-26,17.59000015258789
2020-10-27,18.15999984741211
2020-10-28,17.25
2020-10-29,19.649999618530273
2020-10-30,20.68000030517578
2020-11-02,21.100000381469727
2020-11-03,23.940000534057617
2020-11-04,21.260000228881836
2020-11-05,21.290000915527344
2020-11-06,20.190000534057617
2020-11-09,19.989999771118164
2020-11-10,19.209999084472656
2020-11-11,20.25
2020-11-12,19.940000534057617
2020-11-13,19.309999465942383
2020-11-16,18.799999237060547
2020-11-17,19.0
2020-11-18,18.950000762939453
2020-11-19,19.299999237060547
2020-11-20,19.399999618530273
2020-11-23,18.969999313354492
2020-11-24,19.559999465942383
2020-11-25,19.610000610351562
2020-11-27,19.899999618530273
2020-11-30,20.15999984741211
2020-12-01,21.770000457763672
2020-12-02,20.579999923706055
2020-12-03,20.770000457763672
2020-12-04,20.950000762939453
2020-12-07,20.709999084472656
2020-12-08,20.81999969482422
2020-12-09,20.15999984741211
2020-12-10,19.489999771118164
2020-12-11,19.219999313354492
2020-12-14,20.209999084472656
2020-12-15,20.450000762939453
2020-12-16,20.290000915527344
2020-12-17,20.239999771118164
2020-12-18,21.15999984741211
2020-12-21,21.059999465942383
2020-12-22,21.600000381469727
2020-12-23,23.5
2020-12-24,22.530000686645508
2020-12-28,23.43000030517578
2020-12-29,22.239999771118164
2020-12-30,22.110000610351562
2020-12-31,21.0
2021-01-04,19.010000228881836
2021-01-05,18.8700008392334
2021-01-06,21.420000076293945
2021-01-07,23.219999313354492
2021-01-08,27.1299991607666
2021-01-11,26.899999618530273
2021-01-12,28.739999771118164
2021-01-13,29.299999237060547
2021-01-14,29.049999237060547
2021-01-15,28.610000610351562
2021-01-19,28.959999084472656
2021-01-20,28.530000686645508
2021-01-21,21.239999771118164
2021-01-22,20.200000762939453
2021-01-25,19.920000076293945
2021-01-26,18.719999313354492
2021-01-27,18.399999618530273
2021-01-28,18.690000534057617
2021-01-29,19.329999923706055
2021-02-01,18.989999771118164
2021-02-02,20.34000015258789
2021-02-03,20.389999389648438
2021-02-04,20.75
2021-02-05,20.489999771118164
2021-02-08,20.309999465942383
2021-02-09,19.489999771118164
2021-02-10,18.719999313354492
2021-02-11,18.809999465942383
2021-02-12,18.610000610351562
2021-02-16,18.479999542236328
2021-02-17,18.6200008392334
2021-02-18,19.350000381469727
2021-02-19,18.790000915527344
2021-02-22,19.68000030517578
2021-02-23,19.18000030517578
2021-02-24,20.229999542236328
2021-02-25,19.34000015258789
2021-02-26,18.469999313354492
2021-03-01,17.709999084472656
2021-03-02,17.770000457763672
2021-03-03,16.68000030517578
2021-03-04,15.699999809265137
2021-03-05,15.600000381469727
2021-03-08,16.0
2021-03-09,15.640000343322754
2021-03-10,15.25
2021-03-11,16.3799991607666
2021-03-12,16.84000015258789
2021-03-15,16.770000457763672
2021-03-16,16.6299991607666
2021-03-17,16.56999969482422
2021-03-18,16.110000610351562
2021-03-19,15.8100004196167
2021-03-22,15.8100004196167
2021-03-23,15.199999809265137
2021-03-24,14.0
2021-03-25,14.680000305175781
2021-03-26,14.710000038146973
2021-03-29,14.619999885559082
2021-03-30,15.229999542236328
2021-03-31,15.529999732971191
2021-04-01,15.9399995803833
2021-04-05,17.190000534057617
2021-04-06,16.450000762939453
2021-04-07,16.440000534057617
2021-04-08,16.75
2021-04-09,16.75
2021-04-12,16.700000762939453
2021-04-13,16.899999618530273
2021-04-14,17.15999984741211
2021-04-15,17.530000686645508
2021-04-16,17.450000762939453
2021-04-19,17.8799991607666
2021-04-20,17.329999923706055
2021-04-21,17.239999771118164
2021-04-22,17.139999389648438
2021-04-23,18.399999618530273
2021-04-26,18.530000686645508
2021-04-27,18.719999313354492
2021-04-28,18.969999313354492
2021-04-29,19.200000762939453
2021-04-30,19.68000030517578
2021-05-03,17.889999389648438
2021-05-04,17.549999237060547
2021-05-05,17.799999237060547
2021-05-06,18.1200008392334
2021-05-07,18.709999084472656
2021-05-10,18.030000686645508
2021-05-11,17.84000015258789
2021-05-12,17.239999771118164
2021-05-13,16.979999542236328
2021-05-14,17.469999313354492
