,EBMT
2000-04-06,2.236841917037964
2000-04-07,2.6315789222717285
2000-04-10,2.1052629947662354
2000-04-11,2.1052629947662354
2000-04-12,2.121711015701294
2000-04-13,2.121711015701294
2000-04-14,2.121711015701294
2000-04-17,2.121711015701294
2000-04-18,2.121711015701294
2000-04-19,2.121711015701294
2000-04-20,2.121711015701294
2000-04-24,2.121711015701294
2000-04-25,2.7302629947662354
2000-04-26,2.1052629947662354
2000-04-27,2.1052629947662354
2000-04-28,2.236841917037964
2000-05-01,2.236841917037964
2000-05-02,2.236841917037964
2000-05-03,2.236841917037964
2000-05-04,2.236841917037964
2000-05-05,2.236841917037964
2000-05-08,2.171052932739258
2000-05-09,2.171052932739258
2000-05-10,2.171052932739258
2000-05-11,2.138158082962036
2000-05-12,2.138158082962036
2000-05-15,2.138158082962036
2000-05-16,2.138158082962036
2000-05-17,2.138158082962036
2000-05-18,2.171052932739258
2000-05-19,2.171052932739258
2000-05-22,2.171052932739258
2000-05-23,2.171052932739258
2000-05-24,2.203947067260742
2000-05-25,2.236841917037964
2000-05-26,2.236841917037964
2000-05-30,2.236841917037964
2000-05-31,2.2697370052337646
2000-06-01,2.236841917037964
2000-06-02,2.236841917037964
2000-06-05,2.236841917037964
2000-06-06,2.203947067260742
2000-06-07,2.236841917037964
2000-06-08,2.236841917037964
2000-06-09,2.236841917037964
2000-06-12,2.236841917037964
2000-06-13,2.236841917037964
2000-06-14,2.236841917037964
2000-06-15,2.236841917037964
2000-06-16,2.203947067260742
2000-06-19,2.236841917037964
2000-06-20,2.236841917037964
2000-06-21,2.236841917037964
2000-06-22,2.236841917037964
2000-06-23,2.236841917037964
2000-06-26,2.236841917037964
2000-06-27,2.236841917037964
2000-06-28,2.1875
2000-06-29,2.1875
2000-06-30,2.1875
2000-07-03,2.1875
2000-07-05,2.2697370052337646
2000-07-06,2.2697370052337646
2000-07-07,2.2697370052337646
2000-07-10,2.2697370052337646
2000-07-11,2.2697370052337646
2000-07-12,2.3684210777282715
2000-07-13,2.3684210777282715
2000-07-14,2.3684210777282715
2000-07-17,2.3684210777282715
2000-07-18,2.3684210777282715
2000-07-19,2.3026320934295654
2000-07-20,2.3026320934295654
2000-07-21,2.3026320934295654
2000-07-24,2.5
2000-07-25,2.5
2000-07-26,2.401315927505493
2000-07-27,2.401315927505493
2000-07-28,2.401315927505493
2000-07-31,2.2697370052337646
2000-08-01,2.2697370052337646
2000-08-02,2.236841917037964
2000-08-03,2.236841917037964
2000-08-04,2.236841917037964
2000-08-07,2.236841917037964
2000-08-08,2.2697370052337646
2000-08-09,2.2697370052337646
2000-08-10,2.2697370052337646
2000-08-11,2.2697370052337646
2000-08-14,2.2697370052337646
2000-08-15,2.2697370052337646
2000-08-16,2.2697370052337646
2000-08-17,2.3026320934295654
2000-08-18,2.5699009895324707
2000-08-21,2.5699009895324707
2000-08-22,2.5699009895324707
2000-08-23,2.5699009895324707
2000-08-24,2.5699009895324707
2000-08-25,2.5699009895324707
2000-08-28,2.5699009895324707
2000-08-29,2.828947067260742
2000-08-30,2.6315789222717285
2000-08-31,2.6315789222717285
2000-09-01,2.6315789222717285
2000-09-05,2.6315789222717285
2000-09-06,2.6315789222717285
2000-09-07,2.7302629947662354
2000-09-08,2.7302629947662354
2000-09-11,2.7302629947662354
2000-09-12,2.7302629947662354
2000-09-13,2.7302629947662354
2000-09-14,2.7302629947662354
2000-09-15,2.7302629947662354
2000-09-18,2.7302629947662354
2000-09-19,2.7302629947662354
2000-09-20,2.7302629947662354
2000-09-21,2.7302629947662354
2000-09-22,2.7302629947662354
2000-09-25,2.7302629947662354
2000-09-26,2.7302629947662354
2000-09-27,2.7302629947662354
2000-09-28,2.7302629947662354
2000-09-29,2.8947370052337646
2000-10-02,2.8947370052337646
2000-10-03,2.8947370052337646
2000-10-04,2.8947370052337646
2000-10-05,2.828947067260742
2000-10-06,2.598684072494507
2000-10-09,2.598684072494507
2000-10-10,2.598684072494507
2000-10-11,2.598684072494507
2000-10-12,2.8947370052337646
2000-10-13,2.8947370052337646
2000-10-16,2.8947370052337646
2000-10-17,2.6315789222717285
2000-10-18,2.6315789222717285
2000-10-19,2.6315789222717285
2000-10-20,2.828947067260742
2000-10-23,2.7302629947662354
2000-10-24,2.763158082962036
2000-10-25,2.763158082962036
2000-10-26,2.763158082962036
2000-10-27,2.763158082962036
2000-10-30,2.763158082962036
2000-10-31,2.763158082962036
2000-11-01,2.763158082962036
2000-11-02,2.828947067260742
2000-11-03,2.828947067260742
2000-11-06,2.828947067260742
2000-11-07,2.828947067260742
2000-11-08,2.828947067260742
2000-11-09,2.828947067260742
2000-11-10,2.828947067260742
2000-11-13,2.828947067260742
2000-11-14,2.828947067260742
2000-11-15,2.828947067260742
2000-11-16,2.828947067260742
2000-11-17,2.828947067260742
2000-11-20,2.828947067260742
2000-11-21,2.828947067260742
2000-11-22,2.828947067260742
2000-11-24,2.828947067260742
2000-11-27,2.828947067260742
2000-11-28,2.828947067260742
2000-11-29,2.828947067260742
2000-11-30,2.828947067260742
2000-12-01,2.828947067260742
2000-12-04,2.828947067260742
2000-12-05,2.828947067260742
2000-12-06,2.861841917037964
2000-12-07,2.861841917037964
2000-12-08,2.763158082962036
2000-12-11,2.763158082962036
2000-12-12,2.763158082962036
2000-12-13,2.763158082962036
2000-12-14,2.763158082962036
2000-12-15,2.763158082962036
2000-12-18,2.763158082962036
2000-12-19,2.763158082962036
2000-12-20,2.763158082962036
2000-12-21,2.763158082962036
2000-12-22,2.763158082962036
2000-12-26,2.763158082962036
2000-12-27,2.763158082962036
2000-12-28,2.845395088195801
2000-12-29,2.845395088195801
2001-01-02,2.8947370052337646
2001-01-03,2.8947370052337646
2001-01-04,2.8947370052337646
2001-01-05,2.8947370052337646
2001-01-08,2.8947370052337646
2001-01-09,3.026315927505493
2001-01-10,3.026315927505493
2001-01-11,3.026315927505493
2001-01-12,3.026315927505493
2001-01-16,3.026315927505493
