,DAKT
1994-02-10,1.15625
1994-02-11,1.15625
1994-02-14,1.15625
1994-02-15,1.1875
1994-02-16,1.125
1994-02-17,1.125
1994-02-18,1.09375
1994-02-22,1.0625
1994-02-23,1.15625
1994-02-24,1.15625
1994-02-25,1.09375
1994-02-28,1.125
1994-03-01,1.0625
1994-03-02,1.0625
1994-03-03,1.125
1994-03-04,1.125
1994-03-07,1.0625
1994-03-08,1.0625
1994-03-09,1.0625
1994-03-10,1.078125
1994-03-11,1.0625
1994-03-14,1.078125
1994-03-15,1.125
1994-03-16,1.0625
1994-03-17,1.09375
1994-03-18,1.125
1994-03-21,1.0625
1994-03-22,1.078125
1994-03-23,1.09375
1994-03-24,1.0625
1994-03-25,1.09375
1994-03-28,1.0
1994-03-29,1.0625
1994-03-30,1.0625
1994-03-31,1.015625
1994-04-04,1.0625
1994-04-05,1.0625
1994-04-06,1.0
1994-04-07,0.96875
1994-04-08,0.96875
1994-04-11,1.0625
1994-04-12,1.0625
1994-04-13,1.078125
1994-04-14,1.0625
1994-04-15,1.0625
1994-04-18,1.0625
1994-04-19,1.046875
1994-04-20,1.03125
1994-04-21,1.09375
1994-04-22,1.03125
1994-04-25,1.09375
1994-04-26,1.09375
1994-04-28,1.0
1994-04-29,1.09375
1994-05-02,1.0625
1994-05-03,1.0
1994-05-04,1.03125
1994-05-05,0.96875
1994-05-06,1.03125
1994-05-09,0.984375
1994-05-10,0.96875
1994-05-11,1.0
1994-05-12,0.96875
1994-05-13,0.90625
1994-05-16,0.96875
1994-05-17,0.953125
1994-05-18,0.953125
1994-05-19,0.90625
1994-05-20,0.9375
1994-05-23,0.9375
1994-05-24,0.96875
1994-05-25,0.953125
1994-05-26,0.9375
1994-05-27,1.0
1994-05-31,1.0
1994-06-01,0.9375
1994-06-02,0.9375
1994-06-03,0.96875
1994-06-06,1.03125
1994-06-07,1.03125
1994-06-08,1.03125
1994-06-09,1.03125
1994-06-10,1.0625
1994-06-13,1.0
1994-06-14,0.96875
1994-06-15,1.03125
1994-06-16,0.96875
1994-06-17,1.0
1994-06-20,0.96875
1994-06-21,0.921875
1994-06-22,0.984375
1994-06-23,0.984375
1994-06-24,0.9375
1994-06-27,0.984375
1994-06-28,0.9375
1994-06-29,0.9375
1994-06-30,1.0
1994-07-01,1.0
1994-07-05,0.96875
1994-07-06,0.9375
1994-07-07,1.0
1994-07-08,1.0
1994-07-11,0.9375
1994-07-12,0.9375
1994-07-13,0.9375
1994-07-14,0.96875
1994-07-15,0.984375
1994-07-18,1.0
1994-07-19,1.015625
1994-07-20,1.0
1994-07-21,1.0625
1994-07-22,1.0625
1994-07-25,1.0625
1994-07-26,1.0625
1994-07-27,1.0625
1994-07-28,1.0625
1994-07-29,1.09375
1994-08-01,1.09375
1994-08-02,1.125
1994-08-03,1.0625
1994-08-04,1.0625
1994-08-05,1.09375
1994-08-08,1.03125
1994-08-09,1.09375
1994-08-10,1.0625
1994-08-11,0.9765629768371582
1994-08-12,0.9765629768371582
1994-08-15,1.0
1994-08-16,0.984375
1994-08-17,1.03125
1994-08-18,1.03125
1994-08-19,0.96875
1994-08-22,0.9765629768371582
1994-08-23,1.0
1994-08-24,0.90625
1994-08-25,0.8125
1994-08-26,0.875
1994-08-29,0.90625
1994-08-30,0.875
1994-08-31,0.84375
1994-09-01,0.90625
1994-09-02,0.84375
1994-09-06,0.875
1994-09-07,0.875
1994-09-08,0.90625
1994-09-09,0.9375
1994-09-12,0.9375
1994-09-13,0.875
1994-09-14,0.9375
1994-09-15,0.8984379768371582
1994-09-16,0.90625
1994-09-19,0.9375
1994-09-20,0.9375
1994-09-21,0.875
1994-09-22,0.9375
1994-09-23,0.9375
1994-09-26,0.90625
1994-09-27,0.875
1994-09-28,0.90625
1994-09-29,0.859375
1994-09-30,0.84375
1994-10-03,0.84375
1994-10-04,0.90625
1994-10-05,0.90625
1994-10-06,0.90625
1994-10-07,0.84375
1994-10-10,0.84375
1994-10-11,0.84375
1994-10-12,0.90625
1994-10-13,0.875
1994-10-14,0.875
1994-10-17,0.890625
1994-10-18,0.9375
1994-10-19,0.96875
1994-10-20,0.921875
1994-10-21,0.9375
1994-10-24,0.90625
1994-10-25,0.96875
1994-10-26,0.953125
1994-10-27,0.953125
1994-10-28,0.96875
1994-10-31,0.96875
1994-11-01,0.90625
1994-11-02,0.90625
1994-11-03,0.90625
1994-11-04,0.9375
1994-11-07,0.984375
1994-11-08,0.984375
1994-11-09,0.984375
1994-11-10,0.875
1994-11-11,0.859375
1994-11-14,0.875
1994-11-15,0.8125
1994-11-16,0.84375
1994-11-17,0.84375
1994-11-18,0.8125
1994-11-21,0.796875
1994-11-22,0.78125
1994-11-23,0.71875
1994-11-25,0.75
1994-11-28,0.71875
1994-11-29,0.65625
1994-11-30,0.6875
1994-12-01,0.6875
1994-12-02,0.71875
1994-12-05,0.71875
1994-12-06,0.71875
1994-12-07,0.71875
1994-12-08,0.6875
1994-12-09,0.71875
1994-12-12,0.71875
1994-12-13,0.65625
1994-12-14,0.71875
1994-12-15,0.6875
1994-12-16,0.6875
1994-12-19,0.625
1994-12-20,0.65625
1994-12-21,0.65625
1994-12-22,0.65625
1994-12-23,0.6171879768371582
1994-12-27,0.65625
1994-12-28,0.671875
1994-12-29,0.625
1994-12-30,0.65625
1995-01-03,0.703125
1995-01-04,0.6796879768371582
1995-01-05,0.703125
1995-01-06,0.65625
1995-01-09,0.65625
1995-01-10,0.65625
1995-01-11,0.65625
1995-01-12,0.65625
1995-01-13,0.703125
1995-01-16,0.703125
1995-01-17,0.65625
1995-01-18,0.671875
1995-01-19,0.65625
1995-01-20,0.65625
1995-01-23,0.65625
1995-01-24,0.6875
1995-01-25,0.6875
1995-01-26,0.6875
1995-01-27,0.65625
1995-01-30,0.6640629768371582
1995-01-31,0.65625
1995-02-01,0.65625
1995-02-02,0.6640629768371582
1995-02-03,0.65625
1995-02-06,0.671875
1995-02-07,0.6640629768371582
1995-02-08,0.6640629768371582
1995-02-09,0.65625
1995-02-10,0.75
1995-02-13,0.75
1995-02-14,0.703125
1995-02-15,0.78125
1995-02-16,0.890625
1995-02-17,0.875
1995-02-21,0.84375
1995-02-22,0.796875
1995-02-23,0.75
1995-02-24,0.8046879768371582
1995-02-27,0.75
1995-02-28,0.75
1995-03-01,0.75
1995-03-02,0.75
1995-03-03,0.8125
1995-03-06,0.75
1995-03-07,0.75
1995-03-08,0.75
1995-03-09,0.75
1995-03-10,0.8125
1995-03-13,0.75
1995-03-14,0.75
1995-03-15,0.75
1995-03-16,0.765625
1995-03-17,0.75
1995-03-20,0.75
1995-03-21,0.75
1995-03-22,0.75
1995-03-23,0.75
1995-03-24,0.765625
1995-03-27,0.765625
1995-03-28,0.78125
1995-03-29,0.71875
1995-03-30,0.78125
1995-03-31,0.734375
1995-04-03,0.78125
1995-04-04,0.78125
1995-04-05,0.734375
1995-04-06,0.71875
1995-04-07,0.78125
1995-04-10,0.75
1995-04-11,0.71875
1995-04-12,0.78125
1995-04-13,0.765625
1995-04-17,0.796875
1995-04-18,0.859375
1995-04-19,0.890625
1995-04-20,0.8125
1995-04-21,0.890625
1995-04-24,0.890625
1995-04-25,0.875
1995-04-26,0.890625
1995-04-27,0.890625
1995-04-28,0.890625
1995-05-01,0.859375
1995-05-02,0.859375
1995-05-03,0.890625
1995-05-04,0.859375
1995-05-05,0.84375
1995-05-08,0.84375
1995-05-09,0.8125
1995-05-10,0.84375
1995-05-11,0.8125
1995-05-12,0.8125
1995-05-15,0.84375
1995-05-16,0.84375
1995-05-17,0.890625
1995-05-18,0.8828129768371582
1995-05-19,0.90625
1995-05-22,0.859375
1995-05-23,0.859375
1995-05-24,0.875
1995-05-25,0.859375
1995-05-26,0.859375
1995-05-30,0.859375
1995-05-31,0.859375
1995-06-01,0.859375
1995-06-02,0.875
1995-06-05,0.875
1995-06-06,0.859375
1995-06-07,0.875
1995-06-08,0.859375
1995-06-09,0.859375
1995-06-12,0.90625
1995-06-13,0.859375
1995-06-14,0.90625
1995-06-15,0.859375
1995-06-16,0.859375
1995-06-19,0.90625
1995-06-20,0.828125
1995-06-21,0.796875
1995-06-22,0.828125
1995-06-23,0.75
1995-06-26,0.6875
1995-06-27,0.703125
1995-06-28,0.734375
1995-06-29,0.75
1995-06-30,0.71875
1995-07-03,0.765625
1995-07-05,0.765625
1995-07-06,0.75
1995-07-07,0.71875
1995-07-10,0.71875
1995-07-11,0.71875
1995-07-12,0.71875
1995-07-13,0.71875
1995-07-14,0.703125
1995-07-17,0.734375
1995-07-18,0.71875
1995-07-19,0.71875
1995-07-20,0.75
1995-07-21,0.75
1995-07-24,0.75
1995-07-25,0.75
1995-07-26,0.71875
1995-07-27,0.71875
1995-07-28,0.71875
1995-07-31,0.71875
1995-08-01,0.703125
1995-08-02,0.703125
1995-08-03,0.703125
1995-08-04,0.75
1995-08-07,0.703125
1995-08-08,0.703125
1995-08-09,0.7050780057907104
1995-08-10,0.734375
