,FHB
2016-08-05,24.84000015258789
2016-08-08,24.579999923706055
2016-08-09,24.40999984741211
2016-08-10,24.454999923706055
2016-08-11,24.829999923706055
2016-08-12,25.010000228881836
2016-08-15,25.290000915527344
2016-08-16,25.209999084472656
2016-08-17,25.5
2016-08-18,25.770000457763672
2016-08-19,26.25
2016-08-22,26.25
2016-08-23,26.579999923706055
2016-08-24,26.520000457763672
2016-08-25,26.75
2016-08-26,26.56999969482422
2016-08-29,26.489999771118164
2016-08-30,26.510000228881836
2016-08-31,26.579999923706055
2016-09-01,26.610000610351562
2016-09-02,27.190000534057617
2016-09-06,26.31999969482422
2016-09-07,26.329999923706055
2016-09-08,26.149999618530273
2016-09-09,26.530000686645508
2016-09-12,26.719999313354492
2016-09-13,26.31999969482422
2016-09-14,26.399999618530273
2016-09-15,26.350000381469727
2016-09-16,26.18000030517578
2016-09-19,26.790000915527344
2016-09-20,26.780000686645508
2016-09-21,27.040000915527344
2016-09-22,26.799999237060547
2016-09-23,26.770000457763672
2016-09-26,26.329999923706055
2016-09-27,26.809999465942383
2016-09-28,26.6200008392334
2016-09-29,26.68000030517578
2016-09-30,26.860000610351562
2016-10-03,26.420000076293945
2016-10-04,26.739999771118164
2016-10-05,26.299999237060547
2016-10-06,26.559999465942383
2016-10-07,26.81999969482422
2016-10-10,26.860000610351562
2016-10-11,26.56999969482422
2016-10-12,26.420000076293945
2016-10-13,26.18000030517578
2016-10-14,26.360000610351562
2016-10-17,26.260000228881836
2016-10-18,26.700000762939453
2016-10-19,26.790000915527344
2016-10-20,26.850000381469727
2016-10-21,26.770000457763672
2016-10-24,27.280000686645508
2016-10-25,27.209999084472656
2016-10-26,26.93000030517578
2016-10-27,26.899999618530273
2016-10-28,27.059999465942383
2016-10-31,27.280000686645508
2016-11-01,26.799999237060547
2016-11-02,26.780000686645508
2016-11-03,26.770000457763672
2016-11-04,26.729999542236328
2016-11-07,26.700000762939453
2016-11-08,26.600000381469727
2016-11-09,27.639999389648438
2016-11-10,28.93000030517578
2016-11-11,28.84000015258789
2016-11-14,29.860000610351562
2016-11-15,29.610000610351562
