,DFHT
2020-09-21,9.899999618530273
2020-09-22,10.130000114440918
2020-09-23,10.130000114440918
2020-09-24,10.130000114440918
2020-09-25,10.130000114440918
2020-09-28,10.130000114440918
2020-09-29,10.130000114440918
2020-09-30,10.5
2020-10-01,10.619999885559082
2020-10-02,10.210000038146973
2020-10-05,10.619999885559082
2020-10-06,10.520000457763672
2020-10-07,10.444999694824219
2020-10-08,10.649999618530273
2020-10-09,10.550000190734863
2020-10-12,10.550000190734863
2020-10-13,10.199999809265137
2020-10-14,10.199999809265137
2020-10-15,10.270000457763672
2020-10-16,10.270000457763672
2020-10-19,10.25
2020-10-20,10.25
2020-10-21,10.204999923706055
2020-10-22,10.204999923706055
2020-10-23,10.199999809265137
2020-10-26,10.149999618530273
2020-10-27,10.25
2020-10-28,10.300000190734863
2020-10-29,10.300000190734863
2020-10-30,10.100000381469727
2020-11-02,10.119999885559082
2020-11-03,10.350000381469727
2020-11-04,10.25
2020-11-05,10.25
2020-11-06,10.199999809265137
2020-11-09,10.199999809265137
2020-11-10,10.149999618530273
2020-11-11,10.149999618530273
2020-11-12,10.199999809265137
2020-11-13,10.199999809265137
2020-11-16,10.149999618530273
2020-11-17,10.149999618530273
2020-11-18,10.15999984741211
2020-11-19,10.15999984741211
2020-11-20,10.25
2020-11-23,10.350000381469727
2020-11-24,10.25
2020-11-25,10.449999809265137
2020-11-27,10.350000381469727
2020-11-30,10.699999809265137
2020-12-01,11.0
2020-12-02,11.25
2020-12-03,11.050000190734863
2020-12-04,11.329999923706055
2020-12-07,11.050000190734863
2020-12-08,11.0
2020-12-09,11.050000190734863
2020-12-10,11.0
2020-12-11,11.100000381469727
2020-12-14,10.960000038146973
2020-12-15,10.699999809265137
2020-12-16,11.260000228881836
2020-12-17,11.260000228881836
2020-12-18,14.350000381469727
2020-12-21,14.220000267028809
2020-12-22,14.4399995803833
2020-12-23,14.819999694824219
2020-12-24,15.0
2020-12-28,15.270000457763672
2020-12-29,14.899999618530273
2020-12-30,15.300000190734863
2020-12-31,15.600000381469727
2021-01-04,16.049999237060547
2021-01-05,15.670000076293945
2021-01-06,16.0
2021-01-07,16.420000076293945
2021-01-08,16.290000915527344
2021-01-11,16.979999542236328
2021-01-12,16.5
2021-01-13,16.280000686645508
2021-01-14,15.680000305175781
2021-01-15,16.020000457763672
2021-01-19,16.469999313354492
2021-01-20,15.850000381469727
2021-01-21,15.800000190734863
2021-01-22,16.239999771118164
2021-01-25,15.520000457763672
2021-01-26,15.039999961853027
2021-01-27,13.779999732971191
2021-01-28,13.699999809265137
2021-01-29,13.970000267028809
2021-02-01,13.75
2021-02-02,13.399999618530273
2021-02-03,13.510000228881836
2021-02-04,13.130000114440918
2021-02-05,13.390000343322754
2021-02-08,13.479999542236328
2021-02-09,13.109999656677246
2021-02-10,12.90999984741211
2021-02-11,13.550000190734863
2021-02-12,14.399999618530273
2021-02-16,14.5
2021-02-17,14.010000228881836
2021-02-18,14.5
2021-02-19,14.15999984741211
2021-02-22,14.020000457763672
2021-02-23,13.40999984741211
2021-02-24,13.260000228881836
2021-02-25,12.90999984741211
2021-02-26,12.6899995803833
2021-03-01,13.130000114440918
2021-03-02,12.649999618530273
2021-03-03,13.289999961853027
2021-03-04,12.390000343322754
2021-03-05,11.710000038146973
2021-03-08,12.239999771118164
2021-03-09,12.399999618530273
2021-03-10,12.229999542236328
2021-03-11,12.170000076293945
2021-03-12,12.850000381469727
2021-03-15,14.5
2021-03-16,14.119999885559082
2021-03-17,14.1899995803833
2021-03-18,14.619999885559082
2021-03-19,14.050000190734863
2021-03-22,14.149999618530273
2021-03-23,14.029999732971191
2021-03-24,13.819999694824219
2021-03-25,13.529999732971191
2021-03-26,13.050000190734863
2021-03-29,12.600000381469727
2021-03-30,12.529999732971191
2021-03-31,12.119999885559082
2021-04-01,12.140000343322754
2021-04-05,12.619999885559082
2021-04-06,12.699999809265137
2021-04-07,13.300000190734863
2021-04-08,13.399999618530273
2021-04-09,13.970000267028809
2021-04-12,14.0
2021-04-13,13.5
2021-04-14,13.5
2021-04-15,13.40999984741211
2021-04-16,13.1899995803833
2021-04-19,13.029999732971191
2021-04-20,12.5
2021-04-21,12.550000190734863
2021-04-22,12.619999885559082
2021-04-23,12.510000228881836
2021-04-26,12.630000114440918
2021-04-27,13.140000343322754
2021-04-28,13.0
2021-04-29,12.5
2021-04-30,12.770000457763672
2021-05-03,13.0
2021-05-04,13.039999961853027
2021-05-05,13.020000457763672
2021-05-06,13.0
2021-05-07,12.75
2021-05-10,12.550000190734863
2021-05-11,12.510000228881836
2021-05-12,12.479999542236328
2021-05-13,12.9399995803833
2021-05-14,12.90999984741211
