,CSIQ
2006-11-09,15.630000114440918
2006-11-10,15.079999923706055
2006-11-13,14.699999809265137
2006-11-14,15.0
2006-11-15,15.079999923706055
2006-11-16,15.449999809265137
2006-11-17,15.220000267028809
2006-11-20,14.770000457763672
2006-11-21,14.899999618530273
2006-11-22,15.199999809265137
2006-11-24,15.010000228881836
2006-11-27,14.800000190734863
2006-11-28,12.84000015258789
2006-11-29,12.600000381469727
2006-11-30,12.079999923706055
2006-12-01,11.989999771118164
2006-12-04,10.59000015258789
2006-12-05,11.75
2006-12-06,11.550000190734863
2006-12-07,11.170000076293945
2006-12-08,10.930000305175781
2006-12-11,10.300000190734863
2006-12-12,10.050000190734863
2006-12-13,10.079999923706055
2006-12-14,10.279999732971191
2006-12-15,10.0
2006-12-18,9.979999542236328
2006-12-19,9.729999542236328
2006-12-20,9.880000114440918
2006-12-21,9.75
2006-12-22,9.569999694824219
2006-12-26,9.600000381469727
2006-12-27,9.829999923706055
2006-12-28,10.130000114440918
2006-12-29,10.479999542236328
2007-01-03,10.819999694824219
2007-01-04,10.40999984741211
2007-01-05,10.149999618530273
2007-01-08,9.979999542236328
2007-01-09,9.770000457763672
2007-01-10,9.680000305175781
2007-01-11,9.880000114440918
2007-01-12,9.890000343322754
2007-01-16,9.75
2007-01-17,9.720000267028809
2007-01-18,9.479999542236328
2007-01-19,9.460000038146973
2007-01-22,9.479999542236328
2007-01-23,9.84000015258789
2007-01-24,10.760000228881836
2007-01-25,9.890000343322754
2007-01-26,9.649999618530273
2007-01-29,10.329999923706055
2007-01-30,11.600000381469727
2007-01-31,10.960000038146973
2007-02-01,11.460000038146973
2007-02-02,11.34000015258789
2007-02-05,12.149999618530273
2007-02-06,11.539999961853027
2007-02-07,11.010000228881836
2007-02-08,11.449999809265137
2007-02-09,10.899999618530273
2007-02-12,10.390000343322754
2007-02-13,10.670000076293945
2007-02-14,11.550000190734863
2007-02-15,12.40999984741211
2007-02-16,12.819999694824219
2007-02-20,13.430000305175781
2007-02-21,13.1899995803833
2007-02-22,12.649999618530273
2007-02-23,12.329999923706055
2007-02-26,12.600000381469727
2007-02-27,11.229999542236328
2007-02-28,11.130000114440918
2007-03-01,10.699999809265137
2007-03-02,10.319999694824219
2007-03-05,9.880000114440918
2007-03-06,10.539999961853027
2007-03-07,10.430000305175781
2007-03-08,11.140000343322754
2007-03-09,11.199999809265137
2007-03-12,10.869999885559082
2007-03-13,10.819999694824219
2007-03-14,9.329999923706055
2007-03-15,9.399999618530273
2007-03-16,9.119999885559082
2007-03-19,8.859999656677246
2007-03-20,9.25
2007-03-21,9.34000015258789
2007-03-22,9.649999618530273
2007-03-23,9.949999809265137
2007-03-26,9.75
2007-03-27,9.600000381469727
2007-03-28,9.59000015258789
2007-03-29,9.710000038146973
2007-03-30,9.75
2007-04-02,9.949999809265137
2007-04-03,9.710000038146973
2007-04-04,9.880000114440918
2007-04-05,9.84000015258789
2007-04-09,9.680000305175781
2007-04-10,9.800000190734863
2007-04-11,10.050000190734863
2007-04-12,10.369999885559082
2007-04-13,10.84000015258789
2007-04-16,13.5
2007-04-17,12.100000381469727
2007-04-18,12.149999618530273
2007-04-19,11.369999885559082
2007-04-20,11.680000305175781
2007-04-23,11.930000305175781
2007-04-24,12.130000114440918
2007-04-25,12.199999809265137
2007-04-26,12.130000114440918
2007-04-27,11.520000457763672
2007-04-30,10.649999618530273
2007-05-01,10.34000015258789
2007-05-02,10.289999961853027
2007-05-03,9.949999809265137
2007-05-04,10.140000343322754
2007-05-07,10.149999618530273
2007-05-08,10.220000267028809
2007-05-09,10.329999923706055
2007-05-10,10.180000305175781
2007-05-11,10.210000038146973
2007-05-14,10.399999618530273
2007-05-15,10.229999542236328
2007-05-16,9.720000267028809
2007-05-17,9.789999961853027
2007-05-18,9.510000228881836
2007-05-21,9.600000381469727
