,BSCL
2013-07-17,20.079999923706055
2013-07-18,20.100000381469727
2013-07-19,20.100000381469727
2013-07-22,20.1299991607666
2013-07-23,20.079999923706055
2013-07-24,20.040000915527344
2013-07-25,20.040000915527344
2013-07-26,20.030000686645508
2013-07-29,19.989999771118164
2013-07-30,19.950000762939453
2013-07-31,20.020000457763672
2013-08-01,19.90999984741211
2013-08-02,19.770000457763672
2013-08-05,19.899999618530273
2013-08-06,19.8799991607666
2013-08-07,19.920000076293945
2013-08-08,19.950000762939453
2013-08-09,20.0
2013-08-12,20.0
2013-08-13,20.0
2013-08-14,19.860000610351562
2013-08-15,19.770000457763672
2013-08-16,19.709999084472656
2013-08-19,19.530000686645508
2013-08-20,19.540000915527344
2013-08-21,19.559999465942383
2013-08-22,19.559999465942383
2013-08-23,19.56999969482422
2013-08-26,19.670000076293945
2013-08-27,19.760000228881836
2013-08-28,19.729999542236328
2013-08-29,19.719999313354492
2013-08-30,19.719999313354492
2013-09-03,19.579999923706055
2013-09-04,19.540000915527344
2013-09-05,19.399999618530273
2013-09-06,19.469999313354492
2013-09-09,19.520000457763672
2013-09-10,19.469999313354492
2013-09-11,19.479999542236328
2013-09-12,19.540000915527344
2013-09-13,19.549999237060547
2013-09-16,19.540000915527344
2013-09-17,19.579999923706055
2013-09-18,19.600000381469727
2013-09-19,19.770000457763672
2013-09-20,19.780000686645508
2013-09-23,19.799999237060547
2013-09-24,19.860000610351562
2013-09-25,19.799999237060547
2013-09-26,19.850000381469727
2013-09-27,19.889999389648438
2013-09-30,19.639999389648438
2013-10-01,19.670000076293945
2013-10-02,19.84000015258789
2013-10-03,19.799999237060547
2013-10-04,19.809999465942383
2013-10-07,19.829999923706055
2013-10-08,19.84000015258789
2013-10-09,19.799999237060547
2013-10-10,19.790000915527344
2013-10-11,19.790000915527344
2013-10-14,19.75
2013-10-15,19.75
2013-10-16,19.790000915527344
2013-10-17,19.8700008392334
2013-10-18,19.940000534057617
2013-10-21,19.920000076293945
2013-10-22,19.989999771118164
2013-10-23,20.049999237060547
2013-10-24,20.040000915527344
2013-10-25,20.040000915527344
2013-10-28,19.979999542236328
2013-10-29,20.049999237060547
2013-10-30,20.049999237060547
2013-10-31,20.0
2013-11-01,19.940000534057617
2013-11-04,19.93000030517578
2013-11-05,19.84000015258789
2013-11-06,19.8799991607666
2013-11-07,19.920000076293945
2013-11-08,19.770000457763672
2013-11-11,19.770000457763672
2013-11-12,19.75
2013-11-13,19.780000686645508
2013-11-14,19.889999389648438
2013-11-15,19.899999618530273
2013-11-18,19.959999084472656
2013-11-19,19.899999618530273
2013-11-20,19.809999465942383
2013-11-21,19.860000610351562
2013-11-22,19.940000534057617
2013-11-25,20.020000457763672
2013-11-26,20.049999237060547
2013-11-27,20.040000915527344
2013-11-29,20.100000381469727
2013-12-02,20.049999237060547
2013-12-03,20.09000015258789
2013-12-04,19.989999771118164
2013-12-05,19.989999771118164
2013-12-06,19.989999771118164
2013-12-09,20.020000457763672
2013-12-10,20.100000381469727
2013-12-11,20.100000381469727
2013-12-12,20.100000381469727
2013-12-13,20.059999465942383
2013-12-16,20.09000015258789
2013-12-17,20.100000381469727
2013-12-18,20.190000534057617
2013-12-19,20.1299991607666
2013-12-20,20.139999389648438
2013-12-23,20.139999389648438
2013-12-24,20.049999237060547
2013-12-26,20.09000015258789
2013-12-27,20.0
2013-12-30,20.010000228881836
2013-12-31,20.010000228881836
2014-01-02,20.079999923706055
2014-01-03,20.010000228881836
2014-01-06,20.059999465942383
2014-01-07,20.1299991607666
2014-01-08,20.09000015258789
2014-01-09,20.139999389648438
2014-01-10,20.309999465942383
2014-01-13,20.299999237060547
2014-01-14,20.25
2014-01-15,20.260000228881836
2014-01-16,20.290000915527344
2014-01-17,20.309999465942383
2014-01-21,20.309999465942383
2014-01-22,20.229999542236328
2014-01-23,20.309999465942383
2014-01-24,20.420000076293945
2014-01-27,20.329999923706055
2014-01-28,20.360000610351562
2014-01-29,20.479999542236328
2014-01-30,20.440000534057617
2014-01-31,20.510000228881836
2014-02-03,20.549999237060547
2014-02-04,20.510000228881836
2014-02-05,20.40999984741211
2014-02-06,20.450000762939453
2014-02-07,20.450000762939453
2014-02-10,20.459999084472656
2014-02-11,20.420000076293945
2014-02-12,20.43000030517578
2014-02-13,20.450000762939453
2014-02-14,20.479999542236328
2014-02-18,20.510000228881836
2014-02-19,20.440000534057617
2014-02-20,20.5
2014-02-21,20.520000457763672
2014-02-24,20.510000228881836
2014-02-25,20.530000686645508
2014-02-26,20.610000610351562
2014-02-27,20.639999389648438
2014-02-28,20.639999389648438
2014-03-03,20.670000076293945
2014-03-04,20.6200008392334
2014-03-05,20.579999923706055
2014-03-06,20.540000915527344
2014-03-07,20.440000534057617
2014-03-10,20.450000762939453
2014-03-11,20.469999313354492
2014-03-12,20.479999542236328
2014-03-13,20.600000381469727
2014-03-14,20.579999923706055
2014-03-17,20.579999923706055
2014-03-18,20.56999969482422
2014-03-19,20.5
2014-03-20,20.479999542236328
2014-03-21,20.530000686645508
2014-03-24,20.479999542236328
2014-03-25,20.56999969482422
2014-03-26,20.549999237060547
2014-03-27,20.600000381469727
2014-03-28,20.639999389648438
2014-03-31,20.6200008392334
2014-04-01,20.559999465942383
2014-04-02,20.489999771118164
2014-04-03,20.520000457763672
2014-04-04,20.600000381469727
