,BMEA
2021-04-16,18.600000381469727
2021-04-19,17.0
2021-04-20,16.790000915527344
2021-04-21,17.459999084472656
2021-04-22,17.610000610351562
2021-04-23,16.799999237060547
2021-04-26,17.489999771118164
2021-04-27,16.989999771118164
2021-04-28,17.079999923706055
2021-04-29,16.969999313354492
2021-04-30,16.950000762939453
2021-05-03,17.0
2021-05-04,16.959999084472656
2021-05-05,17.049999237060547
2021-05-06,17.079999923706055
2021-05-07,16.940000534057617
2021-05-10,16.6299991607666
2021-05-11,16.3799991607666
2021-05-12,15.880000114440918
2021-05-13,15.90999984741211
2021-05-14,15.869999885559082
