,DWMC
2018-07-11,24.690000534057617
2018-07-12,24.700000762939453
2018-07-13,24.600000381469727
2018-07-16,24.450000762939453
2018-07-17,24.610000610351562
2018-07-18,24.780000686645508
2018-07-19,24.860000610351562
2018-07-20,24.860000610351562
2018-07-23,24.933000564575195
2018-07-24,24.5
2018-07-25,24.74799919128418
2018-07-26,24.809999465942383
2018-07-27,24.25
2018-07-30,23.69099998474121
2018-07-31,23.860000610351562
2018-08-01,24.014999389648438
2018-08-02,24.014999389648438
2018-08-03,24.014999389648438
2018-08-06,24.014999389648438
2018-08-07,24.18000030517578
2018-08-08,24.18000030517578
2018-08-09,24.18000030517578
2018-08-10,24.45400047302246
2018-08-13,24.52199935913086
2018-08-14,24.52199935913086
2018-08-15,24.1200008392334
2018-08-16,24.15999984741211
2018-08-17,24.549999237060547
2018-08-20,24.621000289916992
2018-08-21,24.790000915527344
2018-08-22,24.790000915527344
2018-08-23,25.006999969482422
2018-08-24,25.006999969482422
2018-08-27,25.579999923706055
2018-08-28,25.59000015258789
2018-08-29,25.59000015258789
2018-08-30,25.781999588012695
2018-08-31,26.018999099731445
2018-09-04,26.010000228881836
2018-09-05,25.582000732421875
2018-09-06,25.582000732421875
2018-09-07,25.582000732421875
2018-09-10,25.489999771118164
2018-09-11,25.549999237060547
2018-09-12,25.299999237060547
2018-09-13,25.200000762939453
2018-09-14,25.117000579833984
2018-09-17,24.74799919128418
2018-09-18,24.951000213623047
2018-09-19,24.613000869750977
2018-09-20,24.839000701904297
2018-09-21,24.7189998626709
2018-09-24,25.100000381469727
2018-09-25,25.025999069213867
2018-09-26,24.959999084472656
2018-09-27,24.67300033569336
2018-09-28,24.889999389648438
2018-10-01,24.280000686645508
2018-10-02,24.280000686645508
2018-10-03,24.280000686645508
2018-10-04,23.554000854492188
2018-10-05,23.280000686645508
2018-10-08,22.899999618530273
2018-10-09,23.049999237060547
2018-10-10,22.25
2018-10-11,21.891000747680664
2018-10-12,22.0
2018-10-15,22.152000427246094
2018-10-16,22.899999618530273
2018-10-17,22.799999237060547
2018-10-18,22.850000381469727
2018-10-19,22.729999542236328
2018-10-22,22.325000762939453
2018-10-23,22.325000762939453
2018-10-24,21.090999603271484
2018-10-25,21.450000762939453
2018-10-26,21.450000762939453
2018-10-29,21.200000762939453
2018-10-30,21.739999771118164
2018-10-31,21.902999877929688
