,BECN
2004-09-23,10.65999984741211
2004-09-24,10.633333206176758
2004-09-27,10.533332824707031
2004-09-28,10.633333206176758
2004-09-29,10.91333293914795
2004-09-30,10.933333396911621
2004-10-01,10.966667175292969
2004-10-04,10.833333015441895
2004-10-05,10.666666984558105
2004-10-06,10.686667442321777
2004-10-07,10.800000190734863
2004-10-08,11.319999694824219
2004-10-11,11.533332824707031
2004-10-12,11.58666706085205
2004-10-13,11.393333435058594
2004-10-14,11.326666831970215
2004-10-15,11.453332901000977
2004-10-18,11.446666717529297
2004-10-19,11.460000038146973
2004-10-20,11.333333015441895
2004-10-21,11.5600004196167
2004-10-22,11.553333282470703
2004-10-25,11.579999923706055
2004-10-26,12.166666984558105
2004-10-27,12.300000190734863
2004-10-28,12.426667213439941
2004-10-29,12.5
2004-11-01,12.133333206176758
2004-11-02,11.91333293914795
2004-11-03,11.866666793823242
2004-11-04,11.853333473205566
2004-11-05,11.846667289733887
2004-11-08,12.0
2004-11-09,12.199999809265137
2004-11-10,12.033332824707031
2004-11-11,11.933333396911621
2004-11-12,11.786666870117188
2004-11-15,11.713333129882812
2004-11-16,11.653332710266113
2004-11-17,11.853333473205566
2004-11-18,12.0
2004-11-19,11.933333396911621
2004-11-22,11.853333473205566
2004-11-23,11.986666679382324
2004-11-24,12.173333168029785
2004-11-26,12.073332786560059
2004-11-29,12.24666690826416
2004-11-30,12.220000267028809
2004-12-01,13.0
2004-12-02,13.199999809265137
2004-12-03,13.286666870117188
2004-12-06,13.393333435058594
2004-12-07,13.699999809265137
2004-12-08,13.5
2004-12-09,13.399999618530273
2004-12-10,13.353333473205566
2004-12-13,13.826666831970215
2004-12-14,13.846667289733887
2004-12-15,14.106666564941406
2004-12-16,14.333333015441895
2004-12-17,13.666666984558105
2004-12-20,13.666666984558105
2004-12-21,12.886667251586914
2004-12-22,12.833333015441895
2004-12-23,12.920000076293945
2004-12-27,12.800000190734863
2004-12-28,13.166666984558105
2004-12-29,13.166666984558105
2004-12-30,13.0600004196167
2004-12-31,13.239999771118164
2005-01-03,12.933333396911621
2005-01-04,12.733332633972168
2005-01-05,12.866666793823242
2005-01-06,12.819999694824219
2005-01-07,12.886667251586914
2005-01-10,12.866666793823242
2005-01-11,13.0
2005-01-12,12.84000015258789
2005-01-13,12.933333396911621
2005-01-14,13.359999656677246
