,AGNCO
2019-09-27,24.90999984741211
2019-09-30,25.049999237060547
2019-10-01,25.049999237060547
2019-10-02,25.040000915527344
2019-10-03,25.139999389648438
2019-10-04,25.110000610351562
2019-10-07,25.1200008392334
2019-10-08,25.25
2019-10-09,25.25
2019-10-10,25.110000610351562
2019-10-11,25.06999969482422
2019-10-14,25.18000030517578
2019-10-15,25.190000534057617
2019-10-16,25.18000030517578
2019-10-17,25.229999542236328
2019-10-18,25.170000076293945
2019-10-21,25.149999618530273
2019-10-22,25.18000030517578
2019-10-23,25.239999771118164
2019-10-24,25.399999618530273
2019-10-25,25.399999618530273
2019-10-28,25.420000076293945
2019-10-29,25.434999465942383
2019-10-30,25.649999618530273
2019-10-31,25.729999542236328
2019-11-01,25.549999237060547
2019-11-04,25.514999389648438
2019-11-05,25.4950008392334
2019-11-06,25.540000915527344
2019-11-07,25.579999923706055
2019-11-08,25.632999420166016
2019-11-11,25.639999389648438
2019-11-12,25.639999389648438
2019-11-13,25.549999237060547
2019-11-14,25.579999923706055
2019-11-15,25.625
2019-11-18,25.59000015258789
2019-11-19,25.549999237060547
2019-11-20,25.649999618530273
2019-11-21,25.684999465942383
2019-11-22,25.700000762939453
2019-11-25,25.6200008392334
2019-11-26,25.75
2019-11-27,25.649999618530273
2019-11-29,25.579999923706055
2019-12-02,25.610000610351562
2019-12-03,25.59000015258789
2019-12-04,25.729999542236328
2019-12-05,25.75
2019-12-06,25.760000228881836
2019-12-09,25.690000534057617
2019-12-10,25.600000381469727
2019-12-11,25.600000381469727
2019-12-12,25.579999923706055
2019-12-13,25.600000381469727
2019-12-16,25.760000228881836
2019-12-17,25.889999389648438
2019-12-18,25.920000076293945
2019-12-19,25.889999389648438
2019-12-20,25.899999618530273
2019-12-23,25.979999542236328
2019-12-24,25.959999084472656
2019-12-26,25.899999618530273
2019-12-27,25.959999084472656
2019-12-30,25.590999603271484
2019-12-31,25.649999618530273
2020-01-02,25.799999237060547
2020-01-03,25.81999969482422
2020-01-06,25.68000030517578
2020-01-07,25.739999771118164
2020-01-08,25.8700008392334
2020-01-09,25.729999542236328
2020-01-10,25.8700008392334
2020-01-13,25.75
2020-01-14,25.760000228881836
2020-01-15,25.8700008392334
2020-01-16,25.760000228881836
2020-01-17,26.059999465942383
2020-01-21,26.079999923706055
2020-01-22,26.079999923706055
2020-01-23,25.899999618530273
2020-01-24,25.969999313354492
2020-01-27,25.860000610351562
2020-01-28,25.860000610351562
2020-01-29,25.84000015258789
2020-01-30,25.93000030517578
2020-01-31,25.950000762939453
2020-02-03,26.070999145507812
2020-02-04,25.8700008392334
2020-02-05,26.01799964904785
2020-02-06,25.989999771118164
2020-02-07,26.010000228881836
2020-02-10,26.010000228881836
2020-02-11,26.0
2020-02-12,25.979999542236328
2020-02-13,26.040000915527344
2020-02-14,25.940000534057617
2020-02-18,25.90999984741211
2020-02-19,25.8799991607666
2020-02-20,25.950000762939453
2020-02-21,25.940000534057617
2020-02-24,25.8700008392334
2020-02-25,25.860000610351562
2020-02-26,25.75
2020-02-27,25.260000228881836
2020-02-28,24.709999084472656
2020-03-02,25.149999618530273
2020-03-03,25.25
2020-03-04,25.639999389648438
2020-03-05,25.389999389648438
2020-03-06,25.100000381469727
2020-03-09,24.399999618530273
2020-03-10,23.90999984741211
2020-03-11,22.645000457763672
2020-03-12,18.809999465942383
2020-03-13,19.600000381469727
2020-03-16,18.149999618530273
2020-03-17,16.5
2020-03-18,10.489999771118164
2020-03-19,16.079999923706055
2020-03-20,15.350000381469727
2020-03-23,15.029999732971191
2020-03-24,15.680000305175781
2020-03-25,16.989999771118164
2020-03-26,20.059999465942383
2020-03-27,20.559999465942383
2020-03-30,19.399999618530273
2020-03-31,18.5
2020-04-01,17.350000381469727
2020-04-02,18.229999542236328
2020-04-03,18.260000228881836
2020-04-06,20.889999389648438
2020-04-07,21.59000015258789
2020-04-08,22.239999771118164
2020-04-09,21.889999389648438
2020-04-13,20.889999389648438
2020-04-14,20.780000686645508
2020-04-15,19.959999084472656
2020-04-16,20.600000381469727
2020-04-17,21.75
2020-04-20,21.549999237060547
2020-04-21,21.799999237060547
2020-04-22,21.440000534057617
2020-04-23,21.43000030517578
2020-04-24,21.31999969482422
2020-04-27,21.5
2020-04-28,21.979999542236328
2020-04-29,22.229999542236328
2020-04-30,22.450000762939453
2020-05-01,22.219999313354492
2020-05-04,22.0
2020-05-05,22.110000610351562
2020-05-06,22.18000030517578
2020-05-07,22.299999237060547
2020-05-08,22.489999771118164
2020-05-11,22.1200008392334
2020-05-12,21.899999618530273
2020-05-13,21.3700008392334
2020-05-14,21.270000457763672
2020-05-15,21.450000762939453
2020-05-18,21.882999420166016
2020-05-19,21.950000762939453
2020-05-20,22.06999969482422
2020-05-21,21.989999771118164
2020-05-22,22.0
2020-05-26,22.360000610351562
2020-05-27,22.43000030517578
2020-05-28,22.34000015258789
2020-05-29,22.350000381469727
2020-06-01,22.5
2020-06-02,22.5
2020-06-03,22.459999084472656
2020-06-04,22.510000228881836
2020-06-05,22.799999237060547
2020-06-08,23.100000381469727
2020-06-09,22.90999984741211
2020-06-10,23.079999923706055
2020-06-11,22.420000076293945
2020-06-12,22.450000762939453
2020-06-15,22.559999465942383
2020-06-16,22.6299991607666
2020-06-17,22.389999389648438
2020-06-18,22.149999618530273
2020-06-19,22.270000457763672
2020-06-22,22.270000457763672
2020-06-23,22.540000915527344
2020-06-24,22.280000686645508
2020-06-25,22.149999618530273
2020-06-26,22.06999969482422
2020-06-29,21.959999084472656
2020-06-30,21.639999389648438
2020-07-01,21.729999542236328
2020-07-02,21.549999237060547
2020-07-06,21.670000076293945
2020-07-07,21.549999237060547
2020-07-08,21.920000076293945
2020-07-09,21.75
2020-07-10,21.860000610351562
2020-07-13,21.860000610351562
2020-07-14,21.829999923706055
2020-07-15,22.059999465942383
2020-07-16,22.170000076293945
2020-07-17,22.25
2020-07-20,22.40999984741211
2020-07-21,22.479999542236328
2020-07-22,22.530000686645508
2020-07-23,22.6299991607666
2020-07-24,22.549999237060547
2020-07-27,22.649999618530273
2020-07-28,22.610000610351562
2020-07-29,22.81999969482422
2020-07-30,22.600000381469727
2020-07-31,22.719999313354492
2020-08-03,22.864999771118164
2020-08-04,22.75
2020-08-05,22.770000457763672
2020-08-06,22.829999923706055
2020-08-07,22.850000381469727
2020-08-10,23.09000015258789
2020-08-11,23.18000030517578
2020-08-12,23.25
2020-08-13,23.200000762939453
2020-08-14,23.280000686645508
2020-08-17,23.5
2020-08-18,23.399999618530273
2020-08-19,23.530000686645508
2020-08-20,23.559999465942383
2020-08-21,23.525999069213867
2020-08-24,23.690000534057617
2020-08-25,23.40999984741211
2020-08-26,23.520000457763672
2020-08-27,23.43000030517578
2020-08-28,23.469999313354492
2020-08-31,23.299999237060547
2020-09-01,23.520000457763672
2020-09-02,23.450000762939453
2020-09-03,23.420000076293945
2020-09-04,23.450000762939453
2020-09-08,23.450000762939453
2020-09-09,23.635000228881836
2020-09-10,23.565000534057617
2020-09-11,23.3799991607666
2020-09-14,23.549999237060547
2020-09-15,23.489999771118164
2020-09-16,23.489999771118164
2020-09-17,23.459999084472656
2020-09-18,23.6200008392334
2020-09-21,23.43000030517578
2020-09-22,23.459999084472656
2020-09-23,23.194000244140625
2020-09-24,23.209999084472656
2020-09-25,23.326000213623047
2020-09-28,23.43000030517578
2020-09-29,23.31999969482422
2020-09-30,22.780000686645508
2020-10-01,22.81999969482422
2020-10-02,22.780000686645508
2020-10-05,22.799999237060547
2020-10-06,22.739999771118164
2020-10-07,22.770000457763672
2020-10-08,22.81999969482422
2020-10-09,22.809999465942383
2020-10-12,22.799999237060547
2020-10-13,22.760000228881836
2020-10-14,22.709999084472656
2020-10-15,22.649999618530273
2020-10-16,22.8700008392334
2020-10-19,22.940000534057617
2020-10-20,22.979999542236328
2020-10-21,22.8799991607666
2020-10-22,22.959999084472656
2020-10-23,22.75
2020-10-26,22.549999237060547
2020-10-27,22.6200008392334
2020-10-28,22.15999984741211
2020-10-29,22.209999084472656
2020-10-30,22.170000076293945
2020-11-02,22.0
2020-11-03,21.989999771118164
2020-11-04,22.0
2020-11-05,22.030000686645508
2020-11-06,21.899999618530273
2020-11-09,22.260000228881836
2020-11-10,22.540000915527344
2020-11-11,22.209999084472656
2020-11-12,22.09000015258789
2020-11-13,22.190000534057617
2020-11-16,22.510000228881836
2020-11-17,22.540000915527344
2020-11-18,22.700000762939453
2020-11-19,22.799999237060547
2020-11-20,22.6200008392334
2020-11-23,22.950000762939453
2020-11-24,23.040000915527344
2020-11-25,23.09000015258789
2020-11-27,23.190000534057617
2020-11-30,23.110000610351562
2020-12-01,23.3700008392334
2020-12-02,23.479999542236328
2020-12-03,23.5
2020-12-04,23.549999237060547
2020-12-07,23.770000457763672
2020-12-08,23.899999618530273
2020-12-09,23.950000762939453
2020-12-10,23.950000762939453
2020-12-11,23.950000762939453
2020-12-14,23.889999389648438
2020-12-15,24.059999465942383
2020-12-16,24.229999542236328
2020-12-17,24.31999969482422
2020-12-18,24.260000228881836
2020-12-21,24.34000015258789
2020-12-22,24.350000381469727
2020-12-23,24.5
2020-12-24,24.610000610351562
2020-12-28,24.90999984741211
2020-12-29,24.940000534057617
2020-12-30,24.760000228881836
2020-12-31,24.709999084472656
2021-01-04,24.469999313354492
2021-01-05,24.59000015258789
2021-01-06,24.450000762939453
2021-01-07,24.3700008392334
2021-01-08,24.450000762939453
2021-01-11,24.3799991607666
2021-01-12,24.290000915527344
2021-01-13,24.510000228881836
2021-01-14,24.59000015258789
2021-01-15,24.639999389648438
2021-01-19,24.670000076293945
2021-01-20,24.75
2021-01-21,24.739999771118164
2021-01-22,24.899999618530273
2021-01-25,24.579999923706055
2021-01-26,24.5
2021-01-27,24.209999084472656
2021-01-28,24.31999969482422
2021-01-29,24.43000030517578
2021-02-01,24.43000030517578
2021-02-02,24.489999771118164
2021-02-03,24.440000534057617
2021-02-04,24.549999237060547
2021-02-05,24.719999313354492
2021-02-08,24.65999984741211
2021-02-09,24.559999465942383
2021-02-10,24.440000534057617
2021-02-11,24.530000686645508
2021-02-12,24.5
2021-02-16,24.530000686645508
2021-02-17,24.469999313354492
2021-02-18,24.514999389648438
2021-02-19,24.540000915527344
