,AIA
2007-11-20,48.11000061035156
2007-11-21,45.97999954223633
2007-11-23,45.97999954223633
2007-11-26,46.58000183105469
2007-11-27,47.439998626708984
2007-11-28,49.279998779296875
2007-11-29,49.88999938964844
2007-11-30,49.36000061035156
2007-12-03,49.18000030517578
2007-12-04,49.2599983215332
2007-12-05,49.90999984741211
2007-12-06,51.470001220703125
2007-12-07,50.15999984741211
2007-12-10,50.0
2007-12-11,48.2400016784668
2007-12-12,48.560001373291016
2007-12-13,48.18000030517578
2007-12-14,47.2599983215332
2007-12-17,45.189998626708984
2007-12-18,45.84000015258789
2007-12-19,47.20000076293945
2007-12-20,47.20000076293945
2007-12-21,48.560001373291016
2007-12-24,48.9900016784668
2007-12-26,48.970001220703125
2007-12-27,47.77000045776367
2007-12-28,48.02000045776367
2007-12-31,48.09000015258789
2008-01-02,46.880001068115234
2008-01-03,47.0
2008-01-04,45.88999938964844
2008-01-07,46.41999816894531
2008-01-08,45.939998626708984
2008-01-09,47.279998779296875
2008-01-10,47.29999923706055
2008-01-11,45.70000076293945
2008-01-14,46.15999984741211
2008-01-15,44.470001220703125
2008-01-16,42.790000915527344
2008-01-17,42.63999938964844
2008-01-18,43.59000015258789
2008-01-22,43.31999969482422
2008-01-23,42.11000061035156
2008-01-24,43.4900016784668
2008-01-25,43.369998931884766
2008-01-28,42.939998626708984
2008-01-29,43.349998474121094
2008-01-30,42.459999084472656
2008-01-31,43.619998931884766
2008-02-01,43.650001525878906
2008-02-04,44.630001068115234
2008-02-05,42.75
2008-02-06,41.2599983215332
2008-02-07,41.84000015258789
2008-02-08,41.90999984741211
2008-02-11,42.209999084472656
2008-02-12,42.43000030517578
2008-02-13,43.400001525878906
2008-02-14,43.349998474121094
2008-02-15,43.29999923706055
2008-02-19,43.81999969482422
2008-02-20,44.099998474121094
2008-02-21,43.119998931884766
2008-02-22,43.459999084472656
2008-02-25,44.04999923706055
2008-02-26,44.90999984741211
2008-02-27,45.400001525878906
2008-02-28,45.099998474121094
2008-02-29,43.52000045776367
2008-03-03,43.47999954223633
2008-03-04,42.880001068115234
2008-03-05,43.310001373291016
2008-03-06,42.83000183105469
2008-03-07,42.56999969482422
2008-03-10,42.130001068115234
2008-03-11,42.91999816894531
2008-03-12,42.72999954223633
2008-03-13,41.709999084472656
2008-03-14,40.459999084472656
2008-03-17,39.93000030517578
2008-03-18,41.529998779296875
2008-03-19,40.099998474121094
2008-03-20,40.560001373291016
2008-03-24,43.54999923706055
2008-03-25,43.900001525878906
2008-03-26,43.209999084472656
2008-03-27,42.97999954223633
2008-03-28,43.349998474121094
2008-03-31,43.20000076293945
2008-04-01,45.349998474121094
2008-04-02,45.040000915527344
2008-04-03,45.70000076293945
2008-04-04,45.65999984741211
2008-04-07,46.029998779296875
2008-04-08,45.459999084472656
2008-04-09,44.650001525878906
2008-04-10,45.400001525878906
2008-04-11,45.0
2008-04-14,45.0
2008-04-15,45.099998474121094
2008-04-16,46.43000030517578
2008-04-17,45.77000045776367
2008-04-18,46.45000076293945
2008-04-21,46.599998474121094
2008-04-22,46.29999923706055
2008-04-23,47.5
2008-04-24,47.5099983215332
2008-04-25,46.63999938964844
2008-04-28,47.84000015258789
2008-04-29,47.720001220703125
2008-04-30,48.040000915527344
2008-05-01,48.4900016784668
2008-05-02,48.369998931884766
2008-05-05,48.0
2008-05-06,48.400001525878906
2008-05-07,46.68000030517578
2008-05-08,46.61000061035156
2008-05-09,46.18000030517578
2008-05-12,46.31999969482422
2008-05-13,46.630001068115234
2008-05-14,47.25
2008-05-15,47.630001068115234
2008-05-16,48.119998931884766
2008-05-19,48.38999938964844
2008-05-20,46.439998626708984
2008-05-21,46.349998474121094
2008-05-22,46.439998626708984
2008-05-23,45.189998626708984
2008-05-27,45.720001220703125
