,ESSA
2007-04-04,11.779999732971191
2007-04-05,12.010000228881836
2007-04-09,12.149999618530273
2007-04-10,12.149999618530273
2007-04-11,12.0600004196167
2007-04-12,12.0
2007-04-13,12.010000228881836
2007-04-16,11.979999542236328
2007-04-17,11.989999771118164
2007-04-18,11.989999771118164
2007-04-19,11.989999771118164
2007-04-20,11.989999771118164
2007-04-23,11.899999618530273
2007-04-24,11.819999694824219
2007-04-25,11.619999885559082
2007-04-26,11.550000190734863
2007-04-27,11.529999732971191
2007-04-30,11.460000038146973
2007-05-01,11.449999809265137
2007-05-02,11.449999809265137
2007-05-03,11.460000038146973
2007-05-04,11.479999542236328
2007-05-07,11.5
2007-05-08,11.520000457763672
2007-05-09,11.5
2007-05-10,11.550000190734863
2007-05-11,11.649999618530273
2007-05-14,11.460000038146973
2007-05-15,11.470000267028809
2007-05-16,11.5
2007-05-17,11.460000038146973
2007-05-18,11.579999923706055
2007-05-21,11.520000457763672
2007-05-22,11.5600004196167
2007-05-23,11.510000228881836
2007-05-24,11.510000228881836
2007-05-25,11.449999809265137
2007-05-29,11.40999984741211
2007-05-30,11.399999618530273
2007-05-31,11.40999984741211
2007-06-01,11.399999618530273
2007-06-04,11.390000343322754
2007-06-05,11.399999618530273
2007-06-06,11.420000076293945
2007-06-07,11.390000343322754
2007-06-08,11.380000114440918
2007-06-11,11.359999656677246
2007-06-12,11.300000190734863
2007-06-13,11.3100004196167
2007-06-14,11.25
2007-06-15,11.25
2007-06-18,11.430000305175781
2007-06-19,11.460000038146973
2007-06-20,11.399999618530273
2007-06-21,11.449999809265137
2007-06-22,11.399999618530273
2007-06-25,11.449999809265137
2007-06-26,11.100000381469727
2007-06-27,11.079999923706055
2007-06-28,11.100000381469727
2007-06-29,11.050000190734863
2007-07-02,11.09000015258789
2007-07-03,11.050000190734863
2007-07-05,11.050000190734863
2007-07-06,11.0600004196167
2007-07-09,11.100000381469727
2007-07-10,11.029999732971191
2007-07-11,10.970000267028809
2007-07-12,11.010000228881836
2007-07-13,11.0
2007-07-16,11.0
2007-07-17,11.079999923706055
2007-07-18,10.960000038146973
2007-07-19,10.949999809265137
2007-07-20,10.989999771118164
2007-07-23,10.930000305175781
2007-07-24,10.779999732971191
2007-07-25,10.75
2007-07-26,10.699999809265137
2007-07-27,10.949999809265137
2007-07-30,10.90999984741211
2007-07-31,10.8100004196167
2007-08-01,10.84000015258789
2007-08-02,10.75
2007-08-03,10.640000343322754
2007-08-06,10.300000190734863
2007-08-07,10.399999618530273
2007-08-08,10.699999809265137
2007-08-09,10.5
2007-08-10,10.399999618530273
2007-08-13,10.390000343322754
2007-08-14,10.3100004196167
2007-08-15,10.300000190734863
2007-08-16,10.199999809265137
2007-08-17,10.420000076293945
2007-08-20,10.520000457763672
2007-08-21,10.890000343322754
2007-08-22,10.979999542236328
2007-08-23,10.930000305175781
2007-08-24,11.119999885559082
2007-08-27,11.100000381469727
2007-08-28,11.350000381469727
2007-08-29,11.1899995803833
2007-08-30,11.15999984741211
2007-08-31,11.050000190734863
2007-09-04,11.220000267028809
2007-09-05,11.029999732971191
2007-09-06,11.0
2007-09-07,11.300000190734863
2007-09-10,11.4399995803833
2007-09-11,11.350000381469727
2007-09-12,11.300000190734863
2007-09-13,11.489999771118164
2007-09-14,11.289999961853027
2007-09-17,11.479999542236328
2007-09-18,11.289999961853027
2007-09-19,11.279999732971191
2007-09-20,11.180000305175781
2007-09-21,11.079999923706055
2007-09-24,11.15999984741211
2007-09-25,11.149999618530273
2007-09-26,11.109999656677246
2007-09-27,11.119999885559082
2007-09-28,11.149999618530273
2007-10-01,11.050000190734863
2007-10-02,11.149999618530273
2007-10-03,11.09000015258789
2007-10-04,11.100000381469727
2007-10-05,11.149999618530273
2007-10-08,11.25
2007-10-09,11.350000381469727
2007-10-10,11.430000305175781
2007-10-11,11.550000190734863
2007-10-12,11.75
2007-10-15,11.739999771118164
2007-10-16,11.739999771118164
2007-10-17,11.640000343322754
2007-10-18,11.300000190734863
2007-10-19,11.329999923706055
2007-10-22,11.319999694824219
2007-10-23,11.520000457763672
2007-10-24,11.59000015258789
2007-10-25,11.569999694824219
2007-10-26,11.430000305175781
2007-10-29,11.510000228881836
2007-10-30,11.479999542236328
2007-10-31,11.449999809265137
2007-11-01,11.399999618530273
2007-11-02,11.34000015258789
2007-11-05,11.329999923706055
2007-11-06,11.479999542236328
2007-11-07,11.390000343322754
2007-11-08,11.430000305175781
2007-11-09,11.550000190734863
2007-11-12,11.619999885559082
2007-11-13,11.670000076293945
2007-11-14,11.569999694824219
2007-11-15,11.550000190734863
2007-11-16,11.4399995803833
2007-11-19,11.369999885559082
2007-11-20,11.350000381469727
2007-11-21,11.149999618530273
2007-11-23,11.319999694824219
2007-11-26,11.319999694824219
2007-11-27,11.420000076293945
2007-11-28,11.449999809265137
2007-11-29,11.609999656677246
2007-11-30,11.149999618530273
2007-12-03,11.239999771118164
2007-12-04,11.100000381469727
2007-12-05,11.109999656677246
2007-12-06,11.0600004196167
2007-12-07,11.079999923706055
