,BIS
2011-01-20,3932.0
2011-01-21,3932.0
2011-01-24,3932.0
2011-01-25,3955.199951171875
2011-01-26,3812.0
2011-01-27,3812.0
2011-01-28,4011.199951171875
2011-01-31,4011.199951171875
2011-02-01,4011.199951171875
2011-02-02,4011.199951171875
2011-02-03,4011.199951171875
2011-02-04,4011.199951171875
2011-02-07,3984.800048828125
2011-02-08,4011.199951171875
2011-02-09,4048.0
2011-02-10,4025.60009765625
2011-02-11,4025.60009765625
2011-02-14,3956.800048828125
2011-02-15,3923.199951171875
2011-02-16,4061.60009765625
2011-02-17,4061.60009765625
2011-02-18,3877.60009765625
2011-02-22,4005.60009765625
2011-02-23,4080.0
2011-02-24,4059.199951171875
2011-02-25,4059.199951171875
2011-02-28,3932.800048828125
2011-03-01,3932.800048828125
2011-03-02,3924.800048828125
2011-03-03,3814.39990234375
2011-03-04,3814.39990234375
2011-03-07,3849.60009765625
2011-03-08,3760.800048828125
2011-03-09,3760.800048828125
2011-03-10,3867.199951171875
2011-03-11,3835.199951171875
2011-03-14,3854.39990234375
2011-03-15,3854.39990234375
2011-03-16,3854.39990234375
2011-03-17,4005.60009765625
2011-03-18,3924.0
2011-03-21,3813.60009765625
2011-03-22,3920.0
2011-03-23,3886.39990234375
2011-03-24,3886.39990234375
2011-03-25,3730.39990234375
2011-03-28,3769.60009765625
2011-03-29,3667.199951171875
2011-03-30,3504.0
2011-03-31,3472.0
2011-04-01,3472.0
2011-04-04,3416.0
2011-04-05,3328.0
2011-04-06,3328.0
2011-04-07,3328.0
2011-04-08,3324.0
2011-04-11,3330.39990234375
2011-04-12,3374.39990234375
2011-04-13,3297.60009765625
2011-04-14,3288.800048828125
2011-04-15,3288.800048828125
2011-04-18,3297.60009765625
2011-04-19,3297.60009765625
2011-04-20,3162.39990234375
2011-04-21,3154.39990234375
2011-04-25,3193.60009765625
2011-04-26,3148.0
2011-04-27,2960.0
2011-04-28,2923.199951171875
2011-04-29,2973.60009765625
2011-05-02,2952.0
2011-05-03,3007.199951171875
2011-05-04,3056.800048828125
2011-05-05,3140.800048828125
2011-05-06,3046.39990234375
2011-05-09,2955.199951171875
2011-05-10,2924.0
2011-05-11,2975.199951171875
2011-05-12,2879.199951171875
2011-05-13,2879.199951171875
2011-05-16,2976.0
2011-05-17,2990.39990234375
2011-05-18,2928.800048828125
2011-05-19,2972.800048828125
2011-05-20,2972.800048828125
2011-05-23,3047.199951171875
2011-05-24,3035.199951171875
2011-05-25,3035.199951171875
2011-05-26,3020.0
2011-05-27,2943.199951171875
2011-05-31,2889.60009765625
2011-06-01,2978.39990234375
2011-06-02,2958.39990234375
2011-06-03,3000.0
2011-06-06,3000.0
2011-06-07,3035.199951171875
2011-06-08,3054.39990234375
2011-06-09,3076.800048828125
2011-06-10,3205.60009765625
2011-06-13,3220.0
2011-06-14,3165.60009765625
2011-06-15,3236.0
2011-06-16,3276.800048828125
2011-06-17,3291.199951171875
2011-06-20,3240.0
2011-06-21,3168.800048828125
2011-06-22,3171.199951171875
2011-06-23,3284.800048828125
2011-06-24,3284.800048828125
2011-06-27,3143.199951171875
2011-06-28,3027.199951171875
2011-06-29,3022.39990234375
2011-06-30,2992.800048828125
2011-07-01,2937.60009765625
2011-07-05,2923.199951171875
2011-07-06,2889.60009765625
2011-07-07,2848.800048828125
2011-07-08,2838.39990234375
2011-07-11,2933.60009765625
2011-07-12,2936.0
2011-07-13,2865.60009765625
2011-07-14,2932.0
2011-07-15,2944.0
2011-07-18,3024.0
2011-07-19,3024.0
2011-07-20,2965.60009765625
2011-07-21,2965.60009765625
2011-07-22,2840.800048828125
2011-07-25,2942.39990234375
2011-07-26,3002.39990234375
2011-07-27,3164.800048828125
2011-07-28,3093.60009765625
2011-07-29,3126.39990234375
2011-08-01,3212.0
2011-08-02,3399.199951171875
2011-08-03,3418.39990234375
2011-08-04,3963.199951171875
2011-08-05,4034.39990234375
2011-08-08,4510.39990234375
2011-08-09,4001.60009765625
2011-08-10,4347.2001953125
2011-08-11,3989.60009765625
2011-08-12,3816.800048828125
2011-08-15,3608.0
2011-08-16,3633.60009765625
2011-08-17,3678.39990234375
2011-08-18,4010.39990234375
2011-08-19,3988.800048828125
2011-08-22,4047.199951171875
2011-08-23,3728.800048828125
2011-08-24,3712.800048828125
2011-08-25,3820.800048828125
2011-08-26,3820.800048828125
2011-08-29,3428.0
2011-08-30,3334.39990234375
2011-08-31,3336.0
2011-09-01,3455.199951171875
2011-09-02,3559.199951171875
2011-09-06,3484.800048828125
2011-09-07,3293.60009765625
2011-09-08,3270.39990234375
2011-09-09,3474.39990234375
2011-09-12,3443.199951171875
2011-09-13,3347.199951171875
2011-09-14,3259.199951171875
2011-09-15,3212.800048828125
2011-09-16,3212.800048828125
2011-09-19,3206.39990234375
2011-09-20,3206.39990234375
2011-09-21,3264.0
2011-09-22,3264.0
2011-09-23,3398.39990234375
2011-09-26,3367.199951171875
2011-09-27,3275.199951171875
2011-09-28,3275.199951171875
2011-09-29,3447.199951171875
2011-09-30,3488.800048828125
2011-10-03,3782.39990234375
2011-10-04,3641.60009765625
2011-10-05,3428.800048828125
2011-10-06,3271.199951171875
2011-10-07,3346.39990234375
2011-10-10,3252.0
2011-10-11,3240.0
2011-10-12,3240.0
2011-10-13,3194.39990234375
2011-10-14,3159.199951171875
