,FORE
2021-04-06,9.680999755859375
2021-04-07,9.96399974822998
2021-04-08,9.699999809265137
2021-04-09,9.770000457763672
2021-04-12,9.789999961853027
2021-04-13,9.829999923706055
2021-04-14,9.765000343322754
2021-04-15,9.850000381469727
2021-04-16,9.850000381469727
2021-04-19,9.869999885559082
2021-04-20,9.75
2021-04-21,9.770000457763672
2021-04-22,9.699999809265137
2021-04-23,9.729999542236328
2021-04-26,9.779999732971191
2021-04-27,9.720000267028809
2021-04-28,9.75
2021-04-29,9.75
2021-04-30,9.789999961853027
2021-05-03,9.760000228881836
2021-05-04,9.720000267028809
2021-05-05,9.729999542236328
2021-05-06,9.720000267028809
2021-05-07,9.720000267028809
2021-05-10,9.729999542236328
2021-05-11,9.75
2021-05-12,9.739999771118164
2021-05-13,9.710000038146973
2021-05-14,9.710000038146973
