,EDRY
2018-06-01,8.300000190734863
2018-06-04,8.600000381469727
2018-06-05,7.610000133514404
2018-06-06,7.550000190734863
2018-06-07,7.630000114440918
2018-06-08,7.429999828338623
2018-06-11,7.590000152587891
2018-06-12,8.25
2018-06-13,8.0
2018-06-14,8.60099983215332
2018-06-15,8.15999984741211
2018-06-18,8.010000228881836
2018-06-19,8.29800033569336
2018-06-20,8.350000381469727
2018-06-21,8.170000076293945
2018-06-22,9.305000305175781
2018-06-25,8.220000267028809
2018-06-26,7.949999809265137
2018-06-27,8.220000267028809
2018-06-28,8.199999809265137
2018-06-29,8.350000381469727
2018-07-02,8.3100004196167
2018-07-03,8.470000267028809
2018-07-05,8.25
2018-07-06,8.25
2018-07-09,8.25
2018-07-10,8.350000381469727
2018-07-11,7.614999771118164
2018-07-12,7.974999904632568
2018-07-13,7.940000057220459
2018-07-16,7.960000038146973
2018-07-17,7.889999866485596
2018-07-18,7.650000095367432
2018-07-19,7.449999809265137
2018-07-20,7.800000190734863
2018-07-23,7.829999923706055
2018-07-24,7.820000171661377
2018-07-25,7.989999771118164
2018-07-26,7.820000171661377
2018-07-27,7.800000190734863
2018-07-30,7.449999809265137
2018-07-31,7.539999961853027
2018-08-01,7.510000228881836
2018-08-02,7.510000228881836
2018-08-03,7.239999771118164
2018-08-06,7.150000095367432
2018-08-07,6.748000144958496
2018-08-08,6.599999904632568
2018-08-09,7.0
2018-08-10,6.710000038146973
2018-08-13,6.670000076293945
2018-08-14,6.650000095367432
2018-08-15,6.349999904632568
2018-08-16,6.75
2018-08-17,7.0
2018-08-20,7.300000190734863
2018-08-21,7.210000038146973
2018-08-22,7.260000228881836
2018-08-23,7.25
2018-08-24,7.150000095367432
2018-08-27,7.151000022888184
2018-08-28,7.269999980926514
2018-08-29,7.199999809265137
2018-08-30,7.0
2018-08-31,7.230000019073486
2018-09-04,7.110000133514404
2018-09-05,6.940000057220459
2018-09-06,7.150000095367432
2018-09-07,7.150000095367432
2018-09-10,6.966000080108643
2018-09-11,7.139999866485596
2018-09-12,7.150000095367432
2018-09-13,7.0
2018-09-14,7.079999923706055
2018-09-17,7.090000152587891
2018-09-18,7.190000057220459
2018-09-19,7.5
2018-09-20,7.681000232696533
2018-09-21,7.449999809265137
2018-09-24,7.599999904632568
2018-09-25,8.619999885559082
2018-09-26,9.3100004196167
2018-09-27,9.130000114440918
2018-09-28,9.40999984741211
2018-10-01,9.600000381469727
2018-10-02,9.718999862670898
2018-10-03,9.789999961853027
2018-10-04,10.399999618530273
2018-10-05,9.989999771118164
2018-10-08,9.399999618530273
2018-10-09,9.449999809265137
2018-10-10,9.0
2018-10-11,9.100000381469727
2018-10-12,9.0
2018-10-15,10.229999542236328
2018-10-16,9.779999732971191
2018-10-17,9.460000038146973
2018-10-18,9.90999984741211
2018-10-19,10.140000343322754
2018-10-22,11.75
2018-10-23,11.75
2018-10-24,11.850000381469727
2018-10-25,12.0
2018-10-26,12.399999618530273
2018-10-29,12.770000457763672
2018-10-30,11.699999809265137
2018-10-31,12.081000328063965
2018-11-01,12.010000228881836
2018-11-02,11.050000190734863
2018-11-05,10.949999809265137
2018-11-06,10.0
2018-11-07,10.5
2018-11-08,9.609999656677246
2018-11-09,10.149999618530273
2018-11-12,9.449999809265137
2018-11-13,11.25
2018-11-14,11.170000076293945
2018-11-15,11.149999618530273
2018-11-16,11.0
2018-11-19,9.449999809265137
2018-11-20,10.524999618530273
2018-11-21,10.140000343322754
2018-11-23,9.880000114440918
2018-11-26,9.569999694824219
2018-11-27,9.5600004196167
2018-11-28,9.0
2018-11-29,9.399999618530273
2018-11-30,9.274999618530273
2018-12-03,8.899999618530273
2018-12-04,8.670000076293945
2018-12-06,8.75
2018-12-07,8.970000267028809
2018-12-10,8.979999542236328
2018-12-11,9.210000038146973
2018-12-12,9.0
2018-12-13,8.920000076293945
2018-12-14,8.619999885559082
2018-12-17,9.050000190734863
2018-12-18,8.899999618530273
2018-12-19,9.149999618530273
2018-12-20,8.65999984741211
2018-12-21,8.399999618530273
2018-12-24,8.779999732971191
2018-12-26,8.800000190734863
2018-12-27,8.699999809265137
2018-12-28,8.75
2018-12-31,8.59000015258789
2019-01-02,8.529999732971191
2019-01-03,9.390000343322754
2019-01-04,9.020000457763672
2019-01-07,8.899999618530273
2019-01-08,8.899999618530273
2019-01-09,8.640000343322754
2019-01-10,8.656999588012695
2019-01-11,8.75
2019-01-14,8.751999855041504
2019-01-15,8.600000381469727
2019-01-16,8.630999565124512
2019-01-17,8.286999702453613
2019-01-18,8.760000228881836
2019-01-22,8.550000190734863
2019-01-23,8.25
2019-01-24,8.279999732971191
2019-01-25,8.069999694824219
2019-01-28,8.0
2019-01-29,7.920000076293945
2019-01-30,7.849999904632568
2019-01-31,7.599999904632568
2019-02-01,7.599999904632568
2019-02-04,7.510000228881836
2019-02-05,7.671999931335449
2019-02-06,7.611000061035156
2019-02-07,7.53000020980835
2019-02-08,7.449999809265137
2019-02-11,7.449999809265137
2019-02-12,7.650000095367432
2019-02-13,7.329999923706055
2019-02-14,7.644999980926514
2019-02-15,7.775000095367432
2019-02-19,8.300000190734863
2019-02-20,7.734000205993652
2019-02-21,7.889999866485596
