,CAHC
2021-03-19,9.800000190734863
2021-03-22,9.8100004196167
2021-03-23,9.699999809265137
2021-03-24,9.550000190734863
2021-03-25,9.600000381469727
2021-03-26,9.649999618530273
2021-03-29,9.619999885559082
2021-03-30,9.670000076293945
2021-03-31,9.670000076293945
2021-04-01,9.670000076293945
2021-04-05,9.699999809265137
2021-04-06,9.699999809265137
2021-04-07,10.0
2021-04-08,10.050000190734863
2021-04-09,10.020000457763672
2021-04-12,9.989999771118164
2021-04-13,9.949999809265137
2021-04-14,9.920000076293945
2021-04-15,9.949999809265137
2021-04-16,9.899999618530273
2021-04-19,9.800000190734863
2021-04-20,9.789999961853027
2021-04-21,9.84000015258789
2021-04-22,9.880000114440918
2021-04-23,9.90999984741211
2021-04-26,9.90999984741211
2021-04-27,9.869999885559082
2021-04-28,9.859999656677246
2021-04-29,9.869999885559082
2021-04-30,9.920000076293945
2021-05-03,9.949999809265137
2021-05-04,9.930000305175781
2021-05-05,9.899999618530273
2021-05-06,9.890000343322754
2021-05-07,9.890000343322754
2021-05-10,9.899999618530273
2021-05-11,9.890000343322754
2021-05-12,9.890000343322754
2021-05-13,9.880000114440918
2021-05-14,9.880000114440918
