,SNN
1999-11-16,6.7527008056640625
1999-11-17,6.865245819091797
1999-11-18,6.902760982513428
1999-11-19,6.815226078033447
1999-11-22,6.865245819091797
1999-11-23,6.927771091461182
1999-11-24,6.902760982513428
1999-11-26,6.902760982513428
1999-11-29,6.865245819091797
1999-11-30,6.915266036987305
1999-12-01,6.915266036987305
1999-12-02,6.915266036987305
1999-12-03,6.902760982513428
1999-12-06,6.80272102355957
1999-12-07,6.777710914611816
1999-12-08,6.5901360511779785
1999-12-09,6.5901360511779785
1999-12-10,6.6026411056518555
1999-12-13,6.577630996704102
1999-12-14,6.577630996704102
1999-12-15,6.702681064605713
1999-12-16,6.702681064605713
1999-12-17,6.652660846710205
1999-12-20,6.702681064605713
1999-12-21,6.740196228027344
1999-12-22,6.85274076461792
1999-12-23,6.7527008056640625
1999-12-27,6.7527008056640625
1999-12-28,6.7527008056640625
1999-12-29,6.7527008056640625
1999-12-30,6.740196228027344
1999-12-31,6.740196228027344
2000-01-03,6.727691173553467
2000-01-04,6.877750873565674
2000-01-05,6.890255928039551
2000-01-06,6.890255928039551
2000-01-07,6.927771091461182
2000-01-10,7.002800941467285
2000-01-11,7.102840900421143
2000-01-12,7.102840900421143
2000-01-13,7.06532621383667
2000-01-14,6.902760982513428
2000-01-18,6.85274076461792
2000-01-19,6.85274076461792
2000-01-20,6.877750873565674
2000-01-21,6.80272102355957
2000-01-24,6.527610778808594
2000-01-25,6.552620887756348
2000-01-26,6.427570819854736
2000-01-27,5.914865970611572
2000-01-28,6.002400875091553
2000-01-31,6.0774312019348145
2000-02-01,5.677270889282227
2000-02-02,5.889855861663818
2000-02-03,6.0524210929870605
2000-02-04,6.0649261474609375
2000-02-07,5.977390766143799
2000-02-08,5.977390766143799
2000-02-09,5.839836120605469
2000-02-10,5.314626216888428
2000-02-11,5.227090835571289
2000-02-14,5.227090835571289
2000-02-15,5.5272111892700195
2000-02-16,5.5272111892700195
2000-02-17,5.677270889282227
2000-02-18,5.952381134033203
2000-02-22,5.602241039276123
2000-02-23,6.352540969848633
2000-02-24,6.152461051940918
2000-02-25,6.002400875091553
2000-02-28,5.877350807189941
2000-02-29,6.10244083404541
2000-03-01,6.10244083404541
