,AUBAP
2020-06-03,25.149999618530273
2020-06-04,25.139999389648438
2020-06-05,25.0
2020-06-08,24.979999542236328
2020-06-09,25.0
2020-06-10,24.950000762939453
2020-06-11,24.299999237060547
2020-06-12,24.40999984741211
2020-06-15,24.469999313354492
2020-06-16,24.68000030517578
2020-06-17,24.420000076293945
2020-06-18,24.299999237060547
2020-06-19,24.200000762939453
2020-06-22,24.434999465942383
2020-06-23,24.729999542236328
2020-06-24,24.700000762939453
2020-06-25,24.899999618530273
2020-06-26,24.809999465942383
2020-06-29,24.770000457763672
2020-06-30,24.950000762939453
2020-07-01,24.940000534057617
2020-07-02,24.825000762939453
2020-07-06,24.799999237060547
2020-07-07,24.84000015258789
2020-07-08,24.8799991607666
2020-07-09,24.934999465942383
2020-07-10,24.850000381469727
2020-07-13,24.899999618530273
2020-07-14,24.940000534057617
2020-07-15,24.8700008392334
2020-07-16,24.889999389648438
2020-07-17,24.950000762939453
2020-07-20,25.0
2020-07-21,24.9950008392334
2020-07-22,25.040000915527344
2020-07-23,25.149999618530273
2020-07-24,25.100000381469727
2020-07-27,25.209999084472656
2020-07-28,25.368999481201172
2020-07-29,25.5
2020-07-30,25.299999237060547
2020-07-31,25.389999389648438
2020-08-03,25.479999542236328
2020-08-04,25.450000762939453
2020-08-05,25.635000228881836
2020-08-06,25.690000534057617
2020-08-07,25.8700008392334
2020-08-10,25.899999618530273
2020-08-11,25.770000457763672
2020-08-12,25.927000045776367
2020-08-13,25.600000381469727
2020-08-14,25.760000228881836
2020-08-17,25.719999313354492
2020-08-18,25.865999221801758
2020-08-19,25.90999984741211
2020-08-20,25.969999313354492
2020-08-21,26.0
2020-08-24,26.149999618530273
2020-08-25,26.1299991607666
2020-08-26,26.200000762939453
2020-08-27,26.049999237060547
2020-08-28,26.190000534057617
2020-08-31,26.239999771118164
2020-09-01,26.440000534057617
2020-09-02,26.299999237060547
2020-09-03,26.100000381469727
2020-09-04,26.329999923706055
2020-09-08,26.1299991607666
2020-09-09,26.389999389648438
2020-09-10,26.5
2020-09-11,26.299999237060547
2020-09-14,26.280000686645508
2020-09-15,26.280000686645508
2020-09-16,26.350000381469727
2020-09-17,26.290000915527344
2020-09-18,26.399999618530273
2020-09-21,26.299999237060547
2020-09-22,26.399999618530273
2020-09-23,26.420000076293945
2020-09-24,26.319000244140625
2020-09-25,26.31999969482422
2020-09-28,26.350000381469727
2020-09-29,26.479999542236328
2020-09-30,26.270000457763672
2020-10-01,26.479999542236328
2020-10-02,26.31999969482422
2020-10-05,26.270000457763672
2020-10-06,26.450000762939453
2020-10-07,26.5
2020-10-08,26.8700008392334
2020-10-09,26.5
2020-10-12,26.56999969482422
2020-10-13,26.639999389648438
2020-10-14,26.709999084472656
2020-10-15,26.700000762939453
2020-10-16,26.549999237060547
2020-10-19,26.639999389648438
2020-10-20,26.700000762939453
2020-10-21,26.540000915527344
2020-10-22,26.56999969482422
2020-10-23,26.739999771118164
2020-10-26,26.700000762939453
2020-10-27,26.860000610351562
2020-10-28,26.469999313354492
2020-10-29,26.600000381469727
2020-10-30,26.670000076293945
2020-11-02,26.799999237060547
2020-11-03,26.790000915527344
2020-11-04,27.0
2020-11-05,27.0
2020-11-06,26.889999389648438
2020-11-09,26.920000076293945
2020-11-10,27.139999389648438
2020-11-11,27.579999923706055
2020-11-12,27.350000381469727
2020-11-13,26.90999984741211
2020-11-16,26.899999618530273
2020-11-17,26.979999542236328
2020-11-18,27.1200008392334
2020-11-19,26.950000762939453
2020-11-20,26.9950008392334
2020-11-23,26.93000030517578
2020-11-24,27.030000686645508
2020-11-25,26.899999618530273
2020-11-27,27.0
2020-11-30,27.0
2020-12-01,27.09000015258789
2020-12-02,27.0
2020-12-03,26.795000076293945
2020-12-04,26.920000076293945
2020-12-07,26.790000915527344
2020-12-08,26.8799991607666
2020-12-09,26.829999923706055
2020-12-10,26.799999237060547
2020-12-11,26.760000228881836
2020-12-14,27.149999618530273
2020-12-15,27.1299991607666
2020-12-16,27.15999984741211
2020-12-17,27.31999969482422
2020-12-18,27.389999389648438
2020-12-21,27.399999618530273
2020-12-22,27.40999984741211
2020-12-23,27.485000610351562
2020-12-24,27.600000381469727
2020-12-28,27.59000015258789
2020-12-29,27.600000381469727
2020-12-30,27.649999618530273
2020-12-31,27.700000762939453
2021-01-04,27.420000076293945
2021-01-05,27.399999618530273
2021-01-06,27.06999969482422
2021-01-07,27.1200008392334
2021-01-08,27.149999618530273
2021-01-11,26.530000686645508
2021-01-12,26.809999465942383
2021-01-13,26.985000610351562
2021-01-14,26.950000762939453
2021-01-15,26.93000030517578
2021-01-19,27.049999237060547
2021-01-20,27.149999618530273
2021-01-21,27.219999313354492
2021-01-22,27.219999313354492
2021-01-25,27.200000762939453
2021-01-26,27.299999237060547
2021-01-27,26.920000076293945
2021-01-28,27.200000762939453
2021-01-29,27.270000457763672
2021-02-01,27.25
2021-02-02,27.209999084472656
2021-02-03,27.31999969482422
2021-02-04,27.59000015258789
2021-02-05,27.420000076293945
2021-02-08,27.450000762939453
2021-02-09,27.579999923706055
2021-02-10,27.59000015258789
2021-02-11,27.329999923706055
2021-02-12,27.040000915527344
2021-02-16,27.020000457763672
2021-02-17,26.940000534057617
2021-02-18,27.139999389648438
2021-02-19,26.8799991607666
2021-02-22,26.906999588012695
2021-02-23,27.079999923706055
2021-02-24,27.0
2021-02-25,26.75
2021-02-26,26.700000762939453
2021-03-01,26.829999923706055
2021-03-02,26.989999771118164
2021-03-03,27.077999114990234
2021-03-04,27.149999618530273
2021-03-05,27.15999984741211
2021-03-08,27.190000534057617
2021-03-09,27.25
2021-03-10,27.420000076293945
2021-03-11,27.399999618530273
2021-03-12,27.360000610351562
2021-03-15,27.31999969482422
2021-03-16,27.549999237060547
2021-03-17,27.540000915527344
2021-03-18,27.357999801635742
2021-03-19,27.450000762939453
2021-03-22,27.5
2021-03-23,27.510000228881836
2021-03-24,27.520000457763672
2021-03-25,27.360000610351562
2021-03-26,27.360000610351562
2021-03-29,27.34000015258789
2021-03-30,27.530000686645508
2021-03-31,27.530000686645508
2021-04-01,27.579999923706055
2021-04-05,27.6200008392334
2021-04-06,28.200000762939453
2021-04-07,27.68000030517578
2021-04-08,28.0
2021-04-09,27.610000610351562
2021-04-12,27.719999313354492
2021-04-13,27.950000762939453
2021-04-14,28.049999237060547
2021-04-15,27.829999923706055
2021-04-16,27.959999084472656
2021-04-19,27.989999771118164
2021-04-20,27.784000396728516
2021-04-21,27.700000762939453
2021-04-22,27.81999969482422
2021-04-23,27.610000610351562
2021-04-26,27.923999786376953
2021-04-27,27.760000228881836
2021-04-28,27.823999404907227
2021-04-29,27.799999237060547
2021-04-30,27.639999389648438
2021-05-03,27.770000457763672
2021-05-04,27.899999618530273
2021-05-05,27.719999313354492
2021-05-06,27.81999969482422
2021-05-07,27.8799991607666
2021-05-10,27.83099937438965
2021-05-11,27.850000381469727
2021-05-12,27.690000534057617
