,ALTUU
2020-12-09,10.210000038146973
2020-12-10,10.1899995803833
2020-12-11,10.289999961853027
2020-12-14,10.289999961853027
2020-12-15,10.300000190734863
2020-12-16,10.25
2020-12-17,10.239999771118164
2020-12-18,10.220000267028809
2020-12-21,10.319999694824219
2020-12-22,10.300000190734863
2020-12-23,10.329999923706055
2020-12-24,10.350000381469727
2020-12-28,10.399999618530273
2020-12-29,10.319999694824219
2020-12-30,10.5
2020-12-31,10.350000381469727
2021-01-04,10.350000381469727
2021-01-05,10.4399995803833
2021-01-06,10.5
2021-01-07,10.529999732971191
2021-01-08,10.489999771118164
2021-01-11,10.4399995803833
2021-01-12,10.494999885559082
2021-01-13,10.550000190734863
2021-01-14,10.569999694824219
2021-01-15,10.539999961853027
2021-01-19,10.5600004196167
2021-01-20,10.625
2021-01-21,10.640000343322754
2021-01-22,10.640000343322754
2021-01-25,10.8100004196167
2021-01-26,10.789999961853027
2021-01-27,10.510000228881836
2021-01-28,10.569999694824219
2021-01-29,10.800000190734863
2021-02-01,10.970000267028809
2021-02-02,11.100000381469727
2021-02-03,11.180000305175781
2021-02-04,11.199999809265137
2021-02-05,11.25
2021-02-08,11.210000038146973
2021-02-09,11.270000457763672
2021-02-10,11.390000343322754
2021-02-11,11.300000190734863
2021-02-12,11.350000381469727
2021-02-16,11.739999771118164
2021-02-17,11.84000015258789
2021-02-18,13.800000190734863
2021-02-19,15.680000305175781
2021-02-22,15.229999542236328
2021-02-23,13.850000381469727
2021-02-24,13.9399995803833
2021-02-25,12.770000457763672
2021-02-26,12.979999542236328
2021-03-01,13.520000457763672
2021-03-02,12.789999961853027
2021-03-03,12.010000228881836
2021-03-04,11.319999694824219
2021-03-05,11.729999542236328
2021-03-08,11.300000190734863
2021-03-09,11.446999549865723
2021-03-10,11.319999694824219
2021-03-11,11.890000343322754
2021-03-12,11.869999885559082
2021-03-15,11.619999885559082
2021-03-16,11.520000457763672
2021-03-17,11.989999771118164
2021-03-18,11.529999732971191
2021-03-19,11.279999732971191
2021-03-22,11.25
2021-03-23,10.75
2021-03-24,10.6899995803833
2021-03-25,10.609999656677246
2021-03-26,11.180000305175781
2021-03-29,11.114999771118164
2021-03-30,11.114999771118164
2021-03-31,10.774999618530273
2021-04-01,10.869999885559082
2021-04-05,10.920000076293945
2021-04-06,10.800000190734863
2021-04-07,10.90999984741211
2021-04-08,10.869999885559082
2021-04-09,10.869999885559082
2021-04-12,10.800000190734863
2021-04-13,10.989999771118164
2021-04-14,10.600000381469727
2021-04-15,10.609999656677246
2021-04-16,10.609999656677246
2021-04-19,10.5
2021-04-20,10.5
2021-04-21,10.359999656677246
2021-04-22,10.300000190734863
2021-04-23,10.5
2021-04-26,10.539999961853027
2021-04-27,10.569999694824219
2021-04-28,10.470000267028809
2021-04-29,10.5
2021-04-30,10.470000267028809
2021-05-03,10.350000381469727
2021-05-04,10.399999618530273
2021-05-05,10.347000122070312
2021-05-06,10.399999618530273
2021-05-07,10.399999618530273
2021-05-10,10.300000190734863
2021-05-11,10.25
2021-05-12,10.210000038146973
2021-05-13,10.279999732971191
2021-05-14,10.279999732971191
