,DBX
2018-03-23,28.479999542236328
2018-03-26,30.450000762939453
2018-03-27,29.899999618530273
2018-03-28,30.979999542236328
2018-03-29,31.25
2018-04-02,30.010000228881836
2018-04-03,31.59000015258789
2018-04-04,30.850000381469727
2018-04-05,30.53499984741211
2018-04-06,30.239999771118164
2018-04-09,30.139999389648438
2018-04-10,31.229999542236328
2018-04-11,32.31999969482422
2018-04-12,33.27000045776367
2018-04-13,30.0
2018-04-16,29.020000457763672
2018-04-17,29.829999923706055
2018-04-18,30.559999465942383
2018-04-19,29.899999618530273
2018-04-20,28.920000076293945
2018-04-23,29.110000610351562
2018-04-24,28.940000534057617
2018-04-25,28.639999389648438
2018-04-26,29.329999923706055
2018-04-27,29.610000610351562
2018-04-30,30.110000610351562
2018-05-01,30.899999618530273
2018-05-02,31.010000228881836
2018-05-03,30.190000534057617
2018-05-04,29.1299991607666
2018-05-07,29.40999984741211
2018-05-08,30.229999542236328
2018-05-09,31.399999618530273
2018-05-10,32.0
2018-05-11,31.280000686645508
2018-05-14,29.959999084472656
2018-05-15,29.549999237060547
2018-05-16,30.739999771118164
2018-05-17,30.549999237060547
2018-05-18,30.200000762939453
2018-05-21,30.09000015258789
2018-05-22,30.09000015258789
2018-05-23,29.739999771118164
2018-05-24,30.200000762939453
2018-05-25,29.969999313354492
2018-05-29,29.780000686645508
2018-05-30,30.469999313354492
2018-05-31,29.989999771118164
2018-06-01,29.649999618530273
2018-06-04,29.979999542236328
2018-06-05,30.889999389648438
2018-06-06,31.229999542236328
2018-06-07,30.270000457763672
2018-06-08,29.959999084472656
2018-06-11,30.100000381469727
2018-06-12,30.829999923706055
2018-06-13,31.670000076293945
2018-06-14,36.119998931884766
2018-06-15,39.599998474121094
2018-06-18,42.0
2018-06-19,39.70000076293945
2018-06-20,37.29999923706055
2018-06-21,35.689998626708984
2018-06-22,33.720001220703125
2018-06-25,32.52000045776367
2018-06-26,32.77000045776367
2018-06-27,31.219999313354492
2018-06-28,33.400001525878906
2018-06-29,32.41999816894531
2018-07-02,32.79999923706055
2018-07-03,32.0
2018-07-05,31.459999084472656
2018-07-06,31.360000610351562
2018-07-09,31.780000686645508
2018-07-10,31.280000686645508
2018-07-11,30.940000534057617
2018-07-12,32.41999816894531
2018-07-13,32.16999816894531
2018-07-16,32.27000045776367
2018-07-17,31.649999618530273
2018-07-18,31.239999771118164
2018-07-19,31.299999237060547
2018-07-20,31.0
2018-07-23,31.799999237060547
2018-07-24,30.75
2018-07-25,31.309999465942383
2018-07-26,30.709999084472656
2018-07-27,30.030000686645508
2018-07-30,27.770000457763672
2018-07-31,26.770000457763672
2018-08-01,27.809999465942383
2018-08-02,29.809999465942383
2018-08-03,29.969999313354492
2018-08-06,30.280000686645508
2018-08-07,31.520000457763672
2018-08-08,31.549999237060547
2018-08-09,34.43000030517578
2018-08-10,31.049999237060547
2018-08-13,29.15999984741211
2018-08-14,28.969999313354492
2018-08-15,28.969999313354492
2018-08-16,28.229999542236328
2018-08-17,27.510000228881836
2018-08-20,27.6200008392334
2018-08-21,28.270000457763672
2018-08-22,28.079999923706055
2018-08-23,28.34000015258789
2018-08-24,27.030000686645508
