,FLIR
1994-12-14,1.5
1994-12-15,1.5
1994-12-16,1.5
1994-12-19,1.515625
1994-12-20,1.53125
1994-12-21,1.5625
1994-12-22,1.5625
1994-12-23,1.578125
1994-12-27,1.59375
1994-12-28,1.59375
1994-12-29,1.625
1994-12-30,1.625
1995-01-03,1.65625
1995-01-04,1.625
1995-01-05,1.59375
1995-01-06,1.5625
1995-01-09,1.640625
1995-01-10,1.703125
1995-01-11,1.71875
1995-01-12,1.75
1995-01-13,1.71875
1995-01-16,1.75
1995-01-17,1.765625
1995-01-18,1.78125
1995-01-19,1.6875
1995-01-20,1.71875
1995-01-23,1.78125
1995-01-24,1.78125
1995-01-25,1.78125
1995-01-26,1.75
1995-01-27,1.65625
1995-01-30,1.703125
1995-01-31,1.75
1995-02-01,1.734375
1995-02-02,1.71875
1995-02-03,1.8125
1995-02-06,1.84375
1995-02-07,1.828125
1995-02-08,1.78125
1995-02-09,1.84375
1995-02-10,1.84375
1995-02-13,1.90625
1995-02-14,1.78125
1995-02-15,1.84375
1995-02-16,1.78125
1995-02-17,1.84375
1995-02-21,1.78125
1995-02-22,1.78125
1995-02-23,1.875
1995-02-24,1.8125
1995-02-27,1.8125
1995-02-28,1.8125
1995-03-01,1.8125
1995-03-02,1.875
1995-03-03,1.84375
1995-03-06,1.84375
1995-03-07,1.84375
1995-03-08,1.875
1995-03-09,2.0
1995-03-10,1.953125
1995-03-13,1.9375
1995-03-14,2.03125
1995-03-15,2.03125
1995-03-16,2.03125
1995-03-17,2.0625
1995-03-20,2.09375
1995-03-21,2.039062976837158
1995-03-22,2.03125
1995-03-23,2.0
1995-03-24,1.96875
1995-03-27,1.96875
1995-03-28,1.96875
1995-03-29,1.953125
1995-03-30,1.9375
1995-03-31,1.9375
1995-04-03,1.90625
1995-04-04,1.625
1995-04-05,1.6640629768371582
1995-04-06,1.6796879768371582
1995-04-07,1.703125
1995-04-10,1.65625
1995-04-11,1.6875
1995-04-12,1.71875
1995-04-13,1.6875
1995-04-17,1.75
1995-04-18,1.75
1995-04-19,1.71875
1995-04-20,1.75
1995-04-21,1.7402340173721313
1995-04-24,1.78125
1995-04-25,1.75
1995-04-26,1.78125
1995-04-27,1.71875
1995-04-28,1.75
1995-05-01,1.75
1995-05-02,1.78125
1995-05-03,1.71875
1995-05-04,1.75
1995-05-05,1.75
1995-05-08,1.734375
1995-05-09,1.78125
1995-05-10,1.75
1995-05-11,1.71875
1995-05-12,1.6875
1995-05-15,1.65625
1995-05-16,1.6875
1995-05-17,1.65625
1995-05-18,1.71875
1995-05-19,1.625
1995-05-22,1.7109379768371582
1995-05-23,1.65625
1995-05-24,1.65625
1995-05-25,1.6875
1995-05-26,1.671875
1995-05-30,1.5625
1995-05-31,1.5625
1995-06-01,1.65625
1995-06-02,1.671875
1995-06-05,1.65625
1995-06-06,1.59375
1995-06-07,1.59375
1995-06-08,1.5546879768371582
1995-06-09,1.5625
1995-06-12,1.5625
1995-06-13,1.65625
1995-06-14,1.625
1995-06-15,1.65625
1995-06-16,1.65625
1995-06-19,1.625
1995-06-20,1.6875
1995-06-21,1.734375
1995-06-22,1.7519530057907104
1995-06-23,1.8125
1995-06-26,1.78125
1995-06-27,1.75
1995-06-28,1.78125
1995-06-29,1.71875
1995-06-30,1.78125
1995-07-03,1.75
1995-07-05,1.8125
1995-07-06,1.765625
1995-07-07,1.8125
1995-07-10,1.75
1995-07-11,1.75
1995-07-12,1.75
1995-07-13,1.75
1995-07-14,1.78125
1995-07-17,1.53125
1995-07-18,1.5625
1995-07-19,1.5703129768371582
1995-07-20,1.5625
1995-07-21,1.609375
1995-07-24,1.625
1995-07-25,1.65625
1995-07-26,1.65625
1995-07-27,1.734375
1995-07-28,1.8125
1995-07-31,1.765625
1995-08-01,1.75
1995-08-02,1.78125
1995-08-03,1.78125
1995-08-04,1.78125
1995-08-07,1.78125
1995-08-08,1.71875
1995-08-09,1.75
1995-08-10,1.71875
1995-08-11,1.6953129768371582
1995-08-14,1.71875
1995-08-15,1.703125
1995-08-16,1.625
1995-08-17,1.703125
1995-08-18,1.625
1995-08-21,1.625
1995-08-22,1.625
1995-08-23,1.625
1995-08-24,1.5625
1995-08-25,1.609375
1995-08-28,1.625
1995-08-29,1.5625
1995-08-30,1.546875
1995-08-31,1.625
1995-09-01,1.609375
1995-09-05,1.546875
1995-09-06,1.625
1995-09-07,1.75
1995-09-08,1.7109379768371582
1995-09-11,1.6875
1995-09-12,1.71875
1995-09-13,1.71875
1995-09-14,1.75
1995-09-15,1.75
1995-09-18,1.75
1995-09-19,1.71875
1995-09-20,1.75
1995-09-21,1.6640629768371582
1995-09-22,1.65625
1995-09-25,1.671875
1995-09-26,1.625
1995-09-27,1.625
1995-09-28,1.65625
1995-09-29,1.53125
1995-10-02,1.53125
1995-10-03,1.59375
1995-10-04,1.59375
1995-10-05,1.59375
1995-10-06,1.59375
1995-10-09,1.59375
1995-10-10,1.5625
1995-10-11,1.59375
1995-10-12,1.546875
1995-10-13,1.546875
1995-10-16,1.546875
1995-10-17,1.59375
1995-10-18,1.59375
1995-10-19,1.59375
1995-10-20,1.671875
1995-10-23,1.6875
1995-10-24,1.65625
1995-10-25,1.578125
1995-10-26,1.53125
1995-10-27,1.5625
1995-10-30,1.59375
1995-10-31,1.59375
1995-11-01,1.53125
1995-11-02,1.53125
1995-11-03,1.5625
1995-11-06,1.59375
1995-11-07,1.53125
1995-11-08,1.625
1995-11-09,1.59375
1995-11-10,1.625
1995-11-13,1.625
1995-11-14,1.65625
1995-11-15,1.6875
1995-11-16,1.6875
1995-11-17,1.625
1995-11-20,1.5625
1995-11-21,1.578125
1995-11-22,1.5625
1995-11-24,1.5625
1995-11-27,1.5625
1995-11-28,1.5625
1995-11-29,1.625
1995-11-30,1.625
1995-12-01,1.59375
1995-12-04,1.625
1995-12-05,1.640625
1995-12-06,1.59375
1995-12-07,1.59375
1995-12-08,1.65625
1995-12-11,1.625
1995-12-12,1.65625
1995-12-13,1.59375
1995-12-14,1.609375
1995-12-15,1.59375
1995-12-18,1.609375
1995-12-19,1.59375
1995-12-20,1.625
1995-12-21,1.65625
1995-12-22,1.65625
1995-12-26,1.59375
1995-12-27,1.609375
1995-12-28,1.625
1995-12-29,1.53125
1996-01-02,1.5390629768371582
1996-01-03,1.578125
1996-01-04,1.578125
1996-01-05,1.546875
1996-01-08,1.53125
1996-01-09,1.5625
1996-01-10,1.578125
1996-01-11,1.546875
1996-01-12,1.53125
1996-01-15,1.515625
1996-01-16,1.46875
1996-01-17,1.46875
1996-01-18,1.40625
1996-01-19,1.265625
1996-01-22,1.453125
1996-01-23,1.46875
1996-01-24,1.375
1996-01-25,1.390625
1996-01-26,1.390625
1996-01-29,1.375
1996-01-30,1.34375
1996-01-31,1.3125
1996-02-01,1.3125
1996-02-02,1.375
1996-02-05,1.328125
1996-02-06,1.375
1996-02-07,1.40625
1996-02-08,1.40625
1996-02-09,1.421875
1996-02-12,1.46875
1996-02-13,1.40625
1996-02-14,1.390625
1996-02-15,1.359375
1996-02-16,1.328125
1996-02-20,1.34375
1996-02-21,1.375
1996-02-22,1.5625
1996-02-23,1.734375
1996-02-26,1.6875
1996-02-27,1.53125
1996-02-28,1.546875
1996-02-29,1.5625
1996-03-01,1.5625
1996-03-04,1.5625
1996-03-05,1.625
1996-03-06,1.46875
1996-03-07,1.53125
1996-03-08,1.453125
1996-03-11,1.5
1996-03-12,1.4375
1996-03-13,1.53125
1996-03-14,1.53125
1996-03-15,1.53125
1996-03-18,1.5
1996-03-19,1.59375
1996-03-20,1.53125
1996-03-21,1.5625
1996-03-22,1.5
1996-03-25,1.53125
1996-03-26,1.46875
1996-03-27,1.46875
1996-03-28,1.53125
1996-03-29,1.53125
1996-04-01,1.484375
1996-04-02,1.453125
1996-04-03,1.4375
1996-04-04,1.4375
1996-04-08,1.34375
1996-04-09,1.46875
1996-04-10,1.46875
1996-04-11,1.4375
1996-04-12,1.46875
1996-04-15,1.4140629768371582
1996-04-16,1.4375
1996-04-17,1.5546879768371582
1996-04-18,1.5625
1996-04-19,1.625
1996-04-22,1.5625
1996-04-23,1.578125
1996-04-24,1.578125
1996-04-25,1.578125
1996-04-26,1.578125
1996-04-29,1.578125
1996-04-30,1.59375
1996-05-01,1.8046879768371582
1996-05-02,1.90625
1996-05-03,1.9375
1996-05-06,1.84375
1996-05-07,1.796875
1996-05-08,1.78125
1996-05-09,1.75
1996-05-10,1.78125
1996-05-13,1.828125
1996-05-14,1.84375
1996-05-15,1.921875
1996-05-16,1.875
1996-05-17,1.9296879768371582
1996-05-20,1.875
1996-05-21,1.8984379768371582
1996-05-22,1.890625
1996-05-23,1.84375
1996-05-24,1.90625
1996-05-28,1.8125
1996-05-29,1.75
1996-05-30,1.75
1996-05-31,1.75
1996-06-03,1.6875
1996-06-04,1.71875
1996-06-05,1.71875
1996-06-06,1.71875
1996-06-07,1.65625
1996-06-10,1.609375
1996-06-11,1.65625
1996-06-12,1.671875
1996-06-13,1.671875
1996-06-14,1.65625
1996-06-17,1.625
1996-06-18,1.609375
1996-06-19,1.578125
1996-06-20,1.625
1996-06-21,1.53125
1996-06-24,1.53125
1996-06-25,1.5
1996-06-26,1.53125
1996-06-27,1.5
1996-06-28,1.53125
1996-07-01,1.53125
1996-07-02,1.765625
1996-07-03,1.828125
1996-07-05,1.71875
1996-07-08,1.625
1996-07-09,1.6328129768371582
1996-07-10,1.625
1996-07-11,1.59375
1996-07-12,1.59375
1996-07-15,1.625
1996-07-16,1.59375
1996-07-17,1.65625
1996-07-18,1.59375
1996-07-19,1.59375
1996-07-22,1.625
1996-07-23,1.609375
1996-07-24,1.5625
1996-07-25,1.578125
1996-07-26,1.625
1996-07-29,1.59375
1996-07-30,1.5625
1996-07-31,1.609375
1996-08-01,1.65625
1996-08-02,1.75
1996-08-05,1.765625
1996-08-06,1.78125
1996-08-07,1.78125
1996-08-08,1.765625
1996-08-09,1.71875
1996-08-12,1.765625
1996-08-13,1.78125
1996-08-14,1.765625
1996-08-15,1.765625
1996-08-16,1.71875
1996-08-19,1.765625
1996-08-20,1.75
1996-08-21,1.75
1996-08-22,1.703125
1996-08-23,1.71875
1996-08-26,1.71875
1996-08-27,1.75
1996-08-28,1.734375
1996-08-29,1.6875
1996-08-30,1.71875
1996-09-03,1.6875
1996-09-04,1.703125
1996-09-05,1.6875
1996-09-06,1.71875
1996-09-09,1.75
1996-09-10,1.6875
1996-09-11,1.703125
1996-09-12,1.6875
1996-09-13,1.65625
1996-09-16,1.625
1996-09-17,1.625
1996-09-18,1.59375
1996-09-19,1.625
1996-09-20,1.625
1996-09-23,1.625
1996-09-24,1.59375
1996-09-25,1.59375
1996-09-26,1.625
1996-09-27,1.609375
1996-09-30,1.640625
1996-10-01,1.59375
1996-10-02,1.625
1996-10-03,1.609375
1996-10-04,1.6875
1996-10-07,1.65625
1996-10-08,1.59375
1996-10-09,1.609375
1996-10-10,1.6875
1996-10-11,1.625
1996-10-14,1.609375
1996-10-15,1.609375
1996-10-16,1.65625
1996-10-17,1.59375
1996-10-18,1.625
1996-10-21,1.65625
1996-10-22,1.6875
1996-10-23,1.75
1996-10-24,1.75
1996-10-25,1.71875
1996-10-28,1.6875
1996-10-29,1.671875
1996-10-30,1.671875
1996-10-31,1.75
1996-11-01,1.75
1996-11-04,1.6875
1996-11-05,1.71875
1996-11-06,1.671875
1996-11-07,1.75
1996-11-08,1.703125
1996-11-11,1.671875
1996-11-12,1.65625
1996-11-13,1.65625
1996-11-14,1.65625
1996-11-15,1.703125
1996-11-18,1.65625
1996-11-19,1.65625
1996-11-20,1.703125
1996-11-21,1.65625
1996-11-22,1.703125
1996-11-25,1.7109379768371582
1996-11-26,1.6953129768371582
1996-11-27,1.65625
1996-11-29,1.703125
1996-12-02,1.65625
1996-12-03,1.6875
1996-12-04,1.71875
1996-12-05,1.671875
1996-12-06,1.6875
1996-12-09,1.671875
1996-12-10,1.6875
1996-12-11,1.71875
1996-12-12,1.71875
1996-12-13,1.65625
1996-12-16,1.671875
1996-12-17,1.640625
1996-12-18,1.671875
1996-12-19,1.71875
1996-12-20,1.6875
1996-12-23,1.6875
1996-12-24,1.71875
1996-12-26,1.6875
1996-12-27,1.71875
1996-12-30,1.71875
1996-12-31,1.71875
1997-01-02,1.71875
1997-01-03,1.78125
1997-01-06,1.765625
1997-01-07,1.8125
1997-01-08,1.859375
1997-01-09,1.84375
1997-01-10,1.875
1997-01-13,1.84375
1997-01-14,1.890625
1997-01-15,1.875
1997-01-16,1.828125
1997-01-17,1.875
1997-01-20,1.8828129768371582
1997-01-21,1.90625
1997-01-22,1.90625
1997-01-23,1.859375
1997-01-24,1.8125
1997-01-27,1.8125
1997-01-28,1.8125
1997-01-29,1.828125
1997-01-30,1.8125
1997-01-31,1.8125
1997-02-03,1.828125
1997-02-04,1.84375
1997-02-05,1.828125
1997-02-06,1.828125
1997-02-07,1.828125
1997-02-10,1.8125
1997-02-11,1.8125
1997-02-12,1.8125
1997-02-13,1.8125
1997-02-14,1.796875
1997-02-18,1.9375
1997-02-19,2.015625
1997-02-20,2.078125
1997-02-21,2.03125
1997-02-24,2.0625
1997-02-25,2.046875
1997-02-26,2.003906011581421
1997-02-27,1.972656011581421
1997-02-28,1.953125
1997-03-03,1.878906011581421
1997-03-04,1.984375
1997-03-05,2.125
1997-03-06,2.1875
1997-03-07,2.1875
1997-03-10,2.1875
1997-03-11,2.109375
1997-03-12,2.0
1997-03-13,1.953125
1997-03-14,2.03125
1997-03-17,2.125
1997-03-18,2.078125
1997-03-19,2.046875
1997-03-20,2.09375
1997-03-21,2.046875
1997-03-24,1.921875
1997-03-25,2.015625
1997-03-26,1.96875
1997-03-27,2.0
1997-03-31,2.03125
1997-04-01,2.015625
1997-04-02,1.9375
1997-04-03,1.90625
1997-04-04,1.90625
1997-04-07,1.90625
1997-04-08,1.9375
1997-04-09,1.984375
1997-04-10,2.023437976837158
1997-04-11,1.90625
1997-04-14,2.0
1997-04-15,2.03125
1997-04-16,2.054687976837158
1997-04-17,2.046875
1997-04-18,2.109375
1997-04-21,2.0625
1997-04-22,2.109375
1997-04-23,2.0625
1997-04-24,2.109375
1997-04-25,2.125
1997-04-28,2.140625
1997-04-29,2.0
1997-04-30,1.953125
1997-05-01,1.96875
1997-05-02,2.03125
1997-05-05,2.015625
1997-05-06,1.9375
1997-05-07,2.0625
1997-05-08,1.9375
1997-05-09,1.953125
1997-05-12,1.984375
1997-05-13,2.03125
1997-05-14,1.9375
1997-05-15,2.0
1997-05-16,1.9375
1997-05-19,1.96875
1997-05-20,1.9375
1997-05-21,1.90625
1997-05-22,1.875
1997-05-23,1.875
1997-05-27,1.890625
1997-05-28,1.890625
1997-05-29,1.921875
1997-05-30,2.0
1997-06-02,2.007812976837158
1997-06-03,1.984375
1997-06-04,1.984375
1997-06-05,2.0
1997-06-06,2.015625
1997-06-09,2.015625
1997-06-10,2.0
1997-06-11,2.03125
1997-06-12,2.007812976837158
1997-06-13,2.0
1997-06-16,1.9375
1997-06-17,2.015625
1997-06-18,1.96875
1997-06-19,1.984375
1997-06-20,2.03125
1997-06-23,2.015625
1997-06-24,2.015625
1997-06-25,1.984375
1997-06-26,1.96875
1997-06-27,1.953125
1997-06-30,1.96875
1997-07-01,2.03125
1997-07-02,2.0
1997-07-03,2.0
1997-07-07,1.984375
1997-07-08,2.1875
1997-07-09,2.078125
1997-07-10,2.046875
1997-07-11,2.09375
1997-07-14,2.171875
1997-07-15,2.1875
1997-07-16,2.203125
1997-07-17,2.28125
1997-07-18,2.265625
1997-07-21,2.3125
1997-07-22,2.359375
1997-07-23,2.359375
1997-07-24,2.28125
1997-07-25,2.335937976837158
1997-07-28,2.359375
1997-07-29,2.4375
1997-07-30,2.484375
1997-07-31,2.546875
1997-08-01,2.65625
1997-08-04,2.53125
1997-08-05,2.46875
1997-08-06,2.46875
1997-08-07,2.46875
1997-08-08,2.3125
1997-08-11,2.3125
1997-08-12,2.34375
1997-08-13,2.34375
1997-08-14,2.40625
1997-08-15,2.375
1997-08-18,2.40625
1997-08-19,2.375
1997-08-20,2.34375
1997-08-21,2.328125
1997-08-22,2.3125
1997-08-25,2.296875
1997-08-26,2.25
1997-08-27,2.25
1997-08-28,2.3125
1997-08-29,2.3125
1997-09-02,2.390625
1997-09-03,2.390625
1997-09-04,2.34375
1997-09-05,2.390625
1997-09-08,2.390625
1997-09-09,2.421875
1997-09-10,2.445312976837158
1997-09-11,2.46875
1997-09-12,2.453125
1997-09-15,2.5625
1997-09-16,2.53125
1997-09-17,2.53125
1997-09-18,2.6875
1997-09-19,2.578125
1997-09-22,2.59375
1997-09-23,2.59375
1997-09-24,2.5
1997-09-25,2.484375
1997-09-26,2.46875
1997-09-29,2.5
1997-09-30,2.484375
1997-10-01,2.5
1997-10-02,2.5
1997-10-03,2.5625
1997-10-06,2.5
1997-10-07,2.53125
1997-10-08,2.5625
1997-10-09,2.5
1997-10-10,2.5625
1997-10-13,2.507812976837158
1997-10-14,2.65625
1997-10-15,2.609375
1997-10-16,2.546875
1997-10-17,2.46875
1997-10-20,2.453125
1997-10-21,2.453125
1997-10-22,2.5625
1997-10-23,2.4375
1997-10-24,2.375
1997-10-27,2.3125
1997-10-28,2.273437976837158
1997-10-29,2.328125
1997-10-30,2.5
1997-10-31,2.625
1997-11-03,2.578125
1997-11-04,2.5625
1997-11-05,2.453125
1997-11-06,2.460937976837158
1997-11-07,2.375
1997-11-10,2.421875
1997-11-11,2.40625
1997-11-12,2.375
1997-11-13,2.3125
1997-11-14,2.328125
1997-11-17,2.328125
1997-11-18,2.328125
1997-11-19,2.375
1997-11-20,2.40625
1997-11-21,2.453125
1997-11-24,2.4375
1997-11-25,2.367187976837158
1997-11-26,2.351562976837158
1997-11-28,2.46875
1997-12-01,2.65625
1997-12-02,2.734375
1997-12-03,2.53125
1997-12-04,2.53125
1997-12-05,2.59375
1997-12-08,2.5625
1997-12-09,2.5
1997-12-10,2.53125
1997-12-11,2.4375
1997-12-12,2.40625
1997-12-15,2.421875
1997-12-16,2.375
1997-12-17,2.46875
1997-12-18,2.3125
1997-12-19,2.375
1997-12-22,2.296875
1997-12-23,2.3125
1997-12-24,2.359375
1997-12-26,2.3125
1997-12-29,2.3125
1997-12-30,2.40625
1997-12-31,2.59375
1998-01-02,2.46875
1998-01-05,2.515625
1998-01-06,2.453125
1998-01-07,2.34375
1998-01-08,2.40625
1998-01-09,2.375
1998-01-12,2.375
1998-01-13,2.5
1998-01-14,2.421875
1998-01-15,2.5
1998-01-16,2.472656011581421
1998-01-20,2.46875
1998-01-21,2.4375
1998-01-22,2.4375
1998-01-23,2.375
1998-01-26,2.375
1998-01-27,2.328125
1998-01-28,2.3125
1998-01-29,2.28125
1998-01-30,2.21875
1998-02-02,2.109375
1998-02-03,2.109375
1998-02-04,2.171875
1998-02-05,2.421875
1998-02-06,2.304687976837158
