,BJK
2008-01-24,41.349998474121094
2008-01-25,45.0
2008-01-28,41.599998474121094
2008-01-29,41.95000076293945
2008-01-30,42.40999984741211
2008-01-31,42.849998474121094
2008-02-01,43.650001525878906
2008-02-04,43.349998474121094
2008-02-05,42.45000076293945
2008-02-06,42.25
2008-02-07,42.400001525878906
2008-02-08,42.400001525878906
2008-02-11,42.34000015258789
2008-02-12,43.0
2008-02-13,42.900001525878906
2008-02-14,43.20000076293945
2008-02-15,42.4900016784668
2008-02-19,42.900001525878906
2008-02-20,42.099998474121094
2008-02-21,42.08000183105469
2008-02-22,42.04999923706055
2008-02-25,42.95000076293945
2008-02-26,43.400001525878906
2008-02-27,43.349998474121094
2008-02-28,42.70000076293945
2008-02-29,41.79999923706055
2008-03-03,40.91999816894531
2008-03-04,40.04999923706055
2008-03-05,40.779998779296875
2008-03-06,40.72999954223633
2008-03-07,39.599998474121094
2008-03-10,39.599998474121094
2008-03-11,39.939998626708984
2008-03-12,39.72999954223633
2008-03-13,39.459999084472656
2008-03-14,39.380001068115234
2008-03-17,38.310001373291016
2008-03-18,38.88999938964844
2008-03-19,38.95000076293945
2008-03-20,38.38999938964844
2008-03-24,39.52000045776367
2008-03-25,40.310001373291016
2008-03-26,40.650001525878906
2008-03-27,40.790000915527344
2008-03-28,39.63999938964844
2008-03-31,39.25
2008-04-01,40.22999954223633
2008-04-02,40.75
2008-04-03,40.66999816894531
2008-04-04,41.0
2008-04-07,41.0
2008-04-08,40.5
2008-04-09,40.439998626708984
2008-04-10,40.5
2008-04-11,40.5
2008-04-14,38.2599983215332
2008-04-15,37.75
2008-04-16,38.18000030517578
2008-04-17,38.040000915527344
2008-04-18,37.65999984741211
2008-04-21,37.77000045776367
2008-04-22,38.29999923706055
2008-04-23,38.400001525878906
2008-04-24,38.599998474121094
2008-04-25,38.0
2008-04-28,38.310001373291016
2008-04-29,38.29999923706055
2008-04-30,38.72999954223633
2008-05-01,38.22999954223633
2008-05-02,38.22999954223633
2008-05-05,38.099998474121094
2008-05-06,38.34000015258789
2008-05-07,38.84000015258789
2008-05-08,38.400001525878906
2008-05-09,38.08000183105469
2008-05-12,38.2599983215332
2008-05-13,38.45000076293945
2008-05-14,38.529998779296875
2008-05-15,38.900001525878906
2008-05-16,39.369998931884766
2008-05-19,39.79999923706055
2008-05-20,38.70000076293945
2008-05-21,39.0
2008-05-22,38.400001525878906
2008-05-23,37.75
2008-05-27,37.75
2008-05-28,37.11000061035156
2008-05-29,38.0
2008-05-30,37.11000061035156
2008-06-02,38.11000061035156
2008-06-03,37.54999923706055
2008-06-04,37.650001525878906
2008-06-05,37.650001525878906
2008-06-06,37.650001525878906
2008-06-09,36.31999969482422
2008-06-10,34.91999816894531
2008-06-11,34.599998474121094
2008-06-12,34.75
2008-06-13,34.9900016784668
2008-06-16,34.310001373291016
2008-06-17,34.34000015258789
2008-06-18,34.349998474121094
2008-06-19,34.09000015258789
2008-06-20,34.29999923706055
2008-06-23,34.20000076293945
2008-06-24,33.29999923706055
2008-06-25,32.75
2008-06-26,32.5
2008-06-27,32.0
2008-06-30,31.56999969482422
2008-07-01,31.5
2008-07-02,31.739999771118164
2008-07-03,30.889999389648438
2008-07-07,31.020000457763672
2008-07-08,30.549999237060547
2008-07-09,31.149999618530273
2008-07-10,30.850000381469727
2008-07-11,30.149999618530273
2008-07-14,29.100000381469727
2008-07-15,27.899999618530273
2008-07-16,28.299999237060547
2008-07-17,29.600000381469727
2008-07-18,30.059999465942383
2008-07-21,30.700000762939453
2008-07-22,30.860000610351562
2008-07-23,32.720001220703125
2008-07-24,31.850000381469727
2008-07-25,31.010000228881836
2008-07-28,30.5
2008-07-29,30.350000381469727
2008-07-30,30.75
2008-07-31,31.489999771118164
2008-08-01,30.149999618530273
2008-08-04,30.450000762939453
2008-08-05,31.450000762939453
2008-08-06,31.920000076293945
2008-08-07,30.969999313354492
2008-08-08,31.020000457763672
2008-08-11,31.780000686645508
2008-08-12,31.239999771118164
2008-08-13,31.229999542236328
2008-08-14,31.5
2008-08-15,31.6299991607666
2008-08-18,30.399999618530273
2008-08-19,29.600000381469727
2008-08-20,29.469999313354492
2008-08-21,28.8700008392334
2008-08-22,28.899999618530273
2008-08-25,28.790000915527344
2008-08-26,28.34000015258789
2008-08-27,28.209999084472656
2008-08-28,28.5
2008-08-29,29.8799991607666
2008-09-02,30.290000915527344
2008-09-03,29.299999237060547
2008-09-04,29.229999542236328
2008-09-05,27.700000762939453
2008-09-08,28.09000015258789
2008-09-09,28.719999313354492
2008-09-10,27.6299991607666
2008-09-11,27.09000015258789
2008-09-12,27.559999465942383
2008-09-15,27.100000381469727
2008-09-16,26.600000381469727
2008-09-17,25.219999313354492
2008-09-18,25.780000686645508
2008-09-19,28.34000015258789
2008-09-22,27.649999618530273
2008-09-23,26.729999542236328
2008-09-24,26.420000076293945
2008-09-25,24.75
2008-09-26,24.5
2008-09-29,24.5
2008-09-30,23.350000381469727
2008-10-01,24.020000457763672
2008-10-02,23.100000381469727
2008-10-03,22.260000228881836
2008-10-06,19.75
2008-10-07,20.899999618530273
2008-10-08,19.700000762939453
2008-10-09,19.0
2008-10-10,16.200000762939453
2008-10-13,19.75
2008-10-14,19.940000534057617
2008-10-15,17.5
2008-10-16,17.5
2008-10-17,17.729999542236328
2008-10-20,18.010000228881836
2008-10-21,18.100000381469727
2008-10-22,17.600000381469727
2008-10-23,16.149999618530273
2008-10-24,14.630000114440918
2008-10-27,14.850000381469727
2008-10-28,15.09000015258789
2008-10-29,16.700000762939453
2008-10-30,18.219999313354492
2008-10-31,18.600000381469727
2008-11-03,18.700000762939453
2008-11-04,19.059999465942383
2008-11-05,18.5
2008-11-06,17.1299991607666
2008-11-07,17.0
2008-11-10,16.700000762939453
2008-11-11,16.5
2008-11-12,15.550000190734863
2008-11-13,16.1200008392334
2008-11-14,15.729999542236328
2008-11-17,15.34000015258789
2008-11-18,15.619999885559082
2008-11-19,14.899999618530273
2008-11-20,14.029999732971191
2008-11-21,14.15999984741211
2008-11-24,15.239999771118164
2008-11-25,15.729999542236328
2008-11-26,15.90999984741211
2008-11-28,15.90999984741211
2008-12-01,15.0
2008-12-02,14.850000381469727
2008-12-03,14.850000381469727
2008-12-04,14.850000381469727
2008-12-05,15.8100004196167
2008-12-08,15.8100004196167
2008-12-09,16.399999618530273
2008-12-10,16.079999923706055
2008-12-11,17.360000610351562
2008-12-12,16.280000686645508
2008-12-15,16.3799991607666
2008-12-16,16.850000381469727
2008-12-17,17.65999984741211
2008-12-18,17.729999542236328
2008-12-19,17.0
2008-12-22,17.0
2008-12-23,17.399999618530273
2008-12-24,17.06999969482422
2008-12-26,16.5
2008-12-29,16.5
2008-12-30,17.34000015258789
2008-12-31,17.59000015258789
2009-01-02,18.31999969482422
2009-01-05,18.739999771118164
2009-01-06,18.5
2009-01-07,18.549999237060547
2009-01-08,18.760000228881836
2009-01-09,18.43000030517578
2009-01-12,17.350000381469727
2009-01-13,16.93000030517578
2009-01-14,16.34000015258789
2009-01-15,16.030000686645508
2009-01-16,16.09000015258789
2009-01-20,15.779999732971191
2009-01-21,16.0
2009-01-22,15.949999809265137
2009-01-23,15.680000305175781
2009-01-26,16.1200008392334
2009-01-27,16.139999389648438
2009-01-28,16.540000915527344
2009-01-29,16.540000915527344
2009-01-30,15.5
2009-02-02,15.5
2009-02-03,15.5
2009-02-04,15.5
2009-02-05,15.420000076293945
2009-02-06,15.970000267028809
2009-02-09,15.970000267028809
2009-02-10,15.949999809265137
2009-02-11,15.949999809265137
2009-02-12,15.949999809265137
2009-02-13,15.369999885559082
2009-02-17,14.800000190734863
2009-02-18,15.0
2009-02-19,14.199999809265137
2009-02-20,13.3100004196167
2009-02-23,13.3100004196167
2009-02-24,14.649999618530273
2009-02-25,14.760000228881836
2009-02-26,14.65999984741211
2009-02-27,14.380000114440918
2009-03-02,13.710000038146973
2009-03-03,14.260000228881836
2009-03-04,14.569999694824219
2009-03-05,13.359999656677246
2009-03-06,13.0
2009-03-09,12.819999694824219
2009-03-10,13.699999809265137
2009-03-11,13.619999885559082
2009-03-12,14.15999984741211
2009-03-13,14.800000190734863
