,FMBIP
2020-05-18,24.799999237060547
2020-05-19,24.75
2020-05-20,24.889999389648438
2020-05-21,25.0
2020-05-22,25.030000686645508
2020-05-26,25.290000915527344
2020-05-27,25.209999084472656
2020-05-28,25.219999313354492
2020-05-29,25.3700008392334
2020-06-01,25.399999618530273
2020-06-02,25.350000381469727
2020-06-03,25.200000762939453
2020-06-04,25.190000534057617
2020-06-05,25.299999237060547
2020-06-08,25.280000686645508
2020-06-09,25.299999237060547
2020-06-10,25.350000381469727
2020-06-11,24.739999771118164
2020-06-12,24.850000381469727
2020-06-15,24.719999313354492
2020-06-16,25.18000030517578
2020-06-17,24.829999923706055
2020-06-18,25.0
2020-06-19,25.059999465942383
2020-06-22,25.420000076293945
2020-06-23,25.489999771118164
2020-06-24,25.450000762939453
2020-06-25,25.450000762939453
2020-06-26,25.34000015258789
2020-06-29,25.399999618530273
2020-06-30,24.6200008392334
2020-07-01,24.719999313354492
2020-07-02,24.69499969482422
2020-07-06,24.65999984741211
2020-07-07,24.610000610351562
2020-07-08,24.559999465942383
2020-07-09,24.6200008392334
2020-07-10,24.639999389648438
2020-07-13,24.510000228881836
2020-07-14,24.570999145507812
2020-07-15,24.889999389648438
2020-07-16,25.059999465942383
2020-07-17,25.200000762939453
2020-07-20,25.200000762939453
2020-07-21,25.08799934387207
2020-07-22,25.200000762939453
2020-07-23,25.200000762939453
2020-07-24,25.100000381469727
2020-07-27,25.1200008392334
2020-07-28,25.149999618530273
2020-07-29,25.3700008392334
2020-07-30,25.52400016784668
2020-07-31,25.239999771118164
2020-08-03,25.31999969482422
2020-08-04,25.09000015258789
2020-08-05,25.239999771118164
2020-08-06,25.200000762939453
2020-08-07,25.200000762939453
2020-08-10,25.3439998626709
2020-08-11,25.34000015258789
2020-08-12,25.43899917602539
2020-08-13,25.399999618530273
2020-08-14,25.61400032043457
2020-08-17,25.979999542236328
2020-08-18,25.989999771118164
2020-08-19,25.950000762939453
2020-08-20,25.81999969482422
2020-08-21,25.850000381469727
2020-08-24,25.84000015258789
2020-08-25,25.889999389648438
2020-08-26,25.899999618530273
2020-08-27,26.0
2020-08-28,26.0
2020-08-31,26.350000381469727
2020-09-01,26.489999771118164
2020-09-02,26.315000534057617
2020-09-03,26.458999633789062
2020-09-04,26.5
2020-09-08,26.3799991607666
2020-09-09,26.15999984741211
2020-09-10,26.25
2020-09-11,26.219999313354492
2020-09-14,26.149999618530273
2020-09-15,26.06999969482422
2020-09-16,26.020000457763672
2020-09-17,26.18000030517578
2020-09-18,26.09000015258789
2020-09-21,26.191999435424805
2020-09-22,26.25
2020-09-23,26.100000381469727
2020-09-24,26.059999465942383
2020-09-25,25.924999237060547
2020-09-28,25.989999771118164
2020-09-29,26.049999237060547
2020-09-30,27.40999984741211
2020-10-01,27.139999389648438
2020-10-02,27.010000228881836
2020-10-05,26.850000381469727
2020-10-06,27.100000381469727
2020-10-07,27.469999313354492
2020-10-08,27.489999771118164
2020-10-09,27.3799991607666
2020-10-12,27.59000015258789
2020-10-13,27.600000381469727
2020-10-14,27.670000076293945
2020-10-15,27.5
2020-10-16,27.575000762939453
2020-10-19,27.579999923706055
2020-10-20,27.520000457763672
2020-10-21,27.280000686645508
2020-10-22,27.190000534057617
2020-10-23,27.170000076293945
2020-10-26,27.200000762939453
2020-10-27,26.940000534057617
2020-10-28,26.84000015258789
2020-10-29,26.93000030517578
2020-10-30,27.270000457763672
2020-11-02,27.450000762939453
2020-11-03,27.434999465942383
2020-11-04,27.100000381469727
2020-11-05,27.299999237060547
2020-11-06,27.25
2020-11-09,27.1299991607666
2020-11-10,27.270000457763672
2020-11-11,27.270000457763672
2020-11-12,27.200000762939453
2020-11-13,27.25
2020-11-16,27.309999465942383
2020-11-17,27.100000381469727
2020-11-18,27.09000015258789
2020-11-19,27.209999084472656
2020-11-20,27.149999618530273
2020-11-23,27.16200065612793
2020-11-24,27.09000015258789
2020-11-25,26.770000457763672
2020-11-27,26.989999771118164
2020-11-30,27.049999237060547
2020-12-01,26.959999084472656
2020-12-02,27.0
2020-12-03,27.149999618530273
2020-12-04,27.25
2020-12-07,27.30900001525879
2020-12-08,27.600000381469727
2020-12-09,27.68000030517578
2020-12-10,27.729999542236328
2020-12-11,27.84000015258789
2020-12-14,27.850000381469727
2020-12-15,27.899999618530273
2020-12-16,27.760000228881836
2020-12-17,28.062000274658203
2020-12-18,28.25
2020-12-21,27.6299991607666
2020-12-22,28.209999084472656
2020-12-23,27.8700008392334
2020-12-24,27.899999618530273
