,BSPE
2020-03-12,9.680000305175781
2020-03-13,9.680000305175781
2020-03-16,9.680000305175781
2020-03-17,9.680000305175781
2020-03-18,9.25
2020-03-19,9.25
2020-03-20,9.25
2020-03-23,9.25
2020-03-24,9.25
2020-03-25,9.25
2020-03-26,9.25
2020-03-27,9.25
2020-03-30,9.25
2020-03-31,9.25
2020-04-01,9.25
2020-04-02,9.25
2020-04-03,9.25
2020-04-06,9.25
2020-04-07,9.25
2020-04-08,9.25
2020-04-09,9.25
2020-04-13,9.25
2020-04-14,9.25
2020-04-15,9.25
2020-04-16,9.25
2020-04-17,9.25
2020-04-20,9.25
2020-04-21,9.25
2020-04-22,9.25
2020-04-23,9.25
2020-04-24,9.25
2020-04-27,9.25
2020-04-28,9.25
2020-04-29,9.25
2020-04-30,9.25
2020-05-01,9.25
2020-05-04,9.25
2020-05-05,9.25
2020-05-06,9.25
2020-05-07,9.25
2020-05-08,9.25
2020-05-11,9.25
2020-05-12,9.25
2020-05-13,9.25
2020-05-14,9.25
2020-05-15,9.25
2020-05-18,9.25
2020-05-19,9.25
2020-05-20,9.25
2020-05-21,9.25
2020-05-22,9.25
2020-05-26,9.25
2020-05-27,9.25
2020-05-28,9.25
2020-05-29,9.25
2020-06-01,9.25
2020-06-02,9.25
2020-06-03,9.25
2020-06-04,9.25
2020-06-05,9.25
2020-06-08,9.25
2020-06-09,9.25
2020-06-10,9.25
2020-06-11,9.25
2020-06-12,9.25
2020-06-15,9.25
2020-06-16,9.25
2020-06-17,9.25
2020-06-18,9.25
2020-06-19,9.25
2020-06-22,9.25
2020-06-23,9.25
2020-06-24,9.25
2020-06-25,9.25
2020-06-26,9.25
2020-06-29,9.25
2020-06-30,9.25
2020-07-01,9.25
2020-07-02,9.25
2020-07-06,9.25
2020-07-07,9.25
2020-07-08,9.25
2020-07-09,9.25
2020-07-10,9.25
2020-07-13,9.25
2020-07-14,9.25
2020-07-15,9.25
2020-07-16,9.25
2020-07-17,9.25
2020-07-20,9.25
2020-07-21,9.25
2020-07-22,9.25
2020-07-23,9.25
2020-07-24,9.25
2020-07-27,9.25
2020-07-28,9.25
2020-07-29,9.25
2020-07-30,9.25
2020-07-31,9.25
2020-08-03,9.25
2020-08-04,9.25
2020-08-05,9.25
2020-08-06,9.25
2020-08-07,9.25
2020-08-10,9.25
2020-08-11,9.25
2020-08-12,9.25
2020-08-13,9.25
2020-08-14,9.25
2020-08-17,9.25
2020-08-18,9.25
2020-08-19,9.25
2020-08-20,9.25
2020-08-21,9.25
2020-08-24,9.25
2020-08-25,9.25
2020-08-26,9.25
2020-08-27,9.25
2020-08-28,9.25
2020-08-31,9.25
2020-09-01,9.25
2020-09-02,9.25
2020-09-03,9.25
2020-09-04,9.25
2020-09-08,9.25
2020-09-09,9.25
2020-09-10,9.25
2020-09-11,9.25
2020-09-14,9.25
2020-09-15,9.25
2020-09-16,9.25
2020-09-17,9.25
2020-09-18,9.25
2020-09-21,9.25
2020-09-22,9.25
2020-09-23,9.25
2020-09-24,9.25
2020-09-25,9.25
2020-09-28,9.25
2020-09-29,9.25
2020-09-30,9.25
2020-10-01,9.25
2020-10-02,9.25
2020-10-05,9.25
2020-10-06,9.25
2020-10-07,9.25
2020-10-08,9.25
2020-10-09,9.25
2020-10-12,9.25
2020-10-13,9.25
2020-10-14,9.25
2020-10-15,9.25
2020-10-16,9.25
2020-10-19,9.829999923706055
2020-10-20,9.829999923706055
2020-10-21,9.899999618530273
2020-10-22,9.899999618530273
2020-10-23,9.914999961853027
2020-10-26,9.914999961853027
2020-10-27,9.84000015258789
2020-10-28,9.84000015258789
2020-10-29,9.84000015258789
2020-10-30,9.84000015258789
2020-11-02,9.84000015258789
2020-11-03,9.84000015258789
2020-11-04,9.84000015258789
2020-11-05,9.84000015258789
2020-11-06,9.84000015258789
2020-11-09,9.84000015258789
2020-11-10,9.84000015258789
2020-11-11,9.84000015258789
2020-11-12,9.84000015258789
2020-11-13,9.84000015258789
