,DBTX
2021-02-12,18.030000686645508
2021-02-16,18.100000381469727
2021-02-17,18.5
2021-02-18,18.639999389648438
2021-02-19,19.049999237060547
2021-02-22,19.899999618530273
2021-02-23,18.010000228881836
2021-02-24,18.5
2021-02-25,18.700000762939453
2021-02-26,18.780000686645508
2021-03-01,18.149999618530273
2021-03-02,18.06999969482422
2021-03-03,18.079999923706055
2021-03-04,17.670000076293945
2021-03-05,14.680000305175781
2021-03-08,13.260000228881836
2021-03-09,13.550000190734863
2021-03-10,15.25
2021-03-11,15.479999542236328
2021-03-12,14.930000305175781
2021-03-15,14.880000114440918
2021-03-16,15.649999618530273
2021-03-17,15.069999694824219
2021-03-18,14.850000381469727
2021-03-19,14.8100004196167
2021-03-22,13.989999771118164
2021-03-23,14.40999984741211
2021-03-24,12.550000190734863
2021-03-25,12.229999542236328
2021-03-26,11.510000228881836
2021-03-29,10.59000015258789
2021-03-30,10.5600004196167
2021-03-31,11.359999656677246
2021-04-01,11.359999656677246
2021-04-05,11.390000343322754
2021-04-06,11.510000228881836
2021-04-07,11.0600004196167
2021-04-08,10.619999885559082
2021-04-09,10.539999961853027
2021-04-12,10.529999732971191
2021-04-13,10.40999984741211
2021-04-14,10.829999923706055
2021-04-15,10.75
2021-04-16,9.890000343322754
2021-04-19,9.84000015258789
2021-04-20,9.699999809265137
2021-04-21,10.050000190734863
2021-04-22,9.800000190734863
2021-04-23,9.529999732971191
2021-04-26,9.579999923706055
2021-04-27,9.479999542236328
2021-04-28,9.609999656677246
2021-04-29,9.470000267028809
2021-04-30,9.119999885559082
2021-05-03,8.75
2021-05-04,8.0
2021-05-05,7.960000038146973
2021-05-06,7.420000076293945
2021-05-07,7.900000095367432
2021-05-10,7.090000152587891
2021-05-11,7.329999923706055
2021-05-12,7.099999904632568
2021-05-13,6.389999866485596
2021-05-14,7.059999942779541
