,ABCM
2020-10-22,19.75
2020-10-23,18.899999618530273
2020-10-26,19.399999618530273
2020-10-27,19.459999084472656
2020-10-28,19.110000610351562
2020-10-29,19.1200008392334
2020-10-30,19.0
2020-11-02,19.950000762939453
2020-11-03,20.010000228881836
2020-11-04,20.3700008392334
2020-11-05,19.709999084472656
2020-11-06,20.09000015258789
2020-11-09,19.1299991607666
2020-11-10,19.049999237060547
2020-11-11,18.600000381469727
2020-11-12,18.799999237060547
2020-11-13,18.729999542236328
2020-11-16,18.479999542236328
2020-11-17,18.690000534057617
2020-11-18,18.200000762939453
2020-11-19,19.030000686645508
2020-11-20,19.09000015258789
2020-11-23,18.440000534057617
2020-11-24,18.84000015258789
2020-11-25,18.479999542236328
2020-11-27,19.030000686645508
2020-11-30,19.059999465942383
2020-12-01,19.280000686645508
2020-12-02,19.280000686645508
2020-12-03,18.959999084472656
2020-12-04,19.010000228881836
2020-12-07,18.979999542236328
2020-12-08,19.010000228881836
2020-12-09,18.760000228881836
2020-12-10,18.8799991607666
2020-12-11,19.020000457763672
2020-12-14,19.56999969482422
2020-12-15,19.559999465942383
2020-12-16,19.690000534057617
2020-12-17,19.989999771118164
2020-12-18,19.639999389648438
2020-12-21,19.84000015258789
2020-12-22,19.920000076293945
2020-12-23,20.15999984741211
2020-12-24,20.299999237060547
2020-12-28,20.700000762939453
2020-12-29,20.299999237060547
2020-12-30,22.450000762939453
2020-12-31,21.549999237060547
2021-01-04,20.469999313354492
2021-01-05,20.290000915527344
2021-01-06,20.010000228881836
2021-01-07,19.649999618530273
2021-01-08,19.639999389648438
2021-01-11,21.350000381469727
2021-01-12,23.530000686645508
2021-01-13,23.579999923706055
2021-01-14,23.34000015258789
2021-01-15,23.0
2021-01-19,23.25
2021-01-20,23.520000457763672
2021-01-21,23.31999969482422
2021-01-22,23.59000015258789
2021-01-25,23.889999389648438
2021-01-26,22.3799991607666
2021-01-27,23.079999923706055
2021-01-28,23.15999984741211
2021-01-29,23.1299991607666
2021-02-01,22.649999618530273
2021-02-02,22.739999771118164
2021-02-03,22.079999923706055
2021-02-04,22.239999771118164
2021-02-05,22.649999618530273
2021-02-08,22.920000076293945
2021-02-09,23.049999237060547
2021-02-10,23.0
2021-02-11,22.969999313354492
2021-02-12,23.75
2021-02-16,23.770000457763672
2021-02-17,24.1200008392334
2021-02-18,24.299999237060547
2021-02-19,23.799999237060547
2021-02-22,23.579999923706055
2021-02-23,23.280000686645508
2021-02-24,22.459999084472656
2021-02-25,22.850000381469727
2021-02-26,23.829999923706055
2021-03-01,22.59000015258789
2021-03-02,22.920000076293945
2021-03-03,22.209999084472656
2021-03-04,21.1299991607666
2021-03-05,21.110000610351562
2021-03-08,19.700000762939453
2021-03-09,20.809999465942383
2021-03-10,20.770000457763672
2021-03-11,21.469999313354492
2021-03-12,21.1200008392334
2021-03-15,21.469999313354492
2021-03-16,21.399999618530273
2021-03-17,21.239999771118164
2021-03-18,20.530000686645508
2021-03-19,21.010000228881836
2021-03-22,20.75
2021-03-23,20.479999542236328
2021-03-24,19.760000228881836
2021-03-25,19.760000228881836
2021-03-26,19.889999389648438
2021-03-29,19.6299991607666
2021-03-30,19.25
2021-03-31,19.219999313354492
2021-04-01,19.760000228881836
2021-04-05,19.889999389648438
2021-04-06,19.690000534057617
2021-04-07,19.65999984741211
2021-04-08,19.700000762939453
2021-04-09,19.889999389648438
2021-04-12,19.43000030517578
2021-04-13,19.670000076293945
2021-04-14,19.559999465942383
2021-04-15,19.899999618530273
2021-04-16,20.020000457763672
2021-04-19,20.309999465942383
2021-04-20,20.1299991607666
2021-04-21,20.31999969482422
2021-04-22,20.3799991607666
2021-04-23,20.65999984741211
2021-04-26,21.06999969482422
2021-04-27,21.149999618530273
2021-04-28,21.15999984741211
2021-04-29,21.18000030517578
2021-04-30,21.440000534057617
2021-05-03,22.110000610351562
2021-05-04,20.979999542236328
2021-05-05,20.950000762939453
2021-05-06,20.75
2021-05-07,21.260000228881836
2021-05-10,21.100000381469727
2021-05-11,20.649999618530273
2021-05-12,20.399999618530273
2021-05-13,20.0
2021-05-14,20.110000610351562
