,CNST
2018-07-19,11.5
2018-07-20,11.890000343322754
2018-07-23,11.489999771118164
2018-07-24,11.449999809265137
2018-07-25,11.619999885559082
2018-07-26,11.399999618530273
2018-07-27,11.390000343322754
2018-07-30,11.289999961853027
2018-07-31,11.0600004196167
2018-08-01,10.800000190734863
2018-08-02,10.470000267028809
2018-08-03,10.420000076293945
2018-08-06,10.59000015258789
2018-08-07,10.300000190734863
2018-08-08,10.1899995803833
2018-08-09,9.869999885559082
2018-08-10,9.850000381469727
2018-08-13,9.899999618530273
2018-08-14,11.0
2018-08-15,10.630000114440918
2018-08-16,10.609999656677246
2018-08-17,10.449999809265137
2018-08-20,9.989999771118164
2018-08-21,10.239999771118164
2018-08-22,10.220000267028809
2018-08-23,10.1899995803833
2018-08-24,9.899999618530273
2018-08-27,9.949999809265137
2018-08-28,9.90999984741211
2018-08-29,9.670000076293945
2018-08-30,10.25
2018-08-31,10.40999984741211
2018-09-04,9.050000190734863
2018-09-05,9.100000381469727
2018-09-06,8.710000038146973
2018-09-07,8.050000190734863
2018-09-10,7.889999866485596
2018-09-11,7.639999866485596
2018-09-12,7.449999809265137
2018-09-13,7.550000190734863
2018-09-14,7.25
2018-09-17,7.650000095367432
2018-09-18,6.5
2018-09-19,7.0
2018-09-20,7.829999923706055
2018-09-21,8.220000267028809
2018-09-24,7.989999771118164
2018-09-25,7.809999942779541
2018-09-26,7.760000228881836
2018-09-27,6.800000190734863
2018-09-28,6.730000019073486
2018-10-01,6.71999979019165
2018-10-02,6.789999961853027
2018-10-03,6.889999866485596
2018-10-04,6.699999809265137
2018-10-05,6.900000095367432
2018-10-08,6.800000190734863
2018-10-09,6.800000190734863
2018-10-10,6.570000171661377
2018-10-11,6.829999923706055
2018-10-12,6.920000076293945
2018-10-15,6.869999885559082
2018-10-16,6.880000114440918
2018-10-17,6.75
2018-10-18,7.119999885559082
2018-10-19,7.070000171661377
2018-10-22,6.860000133514404
2018-10-23,6.579999923706055
2018-10-24,6.010000228881836
2018-10-25,6.070000171661377
2018-10-26,6.360000133514404
2018-10-29,6.46999979019165
2018-10-30,5.909999847412109
2018-10-31,6.179999828338623
2018-11-01,5.909999847412109
2018-11-02,6.230000019073486
2018-11-05,6.150000095367432
2018-11-06,5.96999979019165
2018-11-07,6.0
2018-11-08,6.090000152587891
2018-11-09,5.860000133514404
2018-11-12,5.659999847412109
2018-11-13,5.739999771118164
2018-11-14,5.760000228881836
2018-11-15,5.75
2018-11-16,5.739999771118164
2018-11-19,5.789999961853027
2018-11-20,5.78000020980835
2018-11-21,5.849999904632568
2018-11-23,5.989999771118164
2018-11-26,5.760000228881836
2018-11-27,5.619999885559082
2018-11-28,5.739999771118164
