,EWTX
2021-03-29,35.9900016784668
2021-03-30,31.219999313354492
2021-03-31,32.5
2021-04-01,30.010000228881836
2021-04-05,30.25
2021-04-06,29.579999923706055
2021-04-07,30.0
2021-04-08,30.0
2021-04-09,29.540000915527344
2021-04-12,28.610000610351562
2021-04-13,27.8700008392334
2021-04-14,28.149999618530273
2021-04-15,27.90999984741211
2021-04-16,27.079999923706055
2021-04-19,26.760000228881836
2021-04-20,26.709999084472656
2021-04-21,27.0
2021-04-22,27.81999969482422
2021-04-23,27.540000915527344
2021-04-26,26.850000381469727
2021-04-27,26.0
2021-04-28,27.84000015258789
2021-04-29,28.479999542236328
2021-04-30,28.639999389648438
2021-05-03,28.950000762939453
2021-05-04,28.959999084472656
2021-05-05,29.350000381469727
2021-05-06,29.299999237060547
2021-05-07,29.239999771118164
2021-05-10,26.950000762939453
2021-05-11,26.450000762939453
2021-05-12,26.31999969482422
2021-05-13,25.190000534057617
2021-05-14,27.700000762939453
