,CALM
1998-08-05,1.28125
1998-08-06,1.359375
1998-08-07,1.34375
1998-08-10,1.3125
1998-08-11,1.125
1998-08-12,1.1875
1998-08-13,1.1875
1998-08-14,1.15625
1998-08-17,1.25
1998-08-18,1.28125
1998-08-19,1.265625
1998-08-20,1.265625
1998-08-21,1.265625
1998-08-24,1.28125
1998-08-25,1.265625
1998-08-26,1.234375
1998-08-27,1.25
1998-08-28,1.25
1998-08-31,1.15625
1998-09-01,1.21875
1998-09-02,1.15625
1998-09-03,1.09375
1998-09-04,1.15625
1998-09-08,1.21875
1998-09-09,1.171875
1998-09-10,1.171875
1998-09-11,1.21875
1998-09-14,1.25
1998-09-15,1.203125
1998-09-16,1.25
1998-09-17,1.25
1998-09-18,1.28125
1998-09-21,1.28125
1998-09-22,1.3125
1998-09-23,1.3125
1998-09-24,1.34375
1998-09-25,1.3125
1998-09-28,1.3125
1998-09-29,1.25
1998-09-30,1.28125
1998-10-01,1.21875
1998-10-02,1.21875
1998-10-05,1.1875
1998-10-06,1.15625
1998-10-07,1.046875
1998-10-08,0.96875
1998-10-09,0.96875
1998-10-12,1.0625
1998-10-13,1.015625
1998-10-14,1.0
1998-10-15,1.0
1998-10-16,1.03125
1998-10-19,1.015625
1998-10-20,1.015625
1998-10-21,1.046875
1998-10-22,1.09375
1998-10-23,1.09375
1998-10-26,1.1015629768371582
1998-10-27,1.109375
1998-10-28,1.140625
1998-10-29,1.234375
1998-10-30,1.3125
1998-11-02,1.3125
1998-11-03,1.3203129768371582
1998-11-04,1.296875
1998-11-05,1.3125
1998-11-06,1.3125
1998-11-09,1.34375
1998-11-10,1.3125
1998-11-11,1.28125
1998-11-12,1.28125
1998-11-13,1.28125
1998-11-16,1.25
1998-11-17,1.28125
1998-11-18,1.3125
1998-11-19,1.2578129768371582
1998-11-20,1.25
1998-11-23,1.28125
1998-11-24,1.2578129768371582
1998-11-25,1.234375
1998-11-27,1.28125
1998-11-30,1.265625
1998-12-01,1.25
1998-12-02,1.234375
1998-12-03,1.171875
1998-12-04,1.171875
1998-12-07,1.15625
1998-12-08,1.203125
1998-12-09,1.1875
1998-12-10,1.1875
1998-12-11,1.15625
1998-12-14,1.109375
1998-12-15,1.078125
1998-12-16,1.078125
1998-12-17,1.109375
1998-12-18,1.125
1998-12-21,1.15625
1998-12-22,1.1953129768371582
1998-12-23,1.1875
1998-12-24,1.09375
1998-12-28,1.125
1998-12-29,1.125
1998-12-30,1.09375
1998-12-31,1.109375
1999-01-04,1.125
1999-01-05,1.15625
1999-01-06,1.203125
1999-01-07,1.21875
1999-01-08,1.234375
1999-01-11,1.28125
1999-01-12,1.21875
1999-01-13,1.28125
1999-01-14,1.3125
1999-01-15,1.328125
1999-01-19,1.328125
1999-01-20,1.3125
1999-01-21,1.3359379768371582
1999-01-22,1.28125
1999-01-25,1.34375
1999-01-26,1.296875
1999-01-27,1.328125
1999-01-28,1.328125
1999-01-29,1.3125
1999-02-01,1.3125
1999-02-02,1.15625
1999-02-03,1.1875
1999-02-04,1.1875
1999-02-05,1.234375
1999-02-08,1.21875
1999-02-09,1.21875
1999-02-10,1.21875
1999-02-11,1.21875
1999-02-12,1.21875
1999-02-16,1.234375
1999-02-17,1.234375
1999-02-18,1.265625
1999-02-19,1.28125
1999-02-22,1.296875
1999-02-23,1.296875
1999-02-24,1.3046879768371582
1999-02-25,1.3125
1999-02-26,1.3125
1999-03-01,1.3125
1999-03-02,1.3125
1999-03-03,1.3203129768371582
1999-03-04,1.3125
1999-03-05,1.3125
1999-03-08,1.359375
1999-03-09,1.375
