,CALM
1998-01-06,1.5625
1998-01-07,1.53125
1998-01-08,1.53125
1998-01-09,1.5625
1998-01-12,1.5
1998-01-13,1.578125
1998-01-14,1.53125
1998-01-15,1.625
1998-01-16,1.59375
1998-01-20,1.640625
1998-01-21,1.65625
1998-01-22,1.71875
1998-01-23,1.65625
1998-01-26,1.59375
1998-01-27,1.5625
1998-01-28,1.515625
1998-01-29,1.5625
1998-01-30,1.59375
1998-02-02,1.609375
1998-02-03,1.65625
1998-02-04,1.671875
1998-02-05,1.703125
1998-02-06,1.65625
1998-02-09,1.6875
1998-02-10,1.71875
1998-02-11,1.703125
1998-02-12,1.6875
1998-02-13,1.640625
1998-02-17,1.625
1998-02-18,1.59375
1998-02-19,1.65625
1998-02-20,1.640625
1998-02-23,1.59375
1998-02-24,1.625
1998-02-25,1.59375
1998-02-26,1.59375
1998-02-27,1.59375
1998-03-02,1.609375
1998-03-03,1.625
1998-03-04,1.609375
1998-03-05,1.609375
1998-03-06,1.609375
1998-03-09,1.609375
1998-03-10,1.5625
1998-03-11,1.53125
1998-03-12,1.53125
1998-03-13,1.53125
1998-03-16,1.546875
1998-03-17,1.53125
1998-03-18,1.5625
1998-03-19,1.59375
1998-03-20,1.59375
1998-03-23,1.59375
1998-03-24,1.609375
1998-03-25,1.609375
1998-03-26,1.59375
1998-03-27,1.5
1998-03-30,1.5
1998-03-31,1.5625
1998-04-01,1.5703129768371582
1998-04-02,1.578125
1998-04-03,1.609375
1998-04-06,1.59375
1998-04-07,1.5625
1998-04-08,1.578125
1998-04-09,1.5
1998-04-13,1.5234379768371582
1998-04-14,1.46875
1998-04-15,1.5625
1998-04-16,1.53125
1998-04-17,1.53125
1998-04-20,1.5625
1998-04-21,1.5625
1998-04-22,1.5625
1998-04-23,1.5625
1998-04-24,1.578125
1998-04-27,1.4375
1998-04-28,1.546875
1998-04-29,1.5625
1998-04-30,1.53125
1998-05-01,1.53125
1998-05-04,1.46875
1998-05-05,1.46875
1998-05-06,1.515625
1998-05-07,1.515625
1998-05-08,1.59375
1998-05-11,1.546875
1998-05-12,1.546875
1998-05-13,1.5
1998-05-14,1.484375
1998-05-15,1.46875
1998-05-18,1.40625
1998-05-19,1.4375
1998-05-20,1.34375
1998-05-21,1.375
1998-05-22,1.34375
1998-05-26,1.28125
1998-05-27,1.25
1998-05-28,1.2734379768371582
1998-05-29,1.3359379768371582
1998-06-01,1.34375
1998-06-02,1.375
1998-06-03,1.34375
1998-06-04,1.34375
1998-06-05,1.375
1998-06-08,1.328125
1998-06-09,1.375
1998-06-10,1.34375
1998-06-11,1.4375
1998-06-12,1.375
1998-06-15,1.3125
1998-06-16,1.3125
1998-06-17,1.375
1998-06-18,1.3125
1998-06-19,1.34375
1998-06-22,1.34375
1998-06-23,1.34375
1998-06-24,1.34375
1998-06-25,1.375
1998-06-26,1.375
1998-06-29,1.375
1998-06-30,1.375
1998-07-01,1.34375
1998-07-02,1.328125
1998-07-06,1.28125
1998-07-07,1.25
1998-07-08,1.34375
1998-07-09,1.40625
1998-07-10,1.375
1998-07-13,1.3125
1998-07-14,1.296875
1998-07-15,1.25
1998-07-16,1.234375
1998-07-17,1.2578129768371582
1998-07-20,1.3125
1998-07-21,1.3125
1998-07-22,1.25
1998-07-23,1.25
1998-07-24,1.2734379768371582
1998-07-27,1.25
1998-07-28,1.25
1998-07-29,1.25
1998-07-30,1.25
1998-07-31,1.28125
1998-08-03,1.21875
1998-08-04,1.203125
