,COOP
2012-03-28,12.0
2012-03-29,10.800000190734863
2012-03-30,10.800000190734863
2012-04-02,9.0
2012-04-03,8.039999961853027
2012-04-04,8.15999984741211
2012-04-05,9.0
2012-04-09,9.239999771118164
2012-04-10,9.0
2012-04-11,8.399999618530273
2012-04-12,7.920000076293945
2012-04-13,8.039999961853027
2012-04-16,7.800000190734863
2012-04-17,8.15999984741211
2012-04-18,7.800000190734863
2012-04-19,7.800000190734863
2012-04-20,7.800000190734863
2012-04-23,7.679999828338623
2012-04-24,7.199999809265137
2012-04-25,7.199999809265137
2012-04-26,7.199999809265137
2012-04-27,7.199999809265137
2012-04-30,7.079999923706055
2012-05-01,7.079999923706055
2012-05-02,7.079999923706055
2012-05-03,7.079999923706055
2012-05-04,6.840000152587891
2012-05-07,6.71999979019165
2012-05-08,6.360000133514404
2012-05-09,6.480000019073486
2012-05-10,6.480000019073486
2012-05-11,6.480000019073486
2012-05-14,6.480000019073486
2012-05-15,6.599999904632568
2012-05-16,6.599999904632568
2012-05-17,6.480000019073486
2012-05-18,6.480000019073486
2012-05-21,6.360000133514404
2012-05-22,6.360000133514404
2012-05-23,6.0
2012-05-24,6.0
2012-05-25,5.400000095367432
2012-05-29,5.159999847412109
2012-05-30,5.159999847412109
2012-05-31,5.159999847412109
2012-06-01,6.0
2012-06-04,5.880000114440918
2012-06-05,6.0
2012-06-06,6.840000152587891
2012-06-07,6.480000019073486
2012-06-08,6.840000152587891
2012-06-11,6.840000152587891
2012-06-12,6.840000152587891
2012-06-13,6.840000152587891
2012-06-14,6.360000133514404
2012-06-15,6.599999904632568
2012-06-18,6.239999771118164
2012-06-19,6.599999904632568
2012-06-20,6.480000019073486
2012-06-21,6.119999885559082
2012-06-22,6.239999771118164
2012-06-25,5.880000114440918
2012-06-26,6.0
2012-06-27,6.360000133514404
2012-06-28,5.880000114440918
2012-06-29,6.0
2012-07-02,6.0
2012-07-03,6.0
2012-07-05,6.0
2012-07-06,6.0
2012-07-09,6.0
2012-07-10,5.639999866485596
2012-07-11,5.760000228881836
2012-07-12,6.0
2012-07-13,5.760000228881836
2012-07-16,6.0
2012-07-17,5.639999866485596
2012-07-18,5.519999980926514
2012-07-19,5.519999980926514
2012-07-20,6.239999771118164
2012-07-23,6.0
2012-07-24,6.0
2012-07-25,5.880000114440918
2012-07-26,5.880000114440918
2012-07-27,6.599999904632568
2012-07-30,6.960000038146973
2012-07-31,6.840000152587891
2012-08-01,6.840000152587891
2012-08-02,6.119999885559082
2012-08-03,6.480000019073486
2012-08-06,6.239999771118164
2012-08-07,6.0
2012-08-08,6.0
2012-08-09,6.0
2012-08-10,6.0
2012-08-13,6.0
2012-08-14,6.0
2012-08-15,6.239999771118164
2012-08-16,6.239999771118164
2012-08-17,6.119999885559082
2012-08-20,6.0
2012-08-21,6.0
2012-08-22,6.119999885559082
2012-08-23,6.0
2012-08-24,6.239999771118164
2012-08-27,6.0
2012-08-28,6.0
2012-08-29,6.0
2012-08-30,6.0
2012-08-31,5.760000228881836
2012-09-04,6.0
2012-09-05,5.760000228881836
2012-09-06,5.760000228881836
2012-09-07,6.0
2012-09-10,5.760000228881836
2012-09-11,5.760000228881836
2012-09-12,6.0
2012-09-13,6.119999885559082
2012-09-14,6.119999885559082
2012-09-17,6.480000019073486
2012-09-18,6.599999904632568
2012-09-19,6.480000019073486
2012-09-20,6.239999771118164
2012-09-21,6.480000019073486
2012-09-24,6.360000133514404
2012-09-25,6.119999885559082
2012-09-26,6.239999771118164
2012-09-27,5.880000114440918
2012-09-28,6.119999885559082
2012-10-01,6.0
2012-10-02,5.880000114440918
2012-10-03,6.0
2012-10-04,5.880000114440918
2012-10-05,6.0
2012-10-08,5.880000114440918
2012-10-09,5.639999866485596
2012-10-10,5.760000228881836
2012-10-11,5.760000228881836
2012-10-12,5.760000228881836
2012-10-15,6.0
2012-10-16,5.880000114440918
2012-10-17,5.880000114440918
2012-10-18,5.760000228881836
2012-10-19,5.880000114440918
2012-10-22,5.639999866485596
2012-10-23,6.239999771118164
2012-10-24,5.880000114440918
2012-10-25,6.0
2012-10-26,5.760000228881836
2012-10-31,5.639999866485596
2012-11-01,5.519999980926514
2012-11-02,5.639999866485596
2012-11-05,5.400000095367432
2012-11-06,5.519999980926514
2012-11-07,5.639999866485596
2012-11-08,5.760000228881836
2012-11-09,5.519999980926514
2012-11-12,5.639999866485596
2012-11-13,5.639999866485596
2012-11-14,5.639999866485596
2012-11-15,5.639999866485596
2012-11-16,5.639999866485596
2012-11-19,5.639999866485596
2012-11-20,5.519999980926514
2012-11-21,5.639999866485596
2012-11-23,5.639999866485596
2012-11-26,5.639999866485596
2012-11-27,5.760000228881836
2012-11-28,5.519999980926514
2012-11-29,5.519999980926514
2012-11-30,5.760000228881836
2012-12-03,5.639999866485596
2012-12-04,5.880000114440918
2012-12-05,6.599999904632568
2012-12-06,6.480000019073486
2012-12-07,6.71999979019165
2012-12-10,7.199999809265137
2012-12-11,7.559999942779541
2012-12-12,7.320000171661377
2012-12-13,7.559999942779541
2012-12-14,7.800000190734863
2012-12-17,8.279999732971191
2012-12-18,8.279999732971191
2012-12-19,8.279999732971191
2012-12-20,8.279999732971191
2012-12-21,8.15999984741211
2012-12-24,8.15999984741211
2012-12-26,9.479999542236328
2012-12-27,9.960000038146973
2012-12-28,10.5600004196167
2012-12-31,10.079999923706055
2013-01-02,9.720000267028809
2013-01-03,9.600000381469727
2013-01-04,9.479999542236328
2013-01-07,9.359999656677246
2013-01-08,8.399999618530273
2013-01-09,8.039999961853027
2013-01-10,8.640000343322754
2013-01-11,9.359999656677246
2013-01-14,9.0
2013-01-15,9.600000381469727
2013-01-16,9.600000381469727
2013-01-17,9.720000267028809
2013-01-18,9.960000038146973
2013-01-22,9.600000381469727
2013-01-23,10.079999923706055
2013-01-24,9.960000038146973
2013-01-25,9.960000038146973
2013-01-28,9.960000038146973
2013-01-29,9.239999771118164
2013-01-30,9.359999656677246
2013-01-31,9.479999542236328
2013-02-01,9.0
2013-02-04,9.0
2013-02-05,9.0
2013-02-06,9.359999656677246
2013-02-07,9.84000015258789
2013-02-08,9.359999656677246
2013-02-11,9.119999885559082
2013-02-12,9.239999771118164
2013-02-13,9.0
2013-02-14,8.880000114440918
2013-02-15,9.479999542236328
2013-02-19,9.600000381469727
2013-02-20,9.359999656677246
2013-02-21,9.359999656677246
2013-02-22,9.239999771118164
2013-02-25,9.119999885559082
2013-02-26,9.359999656677246
2013-02-27,9.239999771118164
2013-02-28,9.359999656677246
2013-03-01,9.119999885559082
2013-03-04,9.119999885559082
