,DHCAU
2021-03-02,10.0
2021-03-03,10.020000457763672
2021-03-04,9.989999771118164
2021-03-05,10.010000228881836
2021-03-08,10.029999732971191
2021-03-09,10.0
2021-03-10,10.020000457763672
2021-03-11,10.029999732971191
2021-03-12,10.0
2021-03-15,9.979999542236328
2021-03-16,9.942999839782715
2021-03-17,9.970000267028809
2021-03-18,9.970000267028809
2021-03-19,9.949999809265137
2021-03-22,9.920000076293945
2021-03-23,9.85200023651123
2021-03-24,9.829999923706055
2021-03-25,9.850000381469727
2021-03-26,9.892000198364258
2021-03-29,9.90999984741211
2021-03-30,9.880000114440918
2021-03-31,9.989999771118164
2021-04-01,9.9399995803833
2021-04-05,10.0
2021-04-06,9.949999809265137
2021-04-07,9.949999809265137
2021-04-08,9.989999771118164
2021-04-09,9.970000267028809
2021-04-12,9.970000267028809
2021-04-13,9.949999809265137
2021-04-14,9.989999771118164
2021-04-15,9.989999771118164
2021-04-16,10.039999961853027
2021-04-19,10.069999694824219
2021-04-20,10.0
2021-04-21,9.984000205993652
2021-04-22,9.979999542236328
2021-04-23,9.979999542236328
2021-04-26,9.980999946594238
2021-04-27,9.979999542236328
2021-04-28,10.0
2021-04-29,10.0
2021-04-30,9.949999809265137
2021-05-03,9.970000267028809
2021-05-04,10.0
2021-05-05,10.0
2021-05-06,9.979999542236328
2021-05-07,9.9399995803833
2021-05-10,9.979999542236328
2021-05-11,9.989999771118164
2021-05-12,9.949999809265137
2021-05-13,9.989999771118164
2021-05-14,9.979999542236328
