,FGFPP
2018-03-22,24.399999618530273
2018-03-23,24.200000762939453
2018-03-26,24.399999618530273
2018-03-27,24.503000259399414
2018-03-28,24.600000381469727
2018-03-29,24.60300064086914
2018-04-02,24.5
2018-04-03,24.350000381469727
2018-04-04,24.44499969482422
2018-04-05,24.481000900268555
2018-04-06,24.5
2018-04-09,24.527000427246094
2018-04-10,24.549999237060547
2018-04-11,24.85300064086914
2018-04-12,24.958999633789062
2018-04-13,25.0
2018-04-16,25.0
2018-04-17,25.0
2018-04-18,25.0
2018-04-19,24.93000030517578
2018-04-20,25.100000381469727
2018-04-23,25.0
2018-04-24,25.0
2018-04-25,25.0
2018-04-26,25.020000457763672
2018-04-27,25.059999465942383
2018-04-30,24.506000518798828
2018-05-01,24.506000518798828
2018-05-02,25.43000030517578
2018-05-03,25.5
2018-05-04,25.5
2018-05-07,26.610000610351562
2018-05-08,26.5
2018-05-09,25.950000762939453
2018-05-10,25.510000228881836
2018-05-11,25.600000381469727
2018-05-14,25.600000381469727
2018-05-15,25.530000686645508
2018-05-16,25.5
2018-05-17,25.56999969482422
2018-05-18,25.549999237060547
2018-05-21,25.999000549316406
2018-05-22,25.600000381469727
2018-05-23,25.600000381469727
2018-05-24,25.799999237060547
2018-05-25,25.834999084472656
2018-05-29,25.75
2018-05-30,26.37299919128418
2018-05-31,25.702999114990234
2018-06-01,25.702999114990234
2018-06-04,26.100000381469727
2018-06-05,26.100000381469727
2018-06-06,26.100000381469727
2018-06-07,25.969999313354492
2018-06-08,26.0
2018-06-11,25.549999237060547
2018-06-12,25.92799949645996
2018-06-13,25.847000122070312
2018-06-14,25.549999237060547
2018-06-15,25.549999237060547
2018-06-18,25.75
2018-06-19,25.61400032043457
2018-06-20,25.61400032043457
2018-06-21,25.61400032043457
2018-06-22,25.61400032043457
2018-06-25,25.586000442504883
2018-06-26,25.586000442504883
2018-06-27,25.950000762939453
2018-06-28,25.59000015258789
2018-06-29,25.59000015258789
2018-07-02,25.711999893188477
2018-07-03,25.6200008392334
2018-07-05,25.709999084472656
