,ALGM
2020-10-29,17.700000762939453
2020-10-30,18.299999237060547
2020-11-02,19.75
2020-11-03,21.0
2020-11-04,21.0
2020-11-05,22.75
2020-11-06,24.0
2020-11-09,26.219999313354492
2020-11-10,21.84000015258789
2020-11-11,21.979999542236328
2020-11-12,21.950000762939453
2020-11-13,20.81999969482422
2020-11-16,21.020000457763672
2020-11-17,21.959999084472656
2020-11-18,21.600000381469727
2020-11-19,22.530000686645508
2020-11-20,22.790000915527344
2020-11-23,21.860000610351562
2020-11-24,23.6299991607666
2020-11-25,24.0
2020-11-27,25.40999984741211
2020-11-30,23.950000762939453
2020-12-01,24.729999542236328
2020-12-02,25.709999084472656
2020-12-03,27.1200008392334
2020-12-04,28.0
2020-12-07,27.739999771118164
2020-12-08,26.600000381469727
2020-12-09,25.3700008392334
2020-12-10,26.520000457763672
2020-12-11,26.079999923706055
2020-12-14,26.799999237060547
2020-12-15,27.3700008392334
2020-12-16,26.520000457763672
2020-12-17,26.25
2020-12-18,25.360000610351562
2020-12-21,26.139999389648438
2020-12-22,27.34000015258789
2020-12-23,24.809999465942383
2020-12-24,24.790000915527344
2020-12-28,26.030000686645508
2020-12-29,26.579999923706055
2020-12-30,25.579999923706055
2020-12-31,26.65999984741211
2021-01-04,25.520000457763672
2021-01-05,26.15999984741211
2021-01-06,28.06999969482422
2021-01-07,29.940000534057617
2021-01-08,29.190000534057617
2021-01-11,30.200000762939453
2021-01-12,31.350000381469727
2021-01-13,32.95000076293945
2021-01-14,33.369998931884766
2021-01-15,32.720001220703125
2021-01-19,32.290000915527344
2021-01-20,32.81999969482422
2021-01-21,34.099998474121094
2021-01-22,33.5
2021-01-25,31.850000381469727
2021-01-26,30.81999969482422
2021-01-27,29.350000381469727
2021-01-28,29.489999771118164
2021-01-29,27.920000076293945
2021-02-01,30.360000610351562
2021-02-02,32.0099983215332
2021-02-03,29.020000457763672
2021-02-04,31.65999984741211
2021-02-05,30.190000534057617
2021-02-08,30.84000015258789
2021-02-09,30.459999084472656
2021-02-10,30.459999084472656
2021-02-11,30.540000915527344
2021-02-12,30.399999618530273
2021-02-16,30.489999771118164
2021-02-17,30.299999237060547
2021-02-18,30.290000915527344
2021-02-19,30.135000228881836
2021-02-22,29.459999084472656
2021-02-23,28.940000534057617
2021-02-24,28.290000915527344
2021-02-25,26.719999313354492
2021-02-26,26.139999389648438
2021-03-01,27.170000076293945
2021-03-02,26.940000534057617
2021-03-03,26.649999618530273
2021-03-04,25.450000762939453
2021-03-05,25.6299991607666
2021-03-08,25.139999389648438
2021-03-09,25.829999923706055
2021-03-10,25.290000915527344
2021-03-11,26.959999084472656
2021-03-12,26.790000915527344
2021-03-15,26.8799991607666
2021-03-16,26.829999923706055
2021-03-17,26.920000076293945
2021-03-18,26.06999969482422
2021-03-19,26.040000915527344
2021-03-22,26.850000381469727
2021-03-23,25.780000686645508
2021-03-24,23.90999984741211
2021-03-25,24.43000030517578
2021-03-26,25.270000457763672
2021-03-29,24.68000030517578
2021-03-30,24.920000076293945
2021-03-31,25.350000381469727
2021-04-01,27.260000228881836
2021-04-05,28.0
2021-04-06,27.639999389648438
2021-04-07,27.420000076293945
2021-04-08,27.8799991607666
2021-04-09,27.399999618530273
2021-04-12,26.25
2021-04-13,26.479999542236328
2021-04-14,26.09000015258789
2021-04-15,26.760000228881836
2021-04-16,26.729999542236328
2021-04-19,25.649999618530273
2021-04-20,25.0
2021-04-21,26.09000015258789
2021-04-22,26.0
2021-04-23,27.059999465942383
2021-04-26,26.860000610351562
2021-04-27,26.59000015258789
2021-04-28,25.850000381469727
2021-04-29,25.329999923706055
2021-04-30,24.68000030517578
2021-05-03,24.360000610351562
2021-05-04,24.110000610351562
2021-05-05,25.239999771118164
2021-05-06,24.850000381469727
2021-05-07,24.790000915527344
2021-05-10,23.940000534057617
2021-05-11,24.450000762939453
2021-05-12,22.860000610351562
2021-05-13,22.8799991607666
2021-05-14,23.729999542236328
