,ACRS
2015-10-06,11.0
2015-10-07,11.050000190734863
2015-10-08,11.050000190734863
2015-10-09,12.5
2015-10-12,13.600000381469727
2015-10-13,12.460000038146973
2015-10-14,14.359999656677246
2015-10-15,15.5600004196167
2015-10-16,14.569999694824219
2015-10-19,15.420000076293945
2015-10-20,15.430000305175781
2015-10-21,14.920000076293945
2015-10-22,14.5
2015-10-23,14.430000305175781
2015-10-26,14.479999542236328
2015-10-27,14.65999984741211
2015-10-28,14.3100004196167
2015-10-29,14.380000114440918
2015-10-30,14.470000267028809
2015-11-02,14.609999656677246
2015-11-03,15.130000114440918
2015-11-04,14.899999618530273
2015-11-05,15.210000038146973
2015-11-06,14.670000076293945
2015-11-09,15.140000343322754
2015-11-10,17.290000915527344
2015-11-11,16.610000610351562
2015-11-12,16.90999984741211
2015-11-13,18.149999618530273
2015-11-16,18.360000610351562
2015-11-17,18.809999465942383
2015-11-18,19.950000762939453
2015-11-19,19.899999618530273
2015-11-20,20.84000015258789
2015-11-23,23.649999618530273
2015-11-24,23.5
2015-11-25,23.389999389648438
2015-11-27,23.399999618530273
2015-11-30,23.549999237060547
2015-12-01,23.239999771118164
2015-12-02,21.399999618530273
2015-12-03,20.549999237060547
2015-12-04,21.1299991607666
2015-12-07,21.024999618530273
2015-12-08,21.100000381469727
2015-12-09,21.0
2015-12-10,21.440000534057617
2015-12-11,22.049999237060547
2015-12-14,22.670000076293945
2015-12-15,22.030000686645508
2015-12-16,25.969999313354492
2015-12-17,28.920000076293945
2015-12-18,28.68000030517578
2015-12-21,29.139999389648438
2015-12-22,29.280000686645508
2015-12-23,28.690000534057617
2015-12-24,28.989999771118164
2015-12-28,28.780000686645508
2015-12-29,24.09000015258789
2015-12-30,25.59000015258789
2015-12-31,26.940000534057617
2016-01-04,26.389999389648438
2016-01-05,27.3700008392334
2016-01-06,25.68000030517578
2016-01-07,23.979999542236328
2016-01-08,23.5
2016-01-11,19.440000534057617
2016-01-12,20.43000030517578
2016-01-13,20.18000030517578
2016-01-14,21.149999618530273
2016-01-15,20.420000076293945
2016-01-19,19.979999542236328
2016-01-20,21.049999237060547
2016-01-21,22.559999465942383
2016-01-22,22.0
2016-01-25,20.149999618530273
2016-01-26,21.84000015258789
2016-01-27,20.8799991607666
2016-01-28,20.940000534057617
2016-01-29,22.229999542236328
2016-02-01,21.649999618530273
2016-02-02,21.93000030517578
2016-02-03,22.0
2016-02-04,21.969999313354492
2016-02-05,21.540000915527344
2016-02-08,20.459999084472656
2016-02-09,19.600000381469727
2016-02-10,20.1200008392334
2016-02-11,19.899999618530273
2016-02-12,19.450000762939453
2016-02-16,18.780000686645508
2016-02-17,15.649999618530273
2016-02-18,15.119999885559082
2016-02-19,15.289999961853027
2016-02-22,16.760000228881836
2016-02-23,18.010000228881836
2016-02-24,18.600000381469727
2016-02-25,18.950000762939453
2016-02-26,18.93000030517578
2016-02-29,18.34000015258789
2016-03-01,17.709999084472656
2016-03-02,17.389999389648438
2016-03-03,17.329999923706055
2016-03-04,18.020000457763672
2016-03-07,17.920000076293945
2016-03-08,17.420000076293945
2016-03-09,16.93000030517578
2016-03-10,16.739999771118164
2016-03-11,16.84000015258789
2016-03-14,16.399999618530273
2016-03-15,16.139999389648438
2016-03-16,16.139999389648438
2016-03-17,15.989999771118164
2016-03-18,15.710000038146973
2016-03-21,15.800000190734863
2016-03-22,15.369999885559082
2016-03-23,15.0
2016-03-24,14.770000457763672
2016-03-28,14.90999984741211
2016-03-29,15.489999771118164
2016-03-30,15.449999809265137
2016-03-31,18.950000762939453
2016-04-01,20.5
2016-04-04,20.5
2016-04-05,19.690000534057617
2016-04-06,20.84000015258789
2016-04-07,20.690000534057617
2016-04-08,20.15999984741211
2016-04-11,19.979999542236328
2016-04-12,19.610000610351562
2016-04-13,20.0
2016-04-14,20.100000381469727
2016-04-15,20.059999465942383
2016-04-18,19.90999984741211
2016-04-19,20.399999618530273
2016-04-20,19.809999465942383
2016-04-21,19.690000534057617
2016-04-22,19.65999984741211
2016-04-25,19.68000030517578
2016-04-26,21.780000686645508
2016-04-27,20.479999542236328
2016-04-28,19.760000228881836
2016-04-29,18.479999542236328
2016-05-02,20.40999984741211
2016-05-03,20.6299991607666
2016-05-04,19.690000534057617
2016-05-05,21.020000457763672
2016-05-06,20.709999084472656
2016-05-09,20.5
2016-05-10,19.979999542236328
2016-05-11,17.969999313354492
2016-05-12,16.93000030517578
2016-05-13,19.059999465942383
2016-05-16,19.190000534057617
2016-05-17,19.18000030517578
2016-05-18,19.920000076293945
2016-05-19,19.790000915527344
2016-05-20,20.350000381469727
2016-05-23,19.209999084472656
2016-05-24,19.799999237060547
2016-05-25,20.489999771118164
2016-05-26,19.700000762939453
2016-05-27,20.0
2016-05-31,19.979999542236328
2016-06-01,20.239999771118164
2016-06-02,20.940000534057617
2016-06-03,20.209999084472656
2016-06-06,22.06999969482422
2016-06-07,21.90999984741211
2016-06-08,21.639999389648438
2016-06-09,21.56999969482422
2016-06-10,21.969999313354492
2016-06-13,20.440000534057617
2016-06-14,19.389999389648438
2016-06-15,19.200000762939453
2016-06-16,19.469999313354492
2016-06-17,18.93000030517578
2016-06-20,19.1299991607666
2016-06-21,17.829999923706055
2016-06-22,18.06999969482422
2016-06-23,18.209999084472656
2016-06-24,18.100000381469727
2016-06-27,17.68000030517578
2016-06-28,18.06999969482422
2016-06-29,18.31999969482422
2016-06-30,18.469999313354492
2016-07-01,19.049999237060547
2016-07-05,18.959999084472656
2016-07-06,19.34000015258789
2016-07-07,19.520000457763672
2016-07-08,20.1299991607666
2016-07-11,20.1299991607666
2016-07-12,20.110000610351562
2016-07-13,19.850000381469727
2016-07-14,20.15999984741211
2016-07-15,20.299999237060547
2016-07-18,20.219999313354492
2016-07-19,20.200000762939453
2016-07-20,20.75
2016-07-21,20.979999542236328
