,DRNA
2014-01-30,46.0
2014-01-31,41.119998931884766
2014-02-03,32.65999984741211
2014-02-04,30.360000610351562
2014-02-05,33.54999923706055
2014-02-06,33.97999954223633
2014-02-07,35.34000015258789
2014-02-10,36.36000061035156
2014-02-11,38.470001220703125
2014-02-12,39.040000915527344
2014-02-13,39.25
2014-02-14,38.959999084472656
2014-02-18,38.58000183105469
2014-02-19,39.25
2014-02-20,39.33000183105469
2014-02-21,39.5
2014-02-24,42.36000061035156
2014-02-25,43.400001525878906
2014-02-26,41.79999923706055
2014-02-27,41.290000915527344
2014-02-28,36.720001220703125
2014-03-03,37.54999923706055
2014-03-04,40.060001373291016
2014-03-05,39.0099983215332
2014-03-06,35.119998931884766
2014-03-07,34.65999984741211
2014-03-10,36.470001220703125
2014-03-11,38.369998931884766
2014-03-12,37.36000061035156
2014-03-13,35.79999923706055
2014-03-14,35.27000045776367
2014-03-17,36.81999969482422
2014-03-18,38.790000915527344
2014-03-19,40.84000015258789
2014-03-20,41.71500015258789
2014-03-21,36.97999954223633
2014-03-24,33.650001525878906
2014-03-25,34.43000030517578
2014-03-26,32.20000076293945
2014-03-27,30.610000610351562
2014-03-28,29.049999237060547
2014-03-31,28.25
2014-04-01,26.510000228881836
2014-04-02,25.209999084472656
2014-04-03,23.5
2014-04-04,21.40999984741211
2014-04-07,22.209999084472656
2014-04-08,20.56999969482422
2014-04-09,21.75
2014-04-10,19.670000076293945
2014-04-11,18.110000610351562
2014-04-14,17.0
2014-04-15,16.0
2014-04-16,16.299999237060547
2014-04-17,16.40999984741211
2014-04-21,16.200000762939453
2014-04-22,17.780000686645508
2014-04-23,16.889999389648438
2014-04-24,17.959999084472656
2014-04-25,17.190000534057617
2014-04-28,17.610000610351562
2014-04-29,18.25
2014-04-30,18.770000457763672
2014-05-01,19.40999984741211
2014-05-02,18.860000610351562
2014-05-05,18.510000228881836
2014-05-06,18.350000381469727
2014-05-07,17.56999969482422
2014-05-08,16.209999084472656
2014-05-09,17.079999923706055
2014-05-12,17.479999542236328
2014-05-13,16.600000381469727
2014-05-14,16.030000686645508
2014-05-15,15.5600004196167
2014-05-16,16.170000076293945
2014-05-19,15.920000076293945
2014-05-20,16.200000762939453
2014-05-21,16.270000457763672
2014-05-22,16.510000228881836
2014-05-23,17.729999542236328
2014-05-27,16.540000915527344
2014-05-28,16.270000457763672
2014-05-29,16.59000015258789
2014-05-30,16.15999984741211
2014-06-02,15.970000267028809
2014-06-03,15.739999771118164
2014-06-04,15.680000305175781
2014-06-05,15.75
2014-06-06,16.389999389648438
2014-06-09,17.579999923706055
2014-06-10,19.829999923706055
2014-06-11,20.190000534057617
2014-06-12,19.059999465942383
2014-06-13,18.389999389648438
2014-06-16,17.739999771118164
2014-06-17,18.75
2014-06-18,18.729999542236328
2014-06-19,17.959999084472656
2014-06-20,18.510000228881836
2014-06-23,17.860000610351562
2014-06-24,17.940000534057617
2014-06-25,18.3700008392334
2014-06-26,19.200000762939453
2014-06-27,18.84000015258789
2014-06-30,22.56999969482422
2014-07-01,21.030000686645508
2014-07-02,21.3799991607666
2014-07-03,21.469999313354492
2014-07-07,20.329999923706055
2014-07-08,19.420000076293945
2014-07-09,18.559999465942383
2014-07-10,18.290000915527344
2014-07-11,17.920000076293945
2014-07-14,17.520000457763672
2014-07-15,16.729999542236328
2014-07-16,15.789999961853027
2014-07-17,15.09000015258789
2014-07-18,16.09000015258789
2014-07-21,15.359999656677246
2014-07-22,15.9399995803833
2014-07-23,15.779999732971191
2014-07-24,14.899999618530273
2014-07-25,15.260000228881836
2014-07-28,15.039999961853027
2014-07-29,15.100000381469727
2014-07-30,15.039999961853027
2014-07-31,15.020000457763672
2014-08-01,15.0600004196167
2014-08-04,14.944999694824219
2014-08-05,14.979999542236328
2014-08-06,14.890000343322754
2014-08-07,14.350000381469727
2014-08-08,13.449999809265137
2014-08-11,13.930000305175781
2014-08-12,14.34000015258789
2014-08-13,14.779999732971191
2014-08-14,14.8100004196167
2014-08-15,14.539999961853027
2014-08-18,14.649999618530273
2014-08-19,14.220000267028809
2014-08-20,14.270000457763672
2014-08-21,14.020000457763672
2014-08-22,14.0600004196167
2014-08-25,14.079999923706055
2014-08-26,14.550000190734863
2014-08-27,14.430000305175781
2014-08-28,14.229999542236328
2014-08-29,13.779999732971191
2014-09-02,14.3100004196167
2014-09-03,13.739999771118164
2014-09-04,13.630000114440918
2014-09-05,13.800000190734863
2014-09-08,14.380000114440918
2014-09-09,13.970000267028809
2014-09-10,14.550000190734863
2014-09-11,14.600000381469727
2014-09-12,14.09000015258789
2014-09-15,13.649999618530273
2014-09-16,13.539999961853027
2014-09-17,13.699999809265137
2014-09-18,13.640000343322754
2014-09-19,13.180000305175781
2014-09-22,13.020000457763672
2014-09-23,12.970000267028809
2014-09-24,13.319999694824219
2014-09-25,12.8100004196167
2014-09-26,12.899999618530273
2014-09-29,13.0
2014-09-30,12.729999542236328
2014-10-01,12.489999771118164
2014-10-02,13.720000267028809
2014-10-03,14.050000190734863
2014-10-06,13.210000038146973
2014-10-07,12.550000190734863
2014-10-08,12.460000038146973
2014-10-09,12.199999809265137
2014-10-10,11.609999656677246
