,AFINO
2020-12-16,24.700000762939453
2020-12-17,24.700000762939453
2020-12-18,24.690000534057617
2020-12-21,24.739999771118164
2020-12-22,24.65999984741211
2020-12-23,24.746000289916992
2020-12-24,24.760000228881836
2020-12-28,25.045000076293945
2020-12-29,24.979999542236328
2020-12-30,24.92799949645996
2020-12-31,24.93000030517578
2021-01-04,24.979999542236328
2021-01-05,25.024999618530273
2021-01-06,24.81999969482422
2021-01-07,24.979999542236328
2021-01-08,25.100000381469727
2021-01-11,25.011999130249023
2021-01-12,25.010000228881836
2021-01-13,25.139999389648438
2021-01-14,25.040000915527344
2021-01-15,25.020000457763672
2021-01-19,25.0
2021-01-20,24.979999542236328
2021-01-21,24.950000762939453
2021-01-22,25.0
2021-01-25,24.979999542236328
2021-01-26,24.950000762939453
2021-01-27,24.893999099731445
2021-01-28,24.850000381469727
2021-01-29,24.940000534057617
2021-02-01,24.969999313354492
2021-02-02,24.93000030517578
2021-02-03,24.954999923706055
2021-02-04,24.690000534057617
2021-02-05,24.950000762939453
2021-02-08,25.0
2021-02-09,24.989999771118164
2021-02-10,24.90999984741211
2021-02-11,25.010000228881836
2021-02-12,25.0
2021-02-16,25.100000381469727
2021-02-17,24.940000534057617
2021-02-18,24.899999618530273
2021-02-19,25.010000228881836
2021-02-22,25.049999237060547
2021-02-23,25.010000228881836
2021-02-24,25.049999237060547
2021-02-25,25.059999465942383
2021-02-26,25.010000228881836
2021-03-01,25.049999237060547
2021-03-02,25.075000762939453
2021-03-03,25.079999923706055
2021-03-04,25.100000381469727
2021-03-05,25.010000228881836
2021-03-08,25.010000228881836
2021-03-09,25.049999237060547
2021-03-10,25.03499984741211
2021-03-11,25.040000915527344
2021-03-12,25.040000915527344
2021-03-15,25.040000915527344
2021-03-16,25.09000015258789
2021-03-17,25.007999420166016
2021-03-18,25.020999908447266
2021-03-19,25.0049991607666
2021-03-22,25.040000915527344
2021-03-23,25.0
2021-03-24,25.010000228881836
2021-03-25,25.010000228881836
2021-03-26,25.030000686645508
2021-03-29,25.049999237060547
2021-03-30,25.0
2021-03-31,25.030000686645508
2021-04-01,24.844999313354492
2021-04-05,24.940000534057617
2021-04-06,24.989999771118164
2021-04-07,24.959999084472656
2021-04-08,25.0
2021-04-09,25.010000228881836
2021-04-12,25.0
2021-04-13,25.010000228881836
2021-04-14,25.0049991607666
2021-04-15,25.010000228881836
2021-04-16,25.079999923706055
2021-04-19,25.08300018310547
2021-04-20,25.34000015258789
2021-04-21,25.520000457763672
2021-04-22,25.350000381469727
2021-04-23,25.469999313354492
2021-04-26,25.600000381469727
2021-04-27,25.690000534057617
2021-04-28,25.68000030517578
2021-04-29,25.649999618530273
2021-04-30,25.719999313354492
2021-05-03,25.68000030517578
2021-05-04,25.540000915527344
2021-05-05,25.448999404907227
2021-05-06,25.56999969482422
2021-05-07,25.75
2021-05-10,25.809999465942383
2021-05-11,25.799999237060547
2021-05-12,25.479999542236328
2021-05-13,25.5049991607666
2021-05-14,25.600000381469727
