,AEYE
2013-04-26,28.0
2013-04-29,35.0
2013-04-30,32.25
2013-05-01,30.0
2013-05-02,27.5
2013-05-03,27.5
2013-05-06,28.5
2013-05-07,25.0
2013-05-08,25.0
2013-05-09,16.25
2013-05-10,22.5
2013-05-13,19.0
2013-05-14,23.5
2013-05-15,21.5
2013-05-16,25.25
2013-05-17,24.75
2013-05-20,23.75
2013-05-21,20.25
2013-05-22,18.75
2013-05-23,16.5
2013-05-24,21.5
2013-05-28,21.5
2013-05-29,21.5
2013-05-30,20.0
2013-05-31,17.5
2013-06-03,16.25
2013-06-04,16.25
2013-06-05,16.25
2013-06-06,15.0
2013-06-07,16.0
2013-06-10,16.0
2013-06-11,15.0
2013-06-12,16.75
2013-06-13,15.0
2013-06-14,15.0
2013-06-17,15.0
2013-06-18,11.25
2013-06-19,12.5
2013-06-20,13.75
2013-06-21,12.5
2013-06-24,7.5
2013-06-25,8.5
2013-06-26,10.0
2013-06-27,11.75
2013-06-28,10.0
2013-07-01,10.5
2013-07-02,10.25
2013-07-03,10.5
2013-07-05,13.5
2013-07-08,12.0
2013-07-09,12.0
2013-07-10,12.5
2013-07-11,11.25
2013-07-12,11.25
2013-07-15,11.25
2013-07-16,12.75
2013-07-17,12.75
2013-07-18,10.75
2013-07-19,9.5
2013-07-22,10.0
2013-07-23,9.25
2013-07-24,8.75
2013-07-25,9.5
2013-07-26,8.75
2013-07-29,8.75
2013-07-30,8.75
2013-07-31,8.75
2013-08-01,10.25
2013-08-02,11.75
2013-08-05,12.0
2013-08-06,10.75
2013-08-07,11.25
2013-08-08,10.0
2013-08-09,10.25
2013-08-12,9.0
2013-08-13,11.0
2013-08-14,10.25
2013-08-15,9.0
2013-08-16,10.25
2013-08-19,10.0
2013-08-20,9.75
2013-08-21,11.75
2013-08-22,11.25
2013-08-23,12.0
2013-08-26,11.5
2013-08-27,8.75
2013-08-28,12.75
2013-08-29,11.25
2013-08-30,11.25
2013-09-03,12.5
2013-09-04,11.75
2013-09-05,13.25
2013-09-06,11.75
2013-09-09,13.0
2013-09-10,12.25
2013-09-11,12.0
2013-09-12,10.25
2013-09-13,12.5
2013-09-16,10.5
2013-09-17,11.75
2013-09-18,11.0
2013-09-19,10.75
2013-09-20,10.5
2013-09-23,10.5
2013-09-24,10.75
2013-09-25,8.5
2013-09-26,9.75
2013-09-27,9.75
2013-09-30,9.75
2013-10-01,10.0
2013-10-02,7.5
2013-10-03,8.75
2013-10-04,11.25
2013-10-07,10.75
2013-10-08,12.75
2013-10-09,10.5
2013-10-10,10.5
2013-10-11,12.25
2013-10-14,11.25
2013-10-15,11.5
2013-10-16,10.75
2013-10-17,11.75
2013-10-18,11.75
2013-10-21,11.0
2013-10-22,11.0
2013-10-23,11.0
2013-10-24,11.0
2013-10-25,10.0
2013-10-28,10.0
2013-10-29,10.0
2013-10-30,10.0
2013-10-31,9.75
2013-11-01,9.5
2013-11-04,8.25
2013-11-05,8.25
2013-11-06,8.25
2013-11-07,8.25
2013-11-08,8.25
2013-11-11,10.0
2013-11-12,8.75
2013-11-13,9.25
2013-11-14,6.25
2013-11-15,7.0
2013-11-18,7.5
2013-11-19,7.0
2013-11-20,8.5
2013-11-21,10.0
2013-11-22,10.75
2013-11-25,10.5
2013-11-26,10.25
2013-11-27,9.25
2013-11-29,10.5
2013-12-02,10.0
2013-12-03,8.75
2013-12-04,8.75
2013-12-05,8.0
2013-12-06,8.25
2013-12-09,9.5
2013-12-10,9.0
2013-12-11,8.5
2013-12-12,8.0
2013-12-13,8.25
2013-12-16,8.5
2013-12-17,8.0
2013-12-18,9.25
2013-12-19,9.0
2013-12-20,8.5
2013-12-23,8.75
2013-12-24,8.25
2013-12-26,8.5
2013-12-27,8.5
2013-12-30,8.5
2013-12-31,8.25
2014-01-02,8.0
2014-01-03,7.5
2014-01-06,8.75
2014-01-07,8.5
2014-01-08,8.5
2014-01-09,8.0
2014-01-10,7.75
2014-01-13,7.5
2014-01-14,7.5
2014-01-15,7.25
2014-01-16,7.5
2014-01-17,8.0
2014-01-21,7.0
2014-01-22,7.5
2014-01-23,7.5
2014-01-24,8.0
2014-01-27,8.25
2014-01-28,8.25
2014-01-29,7.5
2014-01-30,8.0
2014-01-31,8.5
2014-02-03,8.5
2014-02-04,8.0
2014-02-05,7.5
2014-02-06,7.5
2014-02-07,7.5
2014-02-10,7.25
2014-02-11,7.5
2014-02-12,7.5
2014-02-13,7.5
2014-02-14,7.75
2014-02-18,7.5
2014-02-19,7.25
