,CHKEW
2021-02-11,22.5
2021-02-12,23.059999465942383
2021-02-16,23.5
2021-02-17,23.5
2021-02-18,22.8799991607666
2021-02-19,23.100000381469727
2021-02-22,22.899999618530273
2021-02-23,22.5
2021-02-24,23.0
2021-02-25,21.299999237060547
2021-02-26,22.09000015258789
2021-03-01,22.0
2021-03-02,23.0
2021-03-03,23.700000762939453
2021-03-04,23.81999969482422
2021-03-05,22.700000762939453
2021-03-08,23.239999771118164
2021-03-09,23.979999542236328
2021-03-10,22.5
2021-03-11,22.0
2021-03-12,22.110000610351562
2021-03-15,22.1200008392334
2021-03-16,22.049999237060547
2021-03-17,22.0
2021-03-18,21.020000457763672
2021-03-19,20.5
2021-03-22,20.0
2021-03-23,19.809999465942383
2021-03-24,18.5
2021-03-25,19.649999618530273
2021-03-26,19.649999618530273
2021-03-29,19.649999618530273
2021-03-30,19.649999618530273
2021-03-31,19.649999618530273
2021-04-01,22.0
2021-04-05,22.0
2021-04-06,21.299999237060547
2021-04-07,21.299999237060547
2021-04-08,22.0
2021-04-09,22.0
2021-04-12,22.0
2021-04-13,21.559999465942383
2021-04-14,21.559999465942383
2021-04-15,23.27199935913086
2021-04-16,22.59000015258789
2021-04-19,22.59000015258789
2021-04-20,22.375
2021-04-21,22.75
2021-04-22,22.75
2021-04-23,23.59000015258789
2021-04-26,23.670000076293945
2021-04-27,23.389999389648438
2021-04-28,23.510000228881836
2021-04-29,23.0
2021-04-30,24.0
2021-05-03,24.0
2021-05-04,24.0
2021-05-05,23.889999389648438
2021-05-06,23.780000686645508
2021-05-07,25.0
2021-05-10,26.049999237060547
2021-05-11,26.200000762939453
2021-05-12,26.0
2021-05-13,26.5
2021-05-14,25.5
