,COVAU
2021-02-05,10.399999618530273
2021-02-08,10.550000190734863
2021-02-09,10.600000381469727
2021-02-10,10.59000015258789
2021-02-11,10.760000228881836
2021-02-12,10.819999694824219
2021-02-16,10.920000076293945
2021-02-17,10.789999961853027
2021-02-18,10.739999771118164
2021-02-19,10.850000381469727
2021-02-22,10.800000190734863
2021-02-23,10.600000381469727
2021-02-24,10.4399995803833
2021-02-25,10.34000015258789
2021-02-26,10.329999923706055
2021-03-01,10.25
2021-03-02,10.220000267028809
2021-03-03,10.140000343322754
2021-03-04,10.048999786376953
2021-03-05,10.109999656677246
2021-03-08,10.180000305175781
2021-03-09,10.149999618530273
2021-03-10,10.119999885559082
2021-03-11,10.1850004196167
2021-03-12,10.15999984741211
2021-03-15,10.199999809265137
2021-03-16,10.050000190734863
2021-03-17,10.020000457763672
2021-03-18,10.039999961853027
2021-03-19,9.979999542236328
2021-03-22,10.0
2021-03-23,9.930000305175781
2021-03-24,9.850000381469727
2021-03-25,9.899999618530273
2021-03-26,9.970000267028809
2021-03-29,9.960000038146973
2021-03-30,10.0
2021-03-31,9.949999809265137
2021-04-01,9.979999542236328
2021-04-05,9.979999542236328
2021-04-06,9.989999771118164
2021-04-07,10.0
2021-04-08,9.99899959564209
2021-04-09,10.024999618530273
2021-04-12,10.029999732971191
2021-04-13,10.020000457763672
2021-04-14,10.09000015258789
2021-04-15,10.09000015258789
2021-04-16,10.119999885559082
2021-04-19,10.079999923706055
2021-04-20,10.0
2021-04-21,10.020000457763672
2021-04-22,10.0
2021-04-23,10.010000228881836
2021-04-26,10.0
2021-04-27,9.979999542236328
2021-04-28,10.029999732971191
2021-04-29,10.0
2021-04-30,10.0
2021-05-03,9.989999771118164
2021-05-04,10.010000228881836
2021-05-05,10.0
2021-05-06,10.0
2021-05-07,9.989999771118164
2021-05-10,10.0
2021-05-11,9.989999771118164
2021-05-12,9.989999771118164
2021-05-13,9.960000038146973
2021-05-14,10.0
