,CHX
2018-04-27,38.0
2018-04-30,38.0
2018-05-01,37.5
2018-05-02,37.0
2018-05-03,34.75
2018-05-04,34.5
2018-05-07,35.75
2018-05-08,36.150001525878906
2018-05-09,40.90999984741211
2018-05-10,38.630001068115234
2018-05-11,38.04999923706055
2018-05-14,39.189998626708984
2018-05-15,40.0
2018-05-16,42.099998474121094
2018-05-17,43.900001525878906
2018-05-18,44.88999938964844
2018-05-21,44.5099983215332
2018-05-22,44.709999084472656
2018-05-23,44.54999923706055
2018-05-24,45.529998779296875
2018-05-25,43.9900016784668
2018-05-29,43.86000061035156
2018-05-30,43.779998779296875
2018-05-31,43.189998626708984
2018-06-01,41.25
2018-06-04,40.93000030517578
2018-06-05,39.90999984741211
2018-06-06,41.09000015258789
2018-06-07,42.25
2018-06-08,41.5099983215332
2018-06-11,42.08000183105469
2018-06-12,40.900001525878906
2018-06-13,39.869998931884766
2018-06-14,38.150001525878906
2018-06-15,37.54999923706055
2018-06-18,37.939998626708984
2018-06-19,37.779998779296875
2018-06-20,38.099998474121094
2018-06-21,36.93000030517578
2018-06-22,38.689998626708984
2018-06-25,37.810001373291016
2018-06-26,38.36000061035156
2018-06-27,39.41999816894531
2018-06-28,39.93000030517578
2018-06-29,41.75
2018-07-02,41.22999954223633
2018-07-03,40.27000045776367
2018-07-05,38.75
2018-07-06,39.529998779296875
2018-07-09,40.43000030517578
2018-07-10,40.900001525878906
2018-07-11,40.15999984741211
2018-07-12,40.470001220703125
2018-07-13,40.54999923706055
2018-07-16,37.959999084472656
2018-07-17,38.959999084472656
2018-07-18,38.5099983215332
2018-07-19,38.0099983215332
2018-07-20,37.54999923706055
2018-07-23,35.810001373291016
2018-07-24,35.939998626708984
2018-07-25,35.900001525878906
2018-07-26,39.13999938964844
2018-07-27,38.88999938964844
2018-07-30,40.31999969482422
2018-07-31,41.0
2018-08-01,40.04999923706055
2018-08-02,40.56999969482422
2018-08-03,40.470001220703125
2018-08-06,41.290000915527344
2018-08-07,42.45000076293945
2018-08-08,42.56999969482422
2018-08-09,42.34000015258789
2018-08-10,43.22999954223633
2018-08-13,42.5
2018-08-14,43.79999923706055
2018-08-15,41.61000061035156
2018-08-16,43.36000061035156
2018-08-17,43.150001525878906
2018-08-20,43.2599983215332
2018-08-21,43.75
2018-08-22,43.900001525878906
2018-08-23,43.45000076293945
2018-08-24,43.90999984741211
2018-08-27,43.86000061035156
2018-08-28,44.18000030517578
2018-08-29,45.27000045776367
2018-08-30,44.47999954223633
2018-08-31,45.220001220703125
2018-09-04,45.029998779296875
2018-09-05,44.58000183105469
2018-09-06,42.91999816894531
2018-09-07,43.58000183105469
2018-09-10,43.029998779296875
2018-09-11,43.86000061035156
2018-09-12,42.93000030517578
2018-09-13,42.2400016784668
2018-09-14,42.5099983215332
2018-09-17,43.29999923706055
2018-09-18,43.779998779296875
2018-09-19,43.849998474121094
2018-09-20,44.970001220703125
2018-09-21,44.47999954223633
2018-09-24,44.29999923706055
2018-09-25,44.790000915527344
2018-09-26,44.099998474121094
2018-09-27,44.029998779296875
2018-09-28,43.560001373291016
2018-10-01,43.7599983215332
2018-10-02,43.0099983215332
2018-10-03,44.81999969482422
2018-10-04,44.599998474121094
2018-10-05,45.16999816894531
2018-10-08,45.25
2018-10-09,45.41999816894531
2018-10-10,43.72999954223633
2018-10-11,42.86000061035156
2018-10-12,42.45000076293945
2018-10-15,43.220001220703125
2018-10-16,43.900001525878906
2018-10-17,42.790000915527344
2018-10-18,41.09000015258789
2018-10-19,40.689998626708984
2018-10-22,40.369998931884766
2018-10-23,38.65999984741211
2018-10-24,37.119998931884766
2018-10-25,38.470001220703125
2018-10-26,39.099998474121094
2018-10-29,37.81999969482422
2018-10-30,39.349998474121094
2018-10-31,38.9900016784668
2018-11-01,40.279998779296875
2018-11-02,41.5
2018-11-05,40.560001373291016
2018-11-06,40.369998931884766
2018-11-07,40.52000045776367
2018-11-08,38.91999816894531
2018-11-09,38.029998779296875
2018-11-12,37.72999954223633
2018-11-13,36.189998626708984
2018-11-14,36.189998626708984
2018-11-15,36.619998931884766
2018-11-16,37.459999084472656
2018-11-19,37.900001525878906
2018-11-20,36.040000915527344
2018-11-21,36.7599983215332
2018-11-23,34.90999984741211
2018-11-26,34.220001220703125
2018-11-27,34.060001373291016
2018-11-28,34.880001068115234
2018-11-29,35.060001373291016
2018-11-30,34.279998779296875
2018-12-03,34.7400016784668
2018-12-04,33.11000061035156
2018-12-06,32.189998626708984
2018-12-07,32.310001373291016
2018-12-10,30.389999389648438
2018-12-11,30.670000076293945
2018-12-12,31.559999465942383
2018-12-13,31.59000015258789
2018-12-14,31.34000015258789
2018-12-17,29.68000030517578
2018-12-18,30.6200008392334
2018-12-19,29.469999313354492
2018-12-20,29.18000030517578
2018-12-21,27.489999771118164
2018-12-24,26.610000610351562
2018-12-26,27.959999084472656
2018-12-27,27.600000381469727
2018-12-28,27.360000610351562
2018-12-31,27.079999923706055
2019-01-02,27.940000534057617
2019-01-03,28.25
2019-01-04,31.049999237060547
2019-01-07,31.989999771118164
2019-01-08,32.709999084472656
2019-01-09,32.150001525878906
2019-01-10,31.6299991607666
2019-01-11,31.360000610351562
2019-01-14,31.5
2019-01-15,31.469999313354492
2019-01-16,32.119998931884766
2019-01-17,32.720001220703125
2019-01-18,33.97999954223633
2019-01-22,33.619998931884766
2019-01-23,33.18000030517578
2019-01-24,33.970001220703125
2019-01-25,34.11000061035156
2019-01-28,33.9900016784668
2019-01-29,33.63999938964844
2019-01-30,34.47999954223633
2019-01-31,33.619998931884766
2019-02-01,34.650001525878906
