,BPTS
2021-02-10,16.5
2021-02-11,16.75
2021-02-12,17.020000457763672
2021-02-16,15.529999732971191
2021-02-17,15.300000190734863
2021-02-18,14.539999961853027
2021-02-19,15.359999656677246
2021-02-22,15.75
2021-02-23,15.359999656677246
2021-02-24,15.960000038146973
2021-02-25,16.43000030517578
2021-02-26,16.5
2021-03-01,15.960000038146973
2021-03-02,15.5
2021-03-03,14.657999992370605
2021-03-04,14.600000381469727
2021-03-05,14.416000366210938
2021-03-08,14.043000221252441
2021-03-09,15.128999710083008
2021-03-10,14.845000267028809
2021-03-11,14.850000381469727
2021-03-12,14.600000381469727
2021-03-15,14.609999656677246
2021-03-16,14.600000381469727
2021-03-17,16.149999618530273
2021-03-18,15.65999984741211
2021-03-19,16.118999481201172
2021-03-22,15.1899995803833
2021-03-23,14.050000190734863
2021-03-24,13.510000228881836
2021-03-25,13.020000457763672
2021-03-26,12.800000190734863
2021-03-29,12.97599983215332
2021-03-30,12.970000267028809
2021-03-31,12.800000190734863
2021-04-01,13.270000457763672
2021-04-05,15.210000038146973
2021-04-06,15.210000038146973
2021-04-07,15.210000038146973
2021-04-08,15.210000038146973
2021-04-09,15.210000038146973
2021-04-12,11.786999702453613
2021-04-13,13.920000076293945
2021-04-14,12.510000228881836
2021-04-15,12.699999809265137
2021-04-16,12.140000343322754
2021-04-19,13.75
2021-04-20,12.619999885559082
2021-04-21,13.0
2021-04-22,13.800000190734863
2021-04-23,13.800000190734863
2021-04-26,15.0
2021-04-27,15.0
2021-04-28,13.5
2021-04-29,13.5
2021-04-30,13.0
2021-05-03,12.90999984741211
2021-05-04,12.90999984741211
2021-05-05,12.90999984741211
2021-05-06,13.097000122070312
2021-05-07,13.010000228881836
2021-05-10,13.0
2021-05-11,12.699999809265137
2021-05-12,12.699999809265137
2021-05-13,12.699999809265137
2021-05-14,12.699999809265137
