,AGNG
2016-05-10,15.390000343322754
2016-05-11,15.390000343322754
2016-05-12,15.178999900817871
2016-05-13,15.178999900817871
2016-05-16,15.178999900817871
2016-05-17,15.260000228881836
2016-05-18,15.180000305175781
2016-05-19,15.0
2016-05-20,15.0
2016-05-23,15.0
2016-05-24,15.0
2016-05-25,15.0
2016-05-26,15.0
2016-05-27,15.65999984741211
2016-05-31,15.706999778747559
2016-06-01,15.779999732971191
2016-06-02,15.779999732971191
2016-06-03,15.9399995803833
2016-06-06,16.040000915527344
2016-06-07,15.970000267028809
2016-06-08,15.970000267028809
2016-06-09,15.970000267028809
2016-06-10,15.572999954223633
2016-06-13,15.572999954223633
2016-06-14,15.369999885559082
2016-06-15,15.369999885559082
2016-06-16,15.369999885559082
2016-06-17,15.300000190734863
2016-06-20,15.300000190734863
2016-06-21,15.40999984741211
2016-06-22,15.40999984741211
2016-06-23,15.40999984741211
2016-06-24,15.40999984741211
2016-06-27,15.40999984741211
2016-06-28,15.40999984741211
2016-06-29,15.40999984741211
2016-06-30,15.40999984741211
2016-07-01,15.40999984741211
2016-07-05,15.40999984741211
2016-07-06,15.40999984741211
2016-07-07,15.40999984741211
2016-07-08,15.40999984741211
2016-07-11,15.40999984741211
2016-07-12,15.40999984741211
2016-07-13,15.40999984741211
2016-07-14,15.40999984741211
2016-07-15,15.40999984741211
2016-07-18,15.40999984741211
2016-07-19,15.40999984741211
2016-07-20,15.40999984741211
2016-07-21,15.40999984741211
2016-07-22,15.40999984741211
2016-07-25,15.40999984741211
2016-07-26,15.40999984741211
2016-07-27,15.40999984741211
2016-07-28,15.40999984741211
2016-07-29,15.40999984741211
2016-08-01,15.40999984741211
2016-08-02,15.40999984741211
2016-08-03,15.40999984741211
2016-08-04,15.40999984741211
2016-08-05,16.864999771118164
2016-08-08,16.864999771118164
2016-08-09,16.864999771118164
2016-08-10,16.766000747680664
2016-08-11,16.766000747680664
2016-08-12,16.850000381469727
2016-08-15,16.850000381469727
2016-08-16,16.850000381469727
2016-08-17,16.850000381469727
2016-08-18,16.700000762939453
2016-08-19,16.700000762939453
2016-08-22,16.700000762939453
2016-08-23,16.700000762939453
2016-08-24,16.700000762939453
2016-08-25,16.600000381469727
2016-08-26,16.559999465942383
2016-08-29,16.6200008392334
2016-08-30,16.6200008392334
2016-08-31,16.6200008392334
2016-09-01,16.43000030517578
2016-09-02,16.43000030517578
2016-09-06,16.43000030517578
2016-09-07,16.43000030517578
2016-09-08,16.43000030517578
2016-09-09,16.34000015258789
2016-09-12,16.34000015258789
2016-09-13,16.34000015258789
2016-09-14,16.34000015258789
2016-09-15,16.34000015258789
2016-09-16,16.520000457763672
2016-09-19,16.579999923706055
2016-09-20,16.579999923706055
2016-09-21,16.579999923706055
2016-09-22,16.579999923706055
2016-09-23,16.579999923706055
2016-09-26,16.579999923706055
2016-09-27,16.579999923706055
2016-09-28,16.816999435424805
2016-09-29,16.816999435424805
2016-09-30,16.816999435424805
2016-10-03,16.816999435424805
2016-10-04,16.816999435424805
2016-10-05,16.816999435424805
2016-10-06,16.280000686645508
2016-10-07,16.239999771118164
2016-10-10,16.239999771118164
2016-10-11,16.239999771118164
2016-10-12,16.239999771118164
2016-10-13,16.239999771118164
2016-10-14,16.239999771118164
2016-10-17,15.619999885559082
2016-10-18,15.619999885559082
2016-10-19,15.789999961853027
2016-10-20,15.789999961853027
2016-10-21,15.789999961853027
2016-10-24,15.789999961853027
2016-10-25,15.789999961853027
2016-10-26,15.789999961853027
2016-10-27,15.305000305175781
2016-10-28,15.305000305175781
2016-10-31,15.020000457763672
2016-11-01,15.020000457763672
2016-11-02,15.020000457763672
2016-11-03,14.906999588012695
2016-11-04,14.906999588012695
2016-11-07,14.906999588012695
2016-11-08,14.906999588012695
2016-11-09,14.906999588012695
2016-11-10,14.906999588012695
2016-11-11,14.906999588012695
2016-11-14,15.569999694824219
2016-11-15,15.569999694824219
2016-11-16,15.569999694824219
2016-11-17,15.569999694824219
2016-11-18,15.555000305175781
2016-11-21,15.555000305175781
2016-11-22,15.555000305175781
2016-11-23,15.265000343322754
2016-11-25,15.265000343322754
2016-11-28,15.265000343322754
2016-11-29,15.265000343322754
2016-11-30,15.265000343322754
2016-12-01,15.265000343322754
2016-12-02,15.265000343322754
2016-12-05,15.265000343322754
2016-12-06,15.265000343322754
2016-12-07,15.144000053405762
2016-12-08,15.144000053405762
2016-12-09,15.144000053405762
2016-12-12,15.144000053405762
2016-12-13,15.144000053405762
2016-12-14,15.144000053405762
2016-12-15,15.144000053405762
2016-12-16,15.144000053405762
2016-12-19,15.144000053405762
2016-12-20,15.144000053405762
2016-12-21,15.144000053405762
2016-12-22,15.140000343322754
2016-12-23,15.140000343322754
2016-12-27,15.140000343322754
2016-12-28,15.331999778747559
2016-12-29,15.331999778747559
2016-12-30,15.331999778747559
2017-01-03,15.331999778747559
2017-01-04,15.331999778747559
2017-01-05,15.331999778747559
2017-01-06,15.331999778747559
2017-01-09,15.331999778747559
2017-01-10,15.331999778747559
2017-01-11,15.331999778747559
2017-01-12,15.331999778747559
2017-01-13,15.331999778747559
2017-01-17,15.331999778747559
2017-01-18,15.331999778747559
2017-01-19,15.331999778747559
2017-01-20,15.331999778747559
2017-01-23,15.779999732971191
2017-01-24,15.57699966430664
2017-01-25,15.57699966430664
2017-01-26,15.57699966430664
2017-01-27,15.57699966430664
2017-01-30,15.670000076293945
2017-01-31,15.670000076293945
2017-02-01,15.902999877929688
2017-02-02,15.902999877929688
2017-02-03,16.049999237060547
