,BMRC
1999-12-23,5.720984935760498
1999-12-27,5.720984935760498
1999-12-28,5.720984935760498
1999-12-29,5.720984935760498
1999-12-30,6.218461990356445
1999-12-31,6.218461990356445
2000-01-03,6.218461990356445
2000-01-04,6.218461990356445
2000-01-05,6.094091892242432
2000-01-06,5.969723224639893
2000-01-07,5.752077102661133
2000-01-10,5.752077102661133
2000-01-11,5.720984935760498
2000-01-12,5.845354080200195
2000-01-13,5.845354080200195
2000-01-14,5.845354080200195
2000-01-18,5.907538890838623
2000-01-19,5.907538890838623
2000-01-20,5.907538890838623
2000-01-21,5.845354080200195
2000-01-24,5.845354080200195
2000-01-25,5.720984935760498
2000-01-26,5.720984935760498
2000-01-27,5.720984935760498
2000-01-28,5.720984935760498
2000-01-31,5.720984935760498
2000-02-01,5.720984935760498
2000-02-02,5.720984935760498
2000-02-03,5.752077102661133
2000-02-04,5.596614837646484
2000-02-07,5.596614837646484
2000-02-08,5.596614837646484
2000-02-09,5.65880012512207
2000-02-10,5.6277079582214355
2000-02-11,5.565523147583008
2000-02-14,5.565523147583008
2000-02-15,5.565523147583008
2000-02-16,5.565523147583008
2000-02-17,5.565523147583008
2000-02-18,5.534430980682373
2000-02-22,5.596614837646484
2000-02-23,5.410061836242676
2000-02-24,5.223507881164551
2000-02-25,5.223507881164551
2000-02-28,5.161323070526123
2000-02-29,5.161323070526123
2000-03-01,5.161323070526123
2000-03-02,5.099139213562012
2000-03-03,5.099139213562012
2000-03-06,5.28569221496582
2000-03-07,5.28569221496582
2000-03-08,5.28569221496582
2000-03-09,5.347877025604248
2000-03-10,5.347877025604248
2000-03-13,5.472246170043945
2000-03-14,5.347877025604248
2000-03-15,5.28569221496582
2000-03-16,5.472246170043945
2000-03-17,5.472246170043945
2000-03-20,5.472246170043945
2000-03-21,5.472246170043945
2000-03-22,5.28569221496582
2000-03-23,5.099139213562012
2000-03-24,5.099139213562012
2000-03-27,5.161323070526123
2000-03-28,5.2546000480651855
2000-03-29,5.2546000480651855
2000-03-30,5.2546000480651855
2000-03-31,5.2546000480651855
2000-04-03,5.2546000480651855
2000-04-04,5.2546000480651855
2000-04-05,5.223507881164551
