,CSTR
2016-09-22,15.899999618530273
2016-09-23,16.250999450683594
2016-09-26,16.280000686645508
2016-09-27,16.350000381469727
2016-09-28,17.0
2016-09-29,16.950000762939453
2016-09-30,16.920000076293945
2016-10-03,17.3700008392334
2016-10-04,17.25
2016-10-05,17.700000762939453
2016-10-06,17.979999542236328
2016-10-07,17.90999984741211
2016-10-10,18.0
2016-10-11,17.989999771118164
2016-10-12,17.860000610351562
2016-10-13,17.700000762939453
2016-10-14,17.729999542236328
2016-10-17,17.549999237060547
2016-10-18,17.649999618530273
2016-10-19,17.649999618530273
2016-10-20,17.719999313354492
2016-10-21,17.649999618530273
2016-10-24,17.719999313354492
2016-10-25,17.7450008392334
2016-10-26,17.719999313354492
2016-10-27,17.399999618530273
2016-10-28,17.09000015258789
2016-10-31,17.0
2016-11-01,16.889999389648438
2016-11-02,16.68000030517578
2016-11-03,16.34000015258789
2016-11-04,16.020000457763672
2016-11-07,16.18000030517578
2016-11-08,15.899999618530273
2016-11-09,16.719999313354492
2016-11-10,17.780000686645508
2016-11-11,17.5
2016-11-14,17.594999313354492
2016-11-15,17.600000381469727
2016-11-16,17.209999084472656
2016-11-17,17.5
2016-11-18,17.510000228881836
2016-11-21,17.632999420166016
2016-11-22,18.899999618530273
2016-11-23,18.329999923706055
2016-11-25,18.860000610351562
2016-11-28,19.40999984741211
2016-11-29,19.18000030517578
2016-11-30,19.299999237060547
2016-12-01,20.0
2016-12-02,19.860000610351562
2016-12-05,19.954999923706055
2016-12-06,19.93000030517578
2016-12-07,20.100000381469727
2016-12-08,19.700000762939453
2016-12-09,19.875
2016-12-12,20.200000762939453
2016-12-13,20.229999542236328
2016-12-14,19.950000762939453
2016-12-15,19.700000762939453
2016-12-16,19.530000686645508
2016-12-19,19.959999084472656
2016-12-20,20.469999313354492
2016-12-21,20.799999237060547
2016-12-22,21.18000030517578
2016-12-23,21.239999771118164
2016-12-27,21.84000015258789
2016-12-28,22.030000686645508
2016-12-29,21.549999237060547
2016-12-30,21.959999084472656
2017-01-03,20.760000228881836
2017-01-04,20.0
2017-01-05,19.90999984741211
2017-01-06,20.030000686645508
2017-01-09,20.0
2017-01-10,19.989999771118164
2017-01-11,20.030000686645508
2017-01-12,19.770000457763672
2017-01-13,19.979999542236328
2017-01-17,19.5
2017-01-18,19.290000915527344
2017-01-19,18.989999771118164
2017-01-20,19.0
2017-01-23,19.100000381469727
2017-01-24,19.56999969482422
2017-01-25,20.0
2017-01-26,19.979999542236328
2017-01-27,19.940000534057617
2017-01-30,19.969999313354492
2017-01-31,20.899999618530273
2017-02-01,20.290000915527344
2017-02-02,19.75
2017-02-03,19.950000762939453
2017-02-06,19.899999618530273
