,HIK
2010-05-27,13.819999694824219
2010-05-28,
2010-06-01,
2010-06-02,
2010-06-03,
2010-06-04,
2010-06-07,20.093000411987305
2010-06-08,19.91200065612793
2010-06-09,19.882999420166016
2010-06-10,19.926000595092773
2010-06-11,19.459999084472656
2010-06-14,20.597999572753906
2010-06-15,20.408000946044922
2010-06-16,19.6560001373291
2010-06-17,20.187000274658203
2010-06-18,
2010-06-21,20.194000244140625
2010-06-22,20.4689998626709
2010-06-23,20.700000762939453
2010-06-24,20.95400047302246
2010-06-25,
2010-06-28,21.268999099731445
2010-06-29,21.44300079345703
2010-06-30,21.347000122070312
2010-07-01,12.84000015258789
2010-07-02,
2010-07-06,21.31599998474121
2010-07-07,21.229999542236328
2010-07-08,21.576000213623047
2010-07-09,
2010-07-12,21.576000213623047
2010-07-13,21.576000213623047
2010-07-14,
2010-07-15,21.576000213623047
2010-07-16,
2010-07-19,21.576000213623047
2010-07-20,12.010000228881836
2010-07-21,21.576000213623047
2010-07-22,21.576000213623047
2010-07-23,
2010-07-26,21.576000213623047
2010-07-27,21.576000213623047
2010-07-28,21.576000213623047
2010-07-29,21.576000213623047
2010-07-30,
2010-08-02,21.576000213623047
2010-08-03,21.576000213623047
2010-08-04,21.576000213623047
2010-08-05,21.576000213623047
2010-08-06,
2010-08-09,21.576000213623047
2010-08-10,21.576000213623047
2010-08-11,21.576000213623047
2010-08-12,21.576000213623047
2010-08-13,
2010-08-16,21.576000213623047
2010-08-17,21.576000213623047
2010-08-18,21.576000213623047
2010-08-19,21.576000213623047
2010-08-20,
2010-08-23,21.576000213623047
2010-08-24,21.576000213623047
2010-08-25,21.576000213623047
2010-08-26,21.576000213623047
2010-08-27,
2010-08-30,21.576000213623047
2010-08-31,21.576000213623047
2010-09-01,21.576000213623047
2010-09-02,21.576000213623047
2010-09-03,
2010-09-07,14.529999732971191
2010-09-08,
2010-09-09,
2010-09-10,
2010-09-13,21.576000213623047
2010-09-14,21.576000213623047
2010-09-15,21.576000213623047
2010-09-16,
2010-09-17,
2010-09-20,14.755000114440918
2010-09-21,
2010-09-22,21.576000213623047
2010-09-23,21.576000213623047
2010-09-24,
2010-09-27,21.576000213623047
2010-09-28,21.576000213623047
2010-09-29,
2010-09-30,
2010-10-01,
2010-10-04,21.576000213623047
2010-10-05,21.576000213623047
