,CVET
2019-02-06,46.189998626708984
2019-02-07,43.04999923706055
2019-02-08,41.0099983215332
2019-02-11,37.560001373291016
2019-02-12,36.81999969482422
2019-02-13,37.7400016784668
2019-02-14,36.560001373291016
2019-02-15,36.54999923706055
2019-02-19,39.349998474121094
2019-02-20,35.09000015258789
2019-02-21,35.45000076293945
2019-02-22,37.189998626708984
2019-02-25,39.11000061035156
2019-02-26,39.90999984741211
2019-02-27,37.470001220703125
2019-02-28,35.779998779296875
2019-03-01,36.22999954223633
2019-03-04,34.540000915527344
2019-03-05,35.099998474121094
2019-03-06,34.150001525878906
2019-03-07,32.349998474121094
2019-03-08,33.40999984741211
2019-03-11,34.0099983215332
2019-03-12,33.970001220703125
2019-03-13,34.810001373291016
2019-03-14,35.88999938964844
2019-03-15,34.459999084472656
2019-03-18,34.22999954223633
2019-03-19,34.77000045776367
2019-03-20,35.060001373291016
2019-03-21,36.060001373291016
2019-03-22,34.779998779296875
2019-03-25,33.56999969482422
2019-03-26,33.5099983215332
2019-03-27,32.38999938964844
2019-03-28,31.520000457763672
2019-03-29,31.850000381469727
2019-04-01,32.349998474121094
2019-04-02,32.45000076293945
2019-04-03,32.22999954223633
2019-04-04,32.22999954223633
2019-04-05,33.150001525878906
2019-04-08,32.65999984741211
2019-04-09,32.54999923706055
2019-04-10,32.0
2019-04-11,32.47999954223633
2019-04-12,32.650001525878906
2019-04-15,32.79999923706055
2019-04-16,32.650001525878906
2019-04-17,32.959999084472656
2019-04-18,32.650001525878906
2019-04-22,32.4900016784668
2019-04-23,33.040000915527344
2019-04-24,32.83000183105469
2019-04-25,32.9900016784668
2019-04-26,32.97999954223633
2019-04-29,32.959999084472656
2019-04-30,32.869998931884766
2019-05-01,32.84000015258789
2019-05-02,32.97999954223633
2019-05-03,33.27000045776367
2019-05-06,33.02000045776367
2019-05-07,32.16999816894531
2019-05-08,30.530000686645508
2019-05-09,29.889999389648438
2019-05-10,28.3700008392334
2019-05-13,27.450000762939453
2019-05-14,29.15999984741211
2019-05-15,29.280000686645508
2019-05-16,28.31999969482422
2019-05-17,28.690000534057617
2019-05-20,28.1200008392334
2019-05-21,28.049999237060547
2019-05-22,27.350000381469727
2019-05-23,25.829999923706055
2019-05-24,26.1299991607666
2019-05-28,25.649999618530273
2019-05-29,25.989999771118164
2019-05-30,25.200000762939453
2019-05-31,24.65999984741211
2019-06-03,25.25
2019-06-04,26.079999923706055
2019-06-05,25.809999465942383
2019-06-06,25.6299991607666
2019-06-07,25.799999237060547
2019-06-10,25.510000228881836
2019-06-11,25.219999313354492
2019-06-12,24.969999313354492
2019-06-13,25.229999542236328
2019-06-14,25.010000228881836
2019-06-17,24.440000534057617
2019-06-18,25.469999313354492
2019-06-19,25.239999771118164
2019-06-20,24.739999771118164
2019-06-21,23.649999618530273
2019-06-24,23.549999237060547
2019-06-25,23.489999771118164
2019-06-26,22.8799991607666
2019-06-27,23.799999237060547
2019-06-28,24.459999084472656
2019-07-01,24.600000381469727
2019-07-02,24.68000030517578
2019-07-03,24.729999542236328
2019-07-05,25.020000457763672
2019-07-08,24.260000228881836
2019-07-09,23.989999771118164
2019-07-10,24.260000228881836
2019-07-11,25.020000457763672
2019-07-12,25.020000457763672
2019-07-15,25.56999969482422
2019-07-16,25.329999923706055
2019-07-17,24.950000762939453
2019-07-18,25.459999084472656
2019-07-19,24.719999313354492
2019-07-22,23.989999771118164
2019-07-23,23.979999542236328
2019-07-24,24.110000610351562
2019-07-25,23.719999313354492
2019-07-26,23.479999542236328
2019-07-29,23.309999465942383
2019-07-30,23.729999542236328
2019-07-31,23.670000076293945
2019-08-01,23.889999389648438
2019-08-02,23.270000457763672
2019-08-05,23.31999969482422
2019-08-06,24.239999771118164
2019-08-07,23.40999984741211
2019-08-08,23.979999542236328
2019-08-09,23.81999969482422
2019-08-12,23.190000534057617
2019-08-13,13.890000343322754
2019-08-14,12.350000381469727
2019-08-15,15.119999885559082
2019-08-16,14.850000381469727
2019-08-19,15.020000457763672
2019-08-20,14.84000015258789
2019-08-21,13.800000190734863
2019-08-22,14.510000228881836
2019-08-23,14.050000190734863
2019-08-26,14.029999732971191
2019-08-27,13.010000228881836
2019-08-28,13.029999732971191
2019-08-29,13.1899995803833
2019-08-30,13.289999961853027
2019-09-03,13.460000038146973
2019-09-04,13.5
2019-09-05,13.699999809265137
2019-09-06,13.359999656677246
2019-09-09,13.199999809265137
2019-09-10,14.90999984741211
2019-09-11,14.979999542236328
2019-09-12,14.4399995803833
2019-09-13,13.890000343322754
2019-09-16,13.779999732971191
2019-09-17,13.279999732971191
2019-09-18,12.8100004196167
2019-09-19,12.75
2019-09-20,12.270000457763672
2019-09-23,12.850000381469727
2019-09-24,12.510000228881836
2019-09-25,11.899999618530273
2019-09-26,11.800000190734863
2019-09-27,11.755000114440918
2019-09-30,11.890000343322754
2019-10-01,11.880000114440918
2019-10-02,11.484999656677246
2019-10-03,11.46500015258789
2019-10-04,11.0
2019-10-07,11.1899995803833
2019-10-08,10.885000228881836
2019-10-09,11.100000381469727
2019-10-10,11.25
2019-10-11,11.319999694824219
2019-10-14,10.84000015258789
2019-10-15,11.100000381469727
2019-10-16,10.880000114440918
2019-10-17,10.649999618530273
2019-10-18,10.140000343322754
2019-10-21,10.119999885559082
2019-10-22,9.460000038146973
2019-10-23,9.010000228881836
2019-10-24,8.800000190734863
2019-10-25,8.84000015258789
2019-10-28,8.859999656677246
2019-10-29,8.84000015258789
2019-10-30,9.289999961853027
2019-10-31,9.914999961853027
2019-11-01,10.100000381469727
2019-11-04,10.460000038146973
2019-11-05,10.430000305175781
2019-11-06,10.15999984741211
2019-11-07,10.074999809265137
2019-11-08,10.194999694824219
2019-11-11,10.050000190734863
2019-11-12,12.260000228881836
2019-11-13,13.6899995803833
2019-11-14,13.479999542236328
2019-11-15,14.930000305175781
2019-11-18,14.529999732971191
2019-11-19,14.75
2019-11-20,13.930000305175781
2019-11-21,14.114999771118164
2019-11-22,14.359999656677246
2019-11-25,14.420000076293945
2019-11-26,13.539999961853027
2019-11-27,14.210000038146973
2019-11-29,14.3100004196167
2019-12-02,13.710000038146973
2019-12-03,13.989999771118164
2019-12-04,13.680000305175781
2019-12-05,13.779999732971191
2019-12-06,14.529999732971191
2019-12-09,13.800000190734863
2019-12-10,13.550000190734863
2019-12-11,13.5
