,AMCA
2017-08-11,24.674999237060547
2017-08-14,24.89900016784668
2017-08-15,24.827999114990234
2017-08-16,24.829999923706055
2017-08-17,24.569000244140625
2017-08-18,24.53700065612793
2017-08-21,24.549999237060547
2017-08-22,24.549999237060547
2017-08-23,24.694000244140625
2017-08-24,24.694000244140625
2017-08-25,24.739999771118164
2017-08-28,24.639999389648438
2017-08-29,24.639999389648438
2017-08-30,24.729999542236328
2017-08-31,24.729999542236328
2017-09-01,24.729999542236328
2017-09-05,24.729999542236328
2017-09-06,24.729999542236328
2017-09-07,24.729999542236328
2017-09-08,24.729999542236328
2017-09-11,24.729999542236328
2017-09-12,24.825000762939453
2017-09-13,24.899999618530273
2017-09-14,24.934999465942383
2017-09-15,24.940000534057617
2017-09-18,25.0
2017-09-19,25.0
2017-09-20,25.0
2017-09-21,25.0
2017-09-22,25.010000228881836
2017-09-25,25.010000228881836
2017-09-26,25.010000228881836
2017-09-27,25.229999542236328
2017-09-28,25.239999771118164
2017-09-29,25.239999771118164
2017-10-02,25.389999389648438
2017-10-03,25.389999389648438
2017-10-04,25.389999389648438
2017-10-05,25.6299991607666
2017-10-06,25.549999237060547
2017-10-09,25.549999237060547
2017-10-10,25.510000228881836
2017-10-11,25.510000228881836
2017-10-12,25.510000228881836
2017-10-13,25.364999771118164
2017-10-16,25.347999572753906
2017-10-17,25.349000930786133
2017-10-18,25.450000762939453
2017-10-19,25.450000762939453
2017-10-20,25.450000762939453
2017-10-23,25.670000076293945
2017-10-24,25.670000076293945
2017-10-25,25.459999084472656
2017-10-26,25.459999084472656
2017-10-27,25.469999313354492
2017-10-30,25.469999313354492
2017-10-31,25.579999923706055
2017-11-01,25.579999923706055
2017-11-02,25.579999923706055
2017-11-03,25.68000030517578
2017-11-06,25.68000030517578
2017-11-07,25.68000030517578
2017-11-08,25.5
2017-11-09,25.5
2017-11-10,25.5
2017-11-13,25.559999465942383
2017-11-14,25.559999465942383
2017-11-15,25.739999771118164
2017-11-16,25.739999771118164
2017-11-17,25.690000534057617
2017-11-20,25.690000534057617
2017-11-21,25.690000534057617
2017-11-22,25.690000534057617
2017-11-24,25.690000534057617
2017-11-27,25.690000534057617
2017-11-28,25.84000015258789
2017-11-29,26.18000030517578
2017-11-30,26.600000381469727
2017-12-01,26.40999984741211
2017-12-04,27.110000610351562
2017-12-05,26.93000030517578
2017-12-06,26.760000228881836
2017-12-07,26.81999969482422
2017-12-08,27.0
2017-12-11,27.0
2017-12-12,27.1299991607666
2017-12-13,27.139999389648438
2017-12-14,26.884000778198242
2017-12-15,27.030000686645508
2017-12-18,27.229999542236328
2017-12-19,27.34000015258789
2017-12-20,27.184999465942383
2017-12-21,27.239999771118164
2017-12-22,27.239999771118164
2017-12-26,27.285999298095703
2017-12-27,27.239999771118164
2017-12-28,27.239999771118164
2017-12-29,27.360000610351562
2018-01-02,27.309999465942383
2018-01-03,27.34000015258789
2018-01-04,27.420000076293945
2018-01-05,27.447999954223633
2018-01-08,27.600000381469727
2018-01-09,27.649999618530273
2018-01-10,27.649999618530273
2018-01-11,27.729999542236328
2018-01-12,27.820999145507812
2018-01-16,27.889999389648438
2018-01-17,27.989999771118164
2018-01-18,28.020000457763672
2018-01-19,28.079999923706055
2018-01-22,28.31800079345703
2018-01-23,28.385000228881836
2018-01-24,28.299999237060547
2018-01-25,28.354999542236328
2018-01-26,28.34000015258789
2018-01-29,28.530000686645508
2018-01-30,28.18000030517578
2018-01-31,28.059999465942383
2018-02-01,28.030000686645508
2018-02-02,27.56999969482422
2018-02-05,26.86400032043457
2018-02-06,26.34000015258789
2018-02-07,26.8700008392334
2018-02-08,25.950000762939453
2018-02-09,25.729999542236328
2018-02-12,26.270000457763672
2018-02-13,26.295000076293945
2018-02-14,26.795000076293945
2018-02-15,26.989999771118164
2018-02-16,27.09000015258789
2018-02-20,26.899999618530273
2018-02-21,26.976999282836914
2018-02-22,26.976999282836914
2018-02-23,26.889999389648438
2018-02-26,27.170000076293945
2018-02-27,27.329999923706055
2018-02-28,26.920000076293945
2018-03-01,26.450000762939453
2018-03-02,26.450000762939453
2018-03-05,26.450000762939453
2018-03-06,26.875
2018-03-07,26.679000854492188
2018-03-08,26.679000854492188
2018-03-09,27.15999984741211
2018-03-12,27.152000427246094
2018-03-13,27.08300018310547
2018-03-14,27.030000686645508
2018-03-15,26.950000762939453
2018-03-16,26.950000762939453
2018-03-19,26.6299991607666
2018-03-20,26.68000030517578
2018-03-21,26.68000030517578
2018-03-22,26.68000030517578
2018-03-23,25.94499969482422
2018-03-26,25.697999954223633
2018-03-27,25.969999313354492
2018-03-28,25.969999313354492
2018-03-29,26.0
2018-04-02,26.0
2018-04-03,26.0
2018-04-04,26.100000381469727
2018-04-05,26.260000228881836
2018-04-06,26.260000228881836
