,MNG
2008-05-22,72.63999938964844
2008-05-23,70.95999908447266
2008-05-27,70.63999938964844
2008-05-28,71.69000244140625
2008-05-29,69.9800033569336
2008-05-30,70.66999816894531
2008-06-02,71.23999786376953
2008-06-03,70.8499984741211
2008-06-04,70.30000305175781
2008-06-05,72.91999816894531
2008-06-06,72.51000213623047
2008-06-09,74.41000366210938
2008-06-10,73.11000061035156
2008-06-11,73.4800033569336
2008-06-12,72.52999877929688
2008-06-13,72.91999816894531
2008-06-16,73.1500015258789
2008-06-17,74.87000274658203
2008-06-18,75.12000274658203
2008-06-19,73.44000244140625
2008-06-20,73.16000366210938
2008-06-23,76.11000061035156
2008-06-24,74.16999816894531
2008-06-25,73.37000274658203
2008-06-26,72.73999786376953
2008-06-27,73.58000183105469
2008-06-30,74.94999694824219
2008-07-01,75.72000122070312
2008-07-02,73.58999633789062
2008-07-03,71.61000061035156
2008-07-07,69.12000274658203
2008-07-08,68.2699966430664
2008-07-09,66.5
2008-07-10,68.68000030517578
2008-07-11,69.0199966430664
2008-07-14,69.22000122070312
2008-07-15,66.26000213623047
2008-07-16,64.83999633789062
2008-07-17,62.33000183105469
2008-07-18,62.91999816894531
2008-07-21,64.87999725341797
2008-07-22,62.2599983215332
2008-07-23,59.5099983215332
2008-07-24,59.400001525878906
2008-07-25,59.369998931884766
2008-07-28,59.290000915527344
2008-07-29,58.040000915527344
2008-07-30,60.720001220703125
2008-07-31,59.380001068115234
2008-08-01,59.060001373291016
2008-08-04,56.040000915527344
2008-08-05,56.45000076293945
2008-08-06,57.900001525878906
2008-08-07,56.630001068115234
2008-08-08,55.310001373291016
2008-08-11,55.7599983215332
2008-08-12,55.97999954223633
2008-08-13,58.02000045776367
2008-08-14,57.36000061035156
2008-08-15,56.650001525878906
2008-08-18,56.150001525878906
2008-08-19,58.09000015258789
2008-08-20,60.040000915527344
2008-08-21,60.529998779296875
2008-08-22,59.13999938964844
2008-08-25,58.959999084472656
2008-08-26,60.869998931884766
2008-08-27,61.70000076293945
2008-08-28,60.7599983215332
2008-08-29,60.04999923706055
2008-09-02,56.90999984741211
2008-09-03,56.54999923706055
2008-09-04,56.20000076293945
2008-09-05,56.150001525878906
2008-09-08,55.099998474121094
2008-09-09,51.15999984741211
2008-09-10,53.290000915527344
2008-09-11,53.9900016784668
2008-09-12,55.689998626708984
2008-09-15,51.93000030517578
2008-09-16,53.5
2008-09-17,52.09000015258789
2008-09-18,53.83000183105469
2008-09-19,57.4900016784668
2008-09-22,55.93000030517578
2008-09-23,54.95000076293945
2008-09-24,54.66999816894531
2008-09-25,55.630001068115234
2008-09-26,53.959999084472656
2008-09-29,47.47999954223633
2008-09-30,50.52000045776367
2008-10-01,49.66999816894531
2008-10-02,45.810001373291016
2008-10-03,45.65999984741211
2008-10-06,42.959999084472656
2008-10-07,39.95000076293945
2008-10-08,40.09000015258789
2008-10-09,35.63999938964844
2008-10-10,33.06999969482422
2008-10-13,39.72999954223633
2008-10-14,40.459999084472656
2008-10-15,34.33000183105469
2008-10-16,37.790000915527344
2008-10-17,39.16999816894531
2008-10-20,43.86000061035156
2008-10-21,41.959999084472656
2008-10-22,37.59000015258789
2008-10-23,38.900001525878906
2008-10-24,37.77000045776367
2008-10-27,35.189998626708984
2008-10-28,38.45000076293945
2008-10-29,40.02000045776367
2008-10-30,42.689998626708984
2008-10-31,44.08000183105469
2008-11-03,42.310001373291016
2008-11-04,44.939998626708984
2008-11-05,43.900001525878906
2008-11-06,40.959999084472656
2008-11-07,42.310001373291016
2008-11-10,42.81999969482422
2008-11-11,41.189998626708984
2008-11-12,38.04999923706055
2008-11-13,41.90999984741211
2008-11-14,39.68000030517578
2008-11-17,39.470001220703125
2008-11-18,40.02000045776367
2008-11-19,37.459999084472656
2008-11-20,31.6200008392334
2008-11-21,35.84000015258789
2008-11-24,38.93000030517578
2008-11-25,39.25
2008-11-26,41.97999954223633
2008-11-28,40.88999938964844
2008-12-01,36.130001068115234
2008-12-02,37.060001373291016
2008-12-03,37.63999938964844
2008-12-04,33.68000030517578
2008-12-05,33.619998931884766
2008-12-08,35.77000045776367
2008-12-09,36.27000045776367
2008-12-10,38.83000183105469
2008-12-11,37.88999938964844
2008-12-12,37.529998779296875
2008-12-15,37.119998931884766
2008-12-16,38.54999923706055
2008-12-17,37.720001220703125
2008-12-18,36.060001373291016
2008-12-19,37.02000045776367
2008-12-22,35.470001220703125
2008-12-23,35.5
2008-12-24,35.5
2008-12-26,35.91999816894531
2008-12-29,36.45000076293945
2008-12-30,37.040000915527344
2008-12-31,37.540000915527344
2009-01-02,37.540000915527344
2009-01-05,37.540000915527344
2009-01-06,37.540000915527344
2009-01-07,37.540000915527344
2009-01-08,37.540000915527344
2009-01-09,37.540000915527344
2009-01-12,37.540000915527344
2009-01-13,37.540000915527344
2009-01-14,37.540000915527344
2009-01-15,37.540000915527344
2009-01-16,37.540000915527344
2009-01-20,37.540000915527344
2009-01-21,37.540000915527344
2009-01-22,37.540000915527344
2009-01-23,37.540000915527344
2009-01-26,37.540000915527344
2009-01-27,37.540000915527344
2009-01-28,37.540000915527344
2009-01-29,37.540000915527344
2009-01-30,37.540000915527344
2009-02-02,37.540000915527344
2009-02-03,37.540000915527344
2009-02-04,37.540000915527344
2009-02-05,37.540000915527344
2009-02-06,37.540000915527344
2009-02-09,37.540000915527344
2009-02-10,37.540000915527344
2009-02-11,38.70000076293945
2009-02-12,38.84000015258789
2009-02-13,39.220001220703125
2009-02-17,36.150001525878906
2009-02-18,35.2400016784668
2009-02-19,34.95000076293945
2009-02-20,33.81999969482422
2009-02-23,32.02000045776367
2009-02-24,33.36000061035156
2009-02-25,33.709999084472656
2009-02-26,33.439998626708984
2009-02-27,32.869998931884766
2009-03-02,29.920000076293945
2009-03-03,30.190000534057617
2009-03-04,31.709999084472656
2009-03-05,30.540000915527344
2009-03-06,30.239999771118164
2009-03-09,30.079999923706055
2009-03-10,31.530000686645508
2009-03-11,31.690000534057617
2009-03-12,32.79999923706055
2009-03-13,32.720001220703125
2009-03-16,33.459999084472656
2009-03-17,34.90999984741211
2009-03-18,35.36000061035156
2009-03-19,36.689998626708984
2009-03-20,35.810001373291016
2009-03-23,38.650001525878906
2009-03-24,37.20000076293945
2009-03-25,37.36000061035156
2009-03-26,37.52000045776367
2009-03-27,36.06999969482422
2009-03-30,34.61000061035156
2009-03-31,34.540000915527344
2009-04-01,35.45000076293945
2009-04-02,37.0
2009-04-03,37.849998474121094
2009-04-06,37.06999969482422
2009-04-07,35.83000183105469
2009-04-08,36.7599983215332
2009-04-09,37.869998931884766
2009-04-13,37.84000015258789
2009-04-14,37.68000030517578
2009-04-15,37.58000183105469
2009-04-16,38.09000015258789
2009-04-17,38.959999084472656
2009-04-20,36.70000076293945
2009-04-21,37.400001525878906
2009-04-22,37.0
2009-04-23,37.709999084472656
2009-04-24,38.7400016784668
2009-04-27,38.099998474121094
2009-04-28,38.2599983215332
2009-04-29,39.08000183105469
2009-04-30,38.7400016784668
2009-05-01,40.290000915527344
2009-05-04,42.59000015258789
2009-05-05,41.47999954223633
2009-05-06,43.45000076293945
2009-05-07,42.790000915527344
2009-05-08,44.959999084472656
2009-05-11,43.54999923706055
2009-05-12,43.27000045776367
2009-05-13,41.38999938964844
2009-05-14,41.86000061035156
2009-05-15,40.709999084472656
2009-05-18,42.400001525878906
2009-05-19,42.869998931884766
2009-05-20,43.08000183105469
2009-05-21,41.52000045776367
2009-05-22,41.41999816894531
2009-05-26,42.380001068115234
2009-05-27,41.709999084472656
2009-05-28,43.439998626708984
2009-05-29,44.02000045776367
2009-06-01,46.150001525878906
2009-06-02,45.650001525878906
2009-06-03,43.59000015258789
2009-06-04,44.66999816894531
2009-06-05,44.540000915527344
2009-06-08,44.47999954223633
2009-06-09,44.7400016784668
2009-06-10,45.34000015258789
2009-06-11,46.869998931884766
2009-06-12,46.5
2009-06-15,45.279998779296875
