,CTBI
1987-12-29,5.0175461769104
1987-12-30,5.0175461769104
1987-12-31,5.0175461769104
1988-01-04,5.2456159591674805
1988-01-05,5.2456159591674805
1988-01-06,5.701756954193115
1988-01-07,5.701756954193115
1988-01-08,5.701756954193115
1988-01-11,5.815792083740234
1988-01-12,5.815792083740234
1988-01-13,5.701756954193115
1988-01-14,5.701756954193115
1988-01-15,5.701756954193115
1988-01-18,5.701756954193115
1988-01-19,5.701756954193115
1988-01-20,5.701756954193115
1988-01-21,5.701756954193115
1988-01-22,5.9298272132873535
1988-01-25,5.9298272132873535
1988-01-26,5.9298272132873535
1988-01-27,5.9298272132873535
1988-01-28,6.157896995544434
1988-01-29,6.157896995544434
1988-02-01,6.157896995544434
1988-02-02,6.157896995544434
1988-02-03,6.157896995544434
1988-02-04,6.157896995544434
1988-02-05,6.157896995544434
1988-02-08,6.157896995544434
1988-02-09,6.157896995544434
1988-02-10,6.157896995544434
1988-02-11,6.157896995544434
1988-02-12,6.157896995544434
1988-02-16,6.157896995544434
1988-02-17,6.157896995544434
1988-02-18,6.157896995544434
1988-02-19,6.157896995544434
1988-02-22,6.157896995544434
1988-02-23,6.157896995544434
1988-02-24,6.157896995544434
1988-02-25,6.157896995544434
1988-02-26,6.157896995544434
1988-02-29,6.157896995544434
1988-03-01,6.157896995544434
1988-03-02,6.0438618659973145
1988-03-03,6.0438618659973145
1988-03-04,6.0438618659973145
1988-03-07,6.0438618659973145
1988-03-08,6.0438618659973145
1988-03-09,6.0438618659973145
1988-03-10,6.0438618659973145
1988-03-11,6.0438618659973145
1988-03-14,6.0438618659973145
1988-03-15,6.0438618659973145
1988-03-16,6.0438618659973145
1988-03-17,6.0438618659973145
1988-03-18,6.0438618659973145
1988-03-21,6.0438618659973145
1988-03-22,6.0438618659973145
1988-03-23,6.0438618659973145
1988-03-24,6.0438618659973145
1988-03-25,6.0438618659973145
1988-03-28,6.0438618659973145
1988-03-29,6.0438618659973145
1988-03-30,6.0438618659973145
1988-03-31,6.0438618659973145
1988-04-04,6.0438618659973145
1988-04-05,6.0438618659973145
1988-04-06,6.0438618659973145
1988-04-07,6.0438618659973145
1988-04-08,6.0438618659973145
1988-04-11,6.0438618659973145
1988-04-12,6.0438618659973145
1988-04-13,6.0438618659973145
1988-04-14,6.0438618659973145
1988-04-15,6.0438618659973145
1988-04-18,6.0438618659973145
1988-04-19,6.0438618659973145
1988-04-20,5.815792083740234
1988-04-21,5.815792083740234
1988-04-22,5.815792083740234
1988-04-25,5.815792083740234
1988-04-26,5.815792083740234
1988-04-27,5.815792083740234
1988-04-28,5.815792083740234
1988-04-29,5.815792083740234
1988-05-02,5.815792083740234
1988-05-03,5.815792083740234
1988-05-04,5.815792083740234
1988-05-05,5.815792083740234
1988-05-06,5.815792083740234
1988-05-09,5.815792083740234
1988-05-10,5.815792083740234
1988-05-11,5.815792083740234
1988-05-12,5.815792083740234
1988-05-13,5.815792083740234
1988-05-16,5.815792083740234
1988-05-17,5.815792083740234
1988-05-18,5.815792083740234
1988-05-19,5.815792083740234
1988-05-20,5.815792083740234
1988-05-23,5.815792083740234
1988-05-24,5.815792083740234
1988-05-25,5.815792083740234
1988-05-26,5.815792083740234
1988-05-27,5.815792083740234
1988-05-31,5.815792083740234
1988-06-01,5.815792083740234
1988-06-02,5.815792083740234
1988-06-03,5.815792083740234
1988-06-06,5.815792083740234
1988-06-07,5.815792083740234
1988-06-08,5.815792083740234
1988-06-09,5.815792083740234
1988-06-10,5.815792083740234
1988-06-13,5.815792083740234
1988-06-14,5.815792083740234
1988-06-15,5.815792083740234
1988-06-16,5.815792083740234
1988-06-17,5.815792083740234
1988-06-20,5.815792083740234
1988-06-21,5.815792083740234
1988-06-22,5.815792083740234
1988-06-23,5.815792083740234
1988-06-24,5.815792083740234
1988-06-27,5.815792083740234
1988-06-28,5.815792083740234
1988-06-29,5.815792083740234
1988-06-30,5.815792083740234
1988-07-01,5.815792083740234
1988-07-05,5.815792083740234
1988-07-06,5.815792083740234
1988-07-07,5.815792083740234
1988-07-08,5.815792083740234
1988-07-11,5.815792083740234
1988-07-12,5.815792083740234
1988-07-13,5.815792083740234
1988-07-14,5.815792083740234
1988-07-15,5.815792083740234
1988-07-18,5.815792083740234
1988-07-19,5.815792083740234
1988-07-20,5.815792083740234
1988-07-21,5.815792083740234
1988-07-22,5.815792083740234
1988-07-25,5.815792083740234
1988-07-26,5.815792083740234
1988-07-27,5.815792083740234
1988-07-28,5.815792083740234
1988-07-29,5.815792083740234
1988-08-01,5.815792083740234
1988-08-02,5.815792083740234
1988-08-03,5.701756954193115
1988-08-04,5.701756954193115
1988-08-05,5.701756954193115
1988-08-08,5.701756954193115
1988-08-09,5.701756954193115
1988-08-10,5.701756954193115
1988-08-11,5.701756954193115
1988-08-12,5.701756954193115
1988-08-15,5.701756954193115
1988-08-16,5.701756954193115
1988-08-17,5.701756954193115
1988-08-18,5.701756954193115
1988-08-19,5.701756954193115
1988-08-22,5.701756954193115
1988-08-23,5.701756954193115
1988-08-24,5.701756954193115
1988-08-25,5.701756954193115
1988-08-26,5.701756954193115
1988-08-29,5.701756954193115
1988-08-30,5.701756954193115
1988-08-31,5.701756954193115
1988-09-01,5.701756954193115
1988-09-02,5.701756954193115
1988-09-06,5.701756954193115
1988-09-07,5.701756954193115
1988-09-08,5.701756954193115
1988-09-09,5.701756954193115
1988-09-12,5.701756954193115
1988-09-13,5.701756954193115
1988-09-14,5.701756954193115
1988-09-15,5.701756954193115
1988-09-16,5.701756954193115
