,BTNB
2021-01-26,13.0
2021-01-27,12.050000190734863
2021-01-28,12.15999984741211
2021-01-29,12.199999809265137
2021-02-01,12.239999771118164
2021-02-02,12.579999923706055
2021-02-03,13.5
2021-02-04,13.289999961853027
2021-02-05,13.5
2021-02-08,13.59000015258789
2021-02-09,13.319999694824219
2021-02-10,13.1899995803833
2021-02-11,13.329999923706055
2021-02-12,13.380000114440918
2021-02-16,13.329999923706055
2021-02-17,13.220000267028809
2021-02-18,13.170000076293945
2021-02-19,13.59000015258789
2021-02-22,13.300000190734863
2021-02-23,12.399999618530273
2021-02-24,12.220000267028809
2021-02-25,11.9399995803833
2021-02-26,11.729999542236328
2021-03-01,11.8100004196167
2021-03-02,11.449999809265137
2021-03-03,11.069999694824219
2021-03-04,10.4399995803833
2021-03-05,10.930000305175781
2021-03-08,10.609999656677246
2021-03-09,10.739999771118164
2021-03-10,10.960000038146973
2021-03-11,11.289999961853027
2021-03-12,11.329999923706055
2021-03-15,10.880000114440918
2021-03-16,10.970000267028809
2021-03-17,10.569999694824219
2021-03-18,10.569999694824219
2021-03-19,10.800000190734863
2021-03-22,10.75
2021-03-23,10.470000267028809
2021-03-24,10.149999618530273
2021-03-25,10.329999923706055
2021-03-26,10.329999923706055
2021-03-29,10.390000343322754
2021-03-30,10.210000038146973
2021-03-31,10.239999771118164
2021-04-01,10.300000190734863
2021-04-05,10.289999961853027
2021-04-06,10.390000343322754
2021-04-07,10.300000190734863
2021-04-08,10.770000457763672
2021-04-09,10.729999542236328
2021-04-12,10.550000190734863
2021-04-13,10.449999809265137
2021-04-14,10.3100004196167
2021-04-15,10.279999732971191
2021-04-16,10.3100004196167
2021-04-19,10.279999732971191
2021-04-20,10.199999809265137
2021-04-21,10.229999542236328
2021-04-22,10.1899995803833
2021-04-23,10.220000267028809
2021-04-26,10.229999542236328
2021-04-27,10.199999809265137
2021-04-28,10.210000038146973
2021-04-29,10.260000228881836
2021-04-30,10.279999732971191
2021-05-03,10.210000038146973
2021-05-04,10.15999984741211
2021-05-05,10.140000343322754
2021-05-06,10.0600004196167
2021-05-07,10.0
2021-05-10,9.9399995803833
2021-05-11,9.989999771118164
2021-05-12,9.890000343322754
2021-05-13,9.960000038146973
2021-05-14,9.970000267028809
