,AVEO
2010-03-12,89.9000015258789
2010-03-15,90.0
2010-03-16,88.5999984741211
2010-03-17,88.30000305175781
2010-03-18,88.4000015258789
2010-03-19,87.5
2010-03-22,86.0
2010-03-23,85.69999694824219
2010-03-24,86.0
2010-03-25,85.5
2010-03-26,88.0999984741211
2010-03-29,89.80000305175781
2010-03-30,88.69999694824219
2010-03-31,90.0
2010-04-01,90.69999694824219
2010-04-05,93.4000015258789
2010-04-06,92.30000305175781
2010-04-07,93.9000015258789
2010-04-08,93.0999984741211
2010-04-09,93.5
2010-04-12,95.0
2010-04-13,88.0999984741211
2010-04-14,88.80000305175781
2010-04-15,88.9000015258789
2010-04-16,89.0
2010-04-19,88.5999984741211
2010-04-20,93.9000015258789
2010-04-21,96.30000305175781
2010-04-22,90.0
2010-04-23,90.5
2010-04-26,90.4000015258789
2010-04-27,90.30000305175781
2010-04-28,88.19999694824219
2010-04-29,93.0999984741211
2010-04-30,94.5999984741211
2010-05-03,87.9000015258789
2010-05-04,87.19999694824219
2010-05-05,85.5999984741211
2010-05-06,79.0
2010-05-07,78.19999694824219
2010-05-10,79.19999694824219
2010-05-11,81.0
2010-05-12,87.5999984741211
2010-05-13,86.30000305175781
2010-05-14,85.0
2010-05-17,82.0
2010-05-18,82.30000305175781
2010-05-19,81.0
2010-05-20,79.0
2010-05-21,81.5
2010-05-24,78.9000015258789
2010-05-25,79.80000305175781
2010-05-26,76.5
2010-05-27,80.19999694824219
2010-05-28,80.0999984741211
2010-06-01,78.19999694824219
2010-06-02,82.5999984741211
2010-06-03,80.0
2010-06-04,76.4000015258789
2010-06-07,79.80000305175781
2010-06-08,77.0
2010-06-09,75.0999984741211
2010-06-10,74.5
2010-06-11,74.19999694824219
2010-06-14,74.0
2010-06-15,72.19999694824219
2010-06-16,71.9000015258789
2010-06-17,74.4000015258789
2010-06-18,72.0
2010-06-21,72.0999984741211
2010-06-22,70.0
2010-06-23,78.69999694824219
2010-06-24,72.80000305175781
2010-06-25,72.19999694824219
2010-06-28,74.5
2010-06-29,74.80000305175781
2010-06-30,70.69999694824219
2010-07-01,69.69999694824219
2010-07-02,69.4000015258789
2010-07-06,66.30000305175781
2010-07-07,68.5999984741211
2010-07-08,67.5
2010-07-09,63.70000076293945
2010-07-12,65.4000015258789
2010-07-13,67.4000015258789
2010-07-14,63.70000076293945
2010-07-15,65.5
2010-07-16,64.5
2010-07-19,63.099998474121094
2010-07-20,63.20000076293945
2010-07-21,61.099998474121094
2010-07-22,68.5
2010-07-23,74.0
2010-07-26,73.5
2010-07-27,74.0999984741211
2010-07-28,69.9000015258789
2010-07-29,71.5
2010-07-30,77.4000015258789
2010-08-02,79.5
2010-08-03,78.9000015258789
2010-08-04,79.30000305175781
2010-08-05,78.30000305175781
2010-08-06,73.0999984741211
2010-08-09,76.30000305175781
2010-08-10,72.30000305175781
2010-08-11,66.0
2010-08-12,66.9000015258789
2010-08-13,69.0999984741211
