,CFO
2014-07-02,34.91999816894531
2014-07-03,35.06999969482422
2014-07-07,34.97200012207031
2014-07-08,34.77799987792969
2014-07-09,34.869998931884766
2014-07-10,34.720001220703125
2014-07-11,34.619998931884766
2014-07-14,34.80400085449219
2014-07-15,34.7400016784668
2014-07-16,34.79999923706055
2014-07-17,34.439998626708984
2014-07-18,34.715999603271484
2014-07-21,34.689998626708984
2014-07-22,34.84000015258789
2014-07-23,34.79999923706055
2014-07-24,34.880001068115234
2014-07-25,34.77000045776367
2014-07-28,34.76599884033203
2014-07-29,34.56999969482422
2014-07-30,34.553001403808594
2014-07-31,33.93000030517578
2014-08-01,33.900001525878906
2014-08-04,33.93000030517578
2014-08-05,33.779998779296875
2014-08-06,33.779998779296875
2014-08-07,33.58000183105469
2014-08-08,33.58000183105469
2014-08-11,34.189998626708984
2014-08-12,34.18000030517578
2014-08-13,34.279998779296875
2014-08-14,34.439998626708984
2014-08-15,34.391998291015625
2014-08-18,34.72999954223633
2014-08-19,34.90399932861328
2014-08-20,35.060001373291016
2014-08-21,35.15999984741211
2014-08-22,35.108001708984375
2014-08-25,35.2599983215332
2014-08-26,35.25199890136719
2014-08-27,35.22100067138672
2014-08-28,35.25
2014-08-29,35.31999969482422
2014-09-02,35.380001068115234
2014-09-03,35.369998931884766
2014-09-04,35.310001373291016
2014-09-05,35.439998626708984
2014-09-08,35.400001525878906
2014-09-09,35.16999816894531
2014-09-10,35.2400016784668
2014-09-11,35.33000183105469
2014-09-12,35.099998474121094
2014-09-15,35.04999923706055
2014-09-16,35.209999084472656
2014-09-17,35.34600067138672
2014-09-18,35.349998474121094
2014-09-19,35.310001373291016
2014-09-22,34.98699951171875
2014-09-23,34.72999954223633
2014-09-24,34.91999816894531
2014-09-25,34.470001220703125
2014-09-26,34.720001220703125
2014-09-29,34.62300109863281
2014-09-30,34.540000915527344
2014-10-01,34.04999923706055
2014-10-02,34.08000183105469
2014-10-03,34.40999984741211
2014-10-06,34.34000015258789
2014-10-07,33.86000061035156
2014-10-08,34.33000183105469
2014-10-09,33.59000015258789
2014-10-10,33.15999984741211
2014-10-13,32.650001525878906
2014-10-14,32.91999816894531
2014-10-15,32.630001068115234
2014-10-16,32.72999954223633
2014-10-17,33.04999923706055
2014-10-20,33.41999816894531
2014-10-21,34.130001068115234
2014-10-22,33.939998626708984
2014-10-23,34.2599983215332
2014-10-24,34.516998291015625
2014-10-27,34.45899963378906
2014-10-28,34.849998474121094
2014-10-29,34.85599899291992
2014-10-30,34.97999954223633
2014-10-31,35.40999984741211
2014-11-03,35.459999084472656
2014-11-04,35.31999969482422
2014-11-05,35.58000183105469
2014-11-06,35.763999938964844
2014-11-07,35.810001373291016
2014-11-10,35.91999816894531
2014-11-11,35.900001525878906
2014-11-12,35.959999084472656
2014-11-13,35.869998931884766
2014-11-14,35.895999908447266
2014-11-17,35.91999816894531
2014-11-18,36.099998474121094
2014-11-19,36.04999923706055
2014-11-20,36.16600036621094
2014-11-21,36.349998474121094
2014-11-24,36.43899917602539
2014-11-25,36.47999954223633
2014-11-26,36.4900016784668
2014-11-28,36.4900016784668
2014-12-01,36.11000061035156
2014-12-02,36.29999923706055
2014-12-03,36.54999923706055
2014-12-04,36.4900016784668
2014-12-05,36.54999923706055
2014-12-08,36.29999923706055
2014-12-09,36.33000183105469
2014-12-10,35.72999954223633
2014-12-11,35.849998474121094
2014-12-12,35.400001525878906
2014-12-15,35.15999984741211
2014-12-16,34.869998931884766
2014-12-17,35.5
2014-12-18,36.16999816894531
2014-12-19,36.54999923706055
2014-12-22,36.560001373291016
2014-12-23,36.819000244140625
2014-12-24,36.88999938964844
2014-12-26,36.88999938964844
2014-12-29,37.04999923706055
2014-12-30,36.84000015258789
2014-12-31,36.65999984741211
2015-01-02,36.47999954223633
2015-01-05,35.70399856567383
2015-01-06,35.4900016784668
2015-01-07,35.79999923706055
2015-01-08,36.41999816894531
2015-01-09,36.15599822998047
2015-01-12,35.83000183105469
2015-01-13,35.91899871826172
2015-01-14,35.54999923706055
2015-01-15,35.22999954223633
2015-01-16,35.56800079345703
2015-01-20,35.720001220703125
2015-01-21,35.92900085449219
2015-01-22,36.470001220703125
2015-01-23,36.310001373291016
2015-01-26,36.40700149536133
2015-01-27,36.150001525878906
2015-01-28,35.630001068115234
2015-01-29,35.93000030517578
2015-01-30,35.45000076293945
2015-02-02,35.849998474121094
2015-02-03,36.39699935913086
2015-02-04,36.310001373291016
2015-02-05,36.70000076293945
2015-02-06,36.52000045776367
2015-02-09,36.439998626708984
2015-02-10,36.810001373291016
2015-02-11,36.790000915527344
2015-02-12,37.16999816894531
2015-02-13,37.29999923706055
