,APPH
2020-06-12,10.010000228881836
2020-06-15,10.100000381469727
2020-06-16,9.699999809265137
2020-06-17,9.699999809265137
2020-06-18,9.75
2020-06-19,9.880000114440918
2020-06-22,9.729999542236328
2020-06-23,9.779999732971191
2020-06-24,9.75
2020-06-25,9.770000457763672
2020-06-26,9.850000381469727
2020-06-29,9.899999618530273
2020-06-30,9.8100004196167
2020-07-01,9.84000015258789
2020-07-02,9.819999694824219
2020-07-06,9.819999694824219
2020-07-07,9.800000190734863
2020-07-08,9.800000190734863
2020-07-09,9.899999618530273
2020-07-10,9.9399995803833
2020-07-13,9.930000305175781
2020-07-14,10.0
2020-07-15,9.970000267028809
2020-07-16,10.069999694824219
2020-07-17,10.015000343322754
2020-07-20,9.989999771118164
2020-07-21,9.989999771118164
2020-07-22,9.989999771118164
2020-07-23,9.979999542236328
2020-07-24,10.0
2020-07-27,9.979999542236328
2020-07-28,9.970000267028809
2020-07-29,9.949999809265137
2020-07-30,9.960000038146973
2020-07-31,9.935999870300293
2020-08-03,9.930000305175781
2020-08-04,9.970000267028809
2020-08-05,9.914999961853027
2020-08-06,9.970000267028809
2020-08-07,9.970000267028809
2020-08-10,9.970000267028809
2020-08-11,9.930000305175781
2020-08-12,9.899999618530273
2020-08-13,9.949999809265137
2020-08-14,9.90999984741211
2020-08-17,9.899999618530273
2020-08-18,9.90999984741211
2020-08-19,9.925000190734863
2020-08-20,9.899999618530273
2020-08-21,9.850000381469727
2020-08-24,9.979999542236328
2020-08-25,9.850000381469727
2020-08-26,9.899999618530273
2020-08-27,9.854999542236328
2020-08-28,9.899999618530273
2020-08-31,9.859999656677246
2020-09-01,9.899999618530273
2020-09-02,9.899999618530273
2020-09-03,9.859999656677246
2020-09-04,9.970000267028809
2020-09-08,9.869999885559082
2020-09-09,9.819999694824219
2020-09-10,9.930000305175781
2020-09-11,9.880000114440918
2020-09-14,9.90999984741211
2020-09-15,9.850000381469727
2020-09-16,9.925000190734863
2020-09-17,9.979999542236328
2020-09-18,10.069999694824219
2020-09-21,10.029999732971191
2020-09-22,10.029999732971191
2020-09-23,10.055000305175781
2020-09-24,9.930000305175781
2020-09-25,10.029999732971191
2020-09-28,10.079999923706055
2020-09-29,12.180000305175781
2020-09-30,11.75
2020-10-01,11.800000190734863
