,ARVN
2018-09-27,16.049999237060547
2018-09-28,16.8700008392334
2018-10-01,16.010000228881836
2018-10-02,14.8100004196167
2018-10-03,15.649999618530273
2018-10-04,15.399999618530273
2018-10-05,15.010000228881836
2018-10-08,14.869999885559082
2018-10-09,14.789999961853027
2018-10-10,14.4399995803833
2018-10-11,13.699999809265137
2018-10-12,14.449999809265137
2018-10-15,15.0
2018-10-16,15.449999809265137
2018-10-17,15.75
2018-10-18,15.449999809265137
2018-10-19,15.5600004196167
2018-10-22,14.789999961853027
2018-10-23,14.289999961853027
2018-10-24,14.930000305175781
2018-10-25,16.110000610351562
2018-10-26,16.049999237060547
2018-10-29,16.889999389648438
2018-10-30,16.770000457763672
2018-10-31,16.260000228881836
2018-11-01,17.079999923706055
2018-11-02,17.719999313354492
2018-11-05,18.149999618530273
2018-11-06,18.260000228881836
2018-11-07,18.559999465942383
2018-11-08,18.559999465942383
2018-11-09,18.399999618530273
2018-11-12,16.260000228881836
2018-11-13,17.059999465942383
2018-11-14,16.440000534057617
2018-11-15,15.65999984741211
2018-11-16,16.43000030517578
2018-11-19,17.209999084472656
2018-11-20,17.639999389648438
2018-11-21,16.959999084472656
2018-11-23,17.6299991607666
2018-11-26,18.350000381469727
2018-11-27,17.25
2018-11-28,18.06999969482422
2018-11-29,16.899999618530273
2018-11-30,16.90999984741211
2018-12-03,15.289999961853027
2018-12-04,17.0
2018-12-06,15.789999961853027
2018-12-07,16.59000015258789
2018-12-10,17.049999237060547
2018-12-11,16.81999969482422
2018-12-12,15.8100004196167
2018-12-13,15.989999771118164
2018-12-14,14.199999809265137
2018-12-17,15.380000114440918
2018-12-18,15.430000305175781
2018-12-19,16.239999771118164
2018-12-20,14.25
2018-12-21,12.470000267028809
2018-12-24,11.1899995803833
2018-12-26,13.399999618530273
2018-12-27,12.529999732971191
2018-12-28,13.15999984741211
2018-12-31,12.850000381469727
2019-01-02,13.8100004196167
2019-01-03,13.550000190734863
2019-01-04,14.40999984741211
2019-01-07,15.300000190734863
2019-01-08,15.130000114440918
2019-01-09,16.209999084472656
2019-01-10,16.270000457763672
2019-01-11,16.469999313354492
2019-01-14,16.260000228881836
2019-01-15,16.110000610351562
2019-01-16,16.290000915527344
2019-01-17,16.229999542236328
2019-01-18,16.649999618530273
2019-01-22,16.40999984741211
2019-01-23,16.670000076293945
2019-01-24,16.25
2019-01-25,17.059999465942383
2019-01-28,17.030000686645508
2019-01-29,17.25
2019-01-30,17.31999969482422
2019-01-31,17.40999984741211
2019-02-01,17.979999542236328
2019-02-04,20.489999771118164
2019-02-05,19.25
2019-02-06,19.440000534057617
2019-02-07,20.18000030517578
2019-02-08,20.5
2019-02-11,21.399999618530273
2019-02-12,22.049999237060547
2019-02-13,22.399999618530273
2019-02-14,22.479999542236328
2019-02-15,23.790000915527344
2019-02-19,22.09000015258789
2019-02-20,21.979999542236328
2019-02-21,21.420000076293945
2019-02-22,19.25
2019-02-25,18.770000457763672
2019-02-26,19.989999771118164
2019-02-27,19.690000534057617
2019-02-28,19.360000610351562
2019-03-01,19.360000610351562
