,FDT
2011-04-19,49.95000076293945
2011-04-20,50.68000030517578
2011-04-21,51.13999938964844
2011-04-25,51.22999954223633
2011-04-26,51.689998626708984
2011-04-27,51.869998931884766
2011-04-28,52.189998626708984
2011-04-29,52.209999084472656
2011-05-02,52.29999923706055
2011-05-03,51.869998931884766
2011-05-04,51.09000015258789
2011-05-05,50.61000061035156
2011-05-06,50.79999923706055
2011-05-09,50.79999923706055
2011-05-10,51.52000045776367
2011-05-11,50.220001220703125
2011-05-12,50.27000045776367
2011-05-13,50.27000045776367
2011-05-16,49.400001525878906
2011-05-17,49.400001525878906
2011-05-18,49.400001525878906
2011-05-19,49.400001525878906
2011-05-20,49.7400016784668
2011-05-23,49.7400016784668
2011-05-24,48.83000183105469
2011-05-25,48.790000915527344
2011-05-26,49.380001068115234
2011-05-27,49.650001525878906
2011-05-31,50.70000076293945
2011-06-01,50.20000076293945
2011-06-02,50.20000076293945
2011-06-03,50.220001220703125
2011-06-06,49.47999954223633
2011-06-07,50.08000183105469
2011-06-08,49.36000061035156
2011-06-09,49.59000015258789
2011-06-10,48.45000076293945
2011-06-13,48.630001068115234
2011-06-14,48.630001068115234
2011-06-15,47.93000030517578
2011-06-16,47.93000030517578
2011-06-17,47.9900016784668
2011-06-20,47.81999969482422
2011-06-21,48.5
2011-06-22,48.4900016784668
2011-06-23,47.15999984741211
2011-06-24,47.470001220703125
2011-06-27,47.630001068115234
2011-06-28,48.209999084472656
2011-06-29,49.369998931884766
2011-06-30,50.040000915527344
2011-07-01,50.650001525878906
2011-07-05,50.599998474121094
2011-07-06,50.630001068115234
2011-07-07,51.130001068115234
2011-07-08,50.47999954223633
2011-07-11,49.06999969482422
2011-07-12,48.970001220703125
2011-07-13,50.02000045776367
2011-07-14,49.5
2011-07-15,49.59000015258789
2011-07-18,48.959999084472656
2011-07-19,49.33000183105469
2011-07-20,50.06999969482422
2011-07-21,50.849998474121094
2011-07-22,51.13999938964844
2011-07-25,51.06999969482422
2011-07-26,51.02000045776367
2011-07-27,49.95000076293945
2011-07-28,49.95000076293945
2011-07-29,49.540000915527344
2011-08-01,48.709999084472656
2011-08-02,47.33000183105469
2011-08-03,47.2599983215332
2011-08-04,43.970001220703125
2011-08-05,43.349998474121094
2011-08-08,41.0
2011-08-09,42.0
2011-08-10,40.709999084472656
2011-08-11,43.2599983215332
2011-08-12,43.130001068115234
2011-08-15,43.849998474121094
2011-08-16,43.529998779296875
2011-08-17,43.59000015258789
2011-08-18,41.38999938964844
2011-08-19,40.540000915527344
2011-08-22,40.34000015258789
2011-08-23,41.220001220703125
2011-08-24,41.310001373291016
2011-08-25,41.040000915527344
2011-08-26,41.61000061035156
2011-08-29,42.79999923706055
2011-08-30,42.9900016784668
2011-08-31,43.68000030517578
2011-09-01,43.45000076293945
2011-09-02,42.400001525878906
2011-09-06,41.029998779296875
2011-09-07,41.86000061035156
2011-09-08,41.47999954223633
2011-09-09,40.060001373291016
2011-09-12,39.36000061035156
2011-09-13,40.119998931884766
2011-09-14,40.4900016784668
2011-09-15,40.93000030517578
2011-09-16,41.15999984741211
2011-09-19,40.16999816894531
2011-09-20,40.380001068115234
2011-09-21,39.27000045776367
2011-09-22,36.869998931884766
2011-09-23,37.22999954223633
2011-09-26,36.72999954223633
2011-09-27,38.2599983215332
2011-09-28,37.97999954223633
2011-09-29,38.33000183105469
2011-09-30,37.029998779296875
2011-10-03,35.290000915527344
2011-10-04,34.619998931884766
2011-10-05,35.900001525878906
2011-10-06,36.97999954223633
2011-10-07,37.5
2011-10-10,38.91999816894531
2011-10-11,39.220001220703125
2011-10-12,40.52000045776367
2011-10-13,39.93000030517578
2011-10-14,40.5099983215332
2011-10-17,39.75
2011-10-18,39.75
2011-10-19,39.77000045776367
2011-10-20,39.439998626708984
2011-10-21,40.15999984741211
2011-10-24,40.81999969482422
2011-10-25,40.560001373291016
2011-10-26,40.7599983215332
2011-10-27,42.54999923706055
2011-10-28,42.25
2011-10-31,40.54999923706055
2011-11-01,39.68000030517578
2011-11-02,39.810001373291016
2011-11-03,40.65999984741211
2011-11-04,40.68000030517578
2011-11-07,40.93000030517578
2011-11-08,41.209999084472656
2011-11-09,39.20000076293945
2011-11-10,39.77000045776367
2011-11-11,40.06999969482422
2011-11-14,39.779998779296875
2011-11-15,39.779998779296875
2011-11-16,38.9900016784668
2011-11-17,38.40999984741211
2011-11-18,38.81999969482422
2011-11-21,38.81999969482422
2011-11-22,37.72999954223633
2011-11-23,36.93000030517578
2011-11-25,36.81999969482422
