,ADUS
2009-10-28,8.489999771118164
2009-10-29,9.0
2009-10-30,9.149999618530273
2009-11-02,8.640000343322754
2009-11-03,8.470000267028809
2009-11-04,8.399999618530273
2009-11-05,8.399999618530273
2009-11-06,8.510000228881836
2009-11-09,8.40999984741211
2009-11-10,7.989999771118164
2009-11-11,7.949999809265137
2009-11-12,8.399999618530273
2009-11-13,8.029999732971191
2009-11-16,8.029999732971191
2009-11-17,7.699999809265137
2009-11-18,7.849999904632568
2009-11-19,8.0600004196167
2009-11-20,8.0
2009-11-23,8.149999618530273
2009-11-24,8.15999984741211
2009-11-25,8.140000343322754
2009-11-27,8.029999732971191
2009-11-30,8.25
2009-12-01,8.34000015258789
2009-12-02,8.0600004196167
2009-12-03,8.100000381469727
2009-12-04,8.3100004196167
2009-12-07,8.220000267028809
2009-12-08,8.350000381469727
2009-12-09,8.199999809265137
2009-12-10,8.300000190734863
2009-12-11,8.260000228881836
2009-12-14,8.350000381469727
2009-12-15,8.550000190734863
2009-12-16,8.569999694824219
2009-12-17,8.550000190734863
2009-12-18,8.0
2009-12-21,8.09000015258789
2009-12-22,8.460000038146973
2009-12-23,8.609999656677246
2009-12-24,8.729999542236328
2009-12-28,9.100000381469727
2009-12-29,9.010000228881836
2009-12-30,9.010000228881836
2009-12-31,9.199999809265137
2010-01-04,9.319999694824219
2010-01-05,9.039999961853027
2010-01-06,9.3100004196167
2010-01-07,9.510000228881836
2010-01-08,9.470000267028809
2010-01-11,9.5
2010-01-12,9.239999771118164
2010-01-13,9.319999694824219
2010-01-14,9.09000015258789
2010-01-15,9.3100004196167
2010-01-19,9.720000267028809
2010-01-20,9.630000114440918
2010-01-21,9.569999694824219
2010-01-22,8.760000228881836
2010-01-25,8.869999885559082
2010-01-26,9.0
2010-01-27,8.760000228881836
2010-01-28,8.819999694824219
2010-01-29,8.819999694824219
2010-02-01,8.779999732971191
2010-02-02,8.59000015258789
2010-02-03,8.5
2010-02-04,8.430000305175781
2010-02-05,8.380000114440918
2010-02-08,8.630000114440918
2010-02-09,8.3100004196167
2010-02-10,8.229999542236328
2010-02-11,8.399999618530273
2010-02-12,8.4399995803833
2010-02-16,8.75
2010-02-17,8.710000038146973
2010-02-18,8.449999809265137
2010-02-19,8.399999618530273
2010-02-22,8.149999618530273
2010-02-23,8.100000381469727
2010-02-24,8.0
2010-02-25,8.010000228881836
2010-02-26,7.900000095367432
2010-03-01,8.020000457763672
2010-03-02,8.0
2010-03-03,8.069999694824219
2010-03-04,8.0
2010-03-05,8.0
2010-03-08,8.100000381469727
2010-03-09,8.039999961853027
2010-03-10,7.949999809265137
2010-03-11,7.960000038146973
2010-03-12,8.199999809265137
2010-03-15,8.34000015258789
2010-03-16,8.369999885559082
2010-03-17,8.5
2010-03-18,8.899999618530273
2010-03-19,6.300000190734863
2010-03-22,6.400000095367432
