,ESBK
1986-06-18,3.5947909355163574
1986-06-19,3.5947909355163574
1986-06-20,3.5947909355163574
1986-06-23,3.5947909355163574
1986-06-24,3.5947909355163574
1986-06-25,3.5947909355163574
1986-06-26,3.5947909355163574
1986-06-27,3.5947909355163574
1986-06-30,3.5947909355163574
1986-07-01,3.5947909355163574
1986-07-02,3.5947909355163574
1986-07-03,3.5947909355163574
1986-07-07,3.5947909355163574
1986-07-08,3.5947909355163574
1986-07-09,3.5947909355163574
1986-07-10,3.5947909355163574
1986-07-11,3.5947909355163574
1986-07-14,3.5947909355163574
1986-07-15,3.5947909355163574
1986-07-16,3.5947909355163574
1986-07-17,3.5947909355163574
1986-07-18,3.5947909355163574
1986-07-21,3.5947909355163574
1986-07-22,3.5947909355163574
1986-07-23,3.5947909355163574
1986-07-24,3.5947909355163574
1986-07-25,3.5947909355163574
1986-07-28,3.5947909355163574
1986-07-29,3.5947909355163574
1986-07-30,3.5947909355163574
1986-07-31,3.5947909355163574
1986-08-01,3.5947909355163574
1986-08-04,3.5947909355163574
1986-08-05,3.5947909355163574
1986-08-06,3.5947909355163574
1986-08-07,3.5947909355163574
1986-08-08,3.5947909355163574
1986-08-11,3.5947909355163574
1986-08-12,3.5947909355163574
1986-08-13,3.5947909355163574
1986-08-14,3.5947909355163574
1986-08-15,3.5947909355163574
1986-08-18,3.5947909355163574
1986-08-19,3.5947909355163574
1986-08-20,3.5947909355163574
1986-08-21,3.5947909355163574
1986-08-22,3.5947909355163574
1986-08-25,3.5947909355163574
1986-08-26,3.5947909355163574
1986-08-27,3.5947909355163574
1986-08-28,3.5947909355163574
1986-08-29,3.5947909355163574
1986-09-02,3.5947909355163574
1986-09-03,3.5947909355163574
1986-09-04,3.5947909355163574
1986-09-05,3.5947909355163574
1986-09-08,3.5947909355163574
1986-09-09,3.5947909355163574
1986-09-10,3.5947909355163574
1986-09-11,3.5947909355163574
1986-09-12,3.5947909355163574
1986-09-15,3.5947909355163574
