,BTWNU
2020-10-16,10.039999961853027
2020-10-19,10.15999984741211
2020-10-20,10.199999809265137
2020-10-21,10.199999809265137
2020-10-22,10.220000267028809
2020-10-23,10.210000038146973
2020-10-26,10.210000038146973
2020-10-27,10.09000015258789
2020-10-28,10.039999961853027
2020-10-29,10.140000343322754
2020-10-30,10.100000381469727
2020-11-02,10.079999923706055
2020-11-03,10.069999694824219
2020-11-04,10.09000015258789
2020-11-05,10.100000381469727
2020-11-06,10.144000053405762
2020-11-09,10.130000114440918
2020-11-10,10.149999618530273
2020-11-11,10.149999618530273
2020-11-12,10.220000267028809
2020-11-13,10.229000091552734
2020-11-16,10.220000267028809
2020-11-17,10.239999771118164
2020-11-18,10.239999771118164
2020-11-19,10.234000205993652
2020-11-20,10.289999961853027
2020-11-23,10.229999542236328
2020-11-24,10.329999923706055
2020-11-25,10.300000190734863
2020-11-27,10.380000114440918
2020-11-30,10.399999618530273
2020-12-01,10.550000190734863
2020-12-02,10.65999984741211
2020-12-03,10.699999809265137
2020-12-04,10.949999809265137
2020-12-07,11.449999809265137
2020-12-08,11.710000038146973
2020-12-09,11.670000076293945
2020-12-10,11.770000457763672
2020-12-11,11.699999809265137
2020-12-14,11.739999771118164
2020-12-15,14.760000228881836
2020-12-16,14.3100004196167
2020-12-17,14.670000076293945
2020-12-18,14.100000381469727
2020-12-21,14.640000343322754
2020-12-22,15.180000305175781
2020-12-23,15.75
2020-12-24,17.719999313354492
2020-12-28,18.739999771118164
2020-12-29,17.329999923706055
2020-12-30,17.6200008392334
2020-12-31,16.979999542236328
2021-01-04,15.5
2021-01-05,15.050000190734863
2021-01-06,14.710000038146973
2021-01-07,16.040000915527344
2021-01-08,15.829999923706055
2021-01-11,16.559999465942383
2021-01-12,16.65999984741211
2021-01-13,17.739999771118164
2021-01-14,17.5
2021-01-15,17.0
2021-01-19,16.559999465942383
2021-01-20,16.40999984741211
2021-01-21,16.229999542236328
2021-01-22,16.0
2021-01-25,15.569999694824219
2021-01-26,15.319999694824219
2021-01-27,14.800000190734863
2021-01-28,15.289999961853027
2021-01-29,14.770000457763672
2021-02-01,15.25
2021-02-02,18.530000686645508
2021-02-03,17.229999542236328
2021-02-04,17.5
2021-02-05,16.860000610351562
2021-02-08,17.25
2021-02-09,16.94499969482422
2021-02-10,16.434999465942383
2021-02-11,15.989999771118164
2021-02-12,16.329999923706055
2021-02-16,18.059999465942383
2021-02-17,17.979999542236328
2021-02-18,17.34000015258789
2021-02-19,19.329999923706055
2021-02-22,17.447999954223633
2021-02-23,16.149999618530273
2021-02-24,15.609000205993652
2021-02-25,14.539999961853027
2021-02-26,14.930000305175781
2021-03-01,15.375
2021-03-02,14.850000381469727
2021-03-03,13.0
2021-03-04,12.390000343322754
2021-03-05,13.829999923706055
2021-03-08,12.694999694824219
2021-03-09,13.220000267028809
2021-03-10,13.229999542236328
2021-03-11,13.75
2021-03-12,14.270000457763672
2021-03-15,14.100000381469727
2021-03-16,13.75
2021-03-17,13.59000015258789
2021-03-18,12.9399995803833
2021-03-19,13.050000190734863
2021-03-22,13.039999961853027
2021-03-23,12.319999694824219
2021-03-24,11.789999961853027
2021-03-25,11.380000114440918
2021-03-26,11.489999771118164
2021-03-29,11.479999542236328
2021-03-30,11.5
2021-03-31,11.75
2021-04-01,11.720000267028809
2021-04-05,11.630000114440918
2021-04-06,11.850000381469727
2021-04-07,11.760000228881836
2021-04-08,13.40999984741211
2021-04-09,12.960000038146973
2021-04-12,12.149999618530273
2021-04-13,11.710000038146973
2021-04-14,11.520000457763672
2021-04-15,11.529999732971191
2021-04-16,11.470000267028809
2021-04-19,11.369999885559082
2021-04-20,10.989999771118164
2021-04-21,11.039999961853027
2021-04-22,11.069999694824219
2021-04-23,11.279999732971191
2021-04-26,11.350000381469727
2021-04-27,11.449999809265137
2021-04-28,11.539999961853027
2021-04-29,11.270000457763672
2021-04-30,11.199999809265137
2021-05-03,11.319999694824219
2021-05-04,11.09000015258789
2021-05-05,11.020000457763672
2021-05-06,10.890000343322754
2021-05-07,10.819999694824219
2021-05-10,10.789999961853027
2021-05-11,10.654999732971191
2021-05-12,10.520000457763672
2021-05-13,10.510000228881836
2021-05-14,10.692000389099121
