,ADAP
2015-05-06,16.0
2015-05-07,17.229999542236328
2015-05-08,17.18000030517578
2015-05-11,17.0
2015-05-12,16.8799991607666
2015-05-13,16.940000534057617
2015-05-14,16.93000030517578
2015-05-15,16.850000381469727
2015-05-18,16.610000610351562
2015-05-19,15.979999542236328
2015-05-20,15.199999809265137
2015-05-21,15.079999923706055
2015-05-22,15.600000381469727
2015-05-26,15.229999542236328
2015-05-27,15.619999885559082
2015-05-28,15.329999923706055
2015-05-29,15.430000305175781
2015-06-01,14.819999694824219
2015-06-02,14.8100004196167
2015-06-03,15.130000114440918
2015-06-04,15.100000381469727
2015-06-05,15.34000015258789
2015-06-08,16.100000381469727
2015-06-09,16.43000030517578
2015-06-10,17.030000686645508
2015-06-11,17.40999984741211
2015-06-12,19.290000915527344
2015-06-15,19.799999237060547
2015-06-16,21.1200008392334
2015-06-17,20.020000457763672
2015-06-18,19.950000762939453
2015-06-19,19.850000381469727
2015-06-22,20.309999465942383
2015-06-23,19.690000534057617
2015-06-24,19.280000686645508
2015-06-25,17.889999389648438
2015-06-26,18.5
2015-06-29,18.020000457763672
2015-06-30,18.329999923706055
2015-07-01,17.559999465942383
2015-07-02,17.989999771118164
2015-07-06,17.68000030517578
2015-07-07,17.450000762939453
2015-07-08,16.100000381469727
2015-07-09,16.229999542236328
2015-07-10,15.65999984741211
2015-07-13,16.020000457763672
2015-07-14,17.059999465942383
2015-07-15,17.3700008392334
2015-07-16,19.170000076293945
2015-07-17,20.239999771118164
2015-07-20,18.739999771118164
2015-07-21,19.360000610351562
2015-07-22,17.670000076293945
2015-07-23,16.59000015258789
2015-07-24,15.8100004196167
2015-07-27,14.8100004196167
2015-07-28,15.300000190734863
2015-07-29,16.260000228881836
2015-07-30,15.100000381469727
2015-07-31,15.050000190734863
2015-08-03,14.970000267028809
2015-08-04,14.329999923706055
2015-08-05,14.819999694824219
2015-08-06,14.930000305175781
2015-08-07,13.6899995803833
2015-08-10,13.729999542236328
2015-08-11,13.470000267028809
2015-08-12,13.989999771118164
2015-08-13,14.300000190734863
2015-08-14,14.359999656677246
2015-08-17,15.529999732971191
2015-08-18,15.460000038146973
2015-08-19,14.760000228881836
2015-08-20,14.770000457763672
2015-08-21,12.529999732971191
2015-08-24,11.100000381469727
2015-08-25,11.449999809265137
2015-08-26,11.449999809265137
2015-08-27,11.279999732971191
2015-08-28,11.65999984741211
2015-08-31,10.960000038146973
2015-09-01,11.300000190734863
2015-09-02,11.550000190734863
2015-09-03,11.300000190734863
2015-09-04,11.130000114440918
2015-09-08,11.210000038146973
2015-09-09,11.239999771118164
2015-09-10,11.3100004196167
2015-09-11,11.329999923706055
2015-09-14,11.670000076293945
2015-09-15,12.649999618530273
2015-09-16,12.649999618530273
2015-09-17,13.050000190734863
2015-09-18,12.569999694824219
2015-09-21,11.770000457763672
2015-09-22,11.699999809265137
2015-09-23,11.800000190734863
2015-09-24,12.140000343322754
2015-09-25,11.539999961853027
2015-09-28,11.670000076293945
2015-09-29,11.710000038146973
2015-09-30,11.970000267028809
2015-10-01,10.220000267028809
2015-10-02,9.3100004196167
2015-10-05,8.829999923706055
2015-10-06,8.920000076293945
2015-10-07,8.710000038146973
2015-10-08,8.210000038146973
2015-10-09,8.010000228881836
2015-10-12,7.590000152587891
2015-10-13,7.960000038146973
2015-10-14,7.53000020980835
2015-10-15,7.53000020980835
2015-10-16,7.28000020980835
2015-10-19,8.199999809265137
2015-10-20,9.489999771118164
2015-10-21,9.130000114440918
2015-10-22,9.520000457763672
2015-10-23,9.710000038146973
2015-10-26,10.100000381469727
2015-10-27,10.510000228881836
2015-10-28,10.489999771118164
2015-10-29,10.510000228881836
2015-10-30,10.65999984741211
2015-11-02,11.239999771118164
2015-11-03,11.119999885559082
2015-11-04,11.59000015258789
2015-11-05,13.119999885559082
2015-11-06,11.670000076293945
2015-11-09,11.010000228881836
2015-11-10,11.329999923706055
2015-11-11,11.0600004196167
2015-11-12,10.640000343322754
2015-11-13,10.869999885559082
2015-11-16,9.520000457763672
2015-11-17,9.890000343322754
2015-11-18,9.109999656677246
2015-11-19,8.800000190734863
2015-11-20,8.960000038146973
2015-11-23,9.010000228881836
2015-11-24,8.920000076293945
2015-11-25,8.920000076293945
2015-11-27,9.100000381469727
2015-11-30,9.039999961853027
2015-12-01,9.390000343322754
2015-12-02,9.90999984741211
2015-12-03,10.300000190734863
2015-12-04,10.59000015258789
2015-12-07,10.069999694824219
2015-12-08,9.949999809265137
2015-12-09,9.869999885559082
2015-12-10,10.0
2015-12-11,9.710000038146973
2015-12-14,9.050000190734863
2015-12-15,8.880000114440918
2015-12-16,9.149999618530273
2015-12-17,8.859999656677246
2015-12-18,9.489999771118164
2015-12-21,9.899999618530273
2015-12-22,10.0600004196167
2015-12-23,11.029999732971191
2015-12-24,11.0
2015-12-28,10.619999885559082
2015-12-29,11.350000381469727
2015-12-30,12.180000305175781
2015-12-31,12.0600004196167
2016-01-04,11.819999694824219
2016-01-05,12.289999961853027
2016-01-06,11.680000305175781
2016-01-07,10.649999618530273
2016-01-08,10.529999732971191
2016-01-11,9.420000076293945
2016-01-12,8.510000228881836
2016-01-13,7.179999828338623
2016-01-14,7.550000190734863
2016-01-15,7.659999847412109
2016-01-19,7.619999885559082
2016-01-20,8.050000190734863
2016-01-21,8.020000457763672
2016-01-22,8.8100004196167
2016-01-25,8.5
2016-01-26,8.34000015258789
2016-01-27,7.760000228881836
2016-01-28,7.230000019073486
2016-01-29,7.070000171661377
2016-02-01,7.389999866485596
